# ACF dei batch means (k=64) alla b accettata=1024, seed=123456789, lambda=0,0190975
# banda di rumore: |r_j| < 2/sqrt(k) = 0,2500 (Chatfield vincola il lag-1)
# lag	GLOB	Casse	Online	Disp	B.Uno	B.Due	Mag	Pag
1	-0.063497	-0.122919	0.194296	-0.058944	-0.075265	-0.054853	-0.097038	0.083847
2	-0.198290	0.023940	-0.141019	-0.170642	0.012814	-0.114610	-0.053723	0.052855
3	-0.075607	-0.216225	-0.028645	0.038023	0.123740	-0.199937	0.150125	0.025650
4	0.039066	0.135439	0.078288	0.226519	-0.157934	0.032353	-0.225102	0.000051
5	-0.140084	-0.220636	0.118009	-0.035640	0.211728	-0.066981	0.085275	-0.128507
6	0.061395	0.029928	0.062443	-0.036568	-0.097421	0.096878	-0.194617	-0.038772
7	0.125144	0.079638	0.107964	0.041772	0.000473	0.052535	-0.132518	-0.108177
8	-0.094938	0.114555	0.086923	0.001248	0.003768	-0.061828	0.027797	-0.022331
9	-0.060666	-0.001953	-0.119441	-0.023609	-0.220243	-0.041185	-0.174420	-0.028379
10	0.092337	-0.030649	-0.173733	-0.041112	0.188827	0.041308	0.154953	-0.027573
11	-0.103897	0.049448	0.032991	-0.052068	-0.059015	-0.110988	-0.104500	0.048184
12	-0.184545	-0.159775	0.043585	-0.124926	-0.122174	-0.110183	-0.072692	-0.006731
13	0.122195	0.025875	-0.104710	-0.122706	0.047618	0.077881	0.299248	-0.012819
14	-0.130674	0.047914	-0.011580	0.093982	0.037534	-0.059126	-0.038603	0.004756
15	0.038184	0.013346	0.179045	0.218049	0.194739	-0.119442	0.158985	-0.095708
16	0.228533	-0.087365	0.043639	-0.210498	-0.092812	0.090684	0.097601	0.077668
