# batch means del response (s) alla b accettata=1024, seed=123456789
# batch	GLOB	Casse	Online	Disp	B.Uno	B.Due	Mag	Pag
0	338.502729	135.243830	53.463264	3.296385	499.525265	115.899938	691.629483	81.203992
1	421.015287	133.667365	66.000702	3.228575	555.068623	217.525640	714.779275	78.181893
2	373.758475	135.599803	54.295855	3.053478	493.880467	144.420936	735.827980	93.207616
3	330.988785	142.571309	48.308919	3.032604	385.021025	101.382618	672.276691	86.104833
4	349.905963	131.104184	59.813250	3.045699	470.014239	131.386163	719.510484	83.169707
5	351.075740	130.457764	59.545457	3.116803	468.226746	143.510438	655.917414	78.061638
6	378.314487	138.809069	74.095477	3.273555	391.551371	152.120944	615.088978	88.854400
7	351.005294	138.451408	59.491202	3.129255	514.324403	132.517898	732.141440	77.840880
8	364.422621	136.088791	61.172304	3.137276	404.065669	116.920616	584.472922	109.324686
9	318.664291	129.507186	58.841803	3.090262	443.158548	105.086163	697.874490	81.070145
10	370.125137	137.082247	67.760235	3.145106	443.100357	147.485069	647.156971	84.386164
11	401.445201	129.500489	55.085016	3.173499	498.879902	194.375918	763.844442	85.015801
12	364.832554	131.204533	64.468319	3.237799	505.296914	156.188789	773.315031	79.695390
13	312.015650	124.484440	65.284947	3.131837	407.875836	107.074822	646.453861	76.401707
14	368.032804	142.086514	71.367173	3.128628	469.915103	138.771449	732.967790	84.418766
15	342.549112	134.877047	70.666586	3.292323	498.901749	138.154140	756.524735	69.943456
16	325.519135	140.475106	57.586990	3.185881	484.822608	107.222456	652.898527	74.687357
17	373.806281	134.150206	50.282992	3.019007	504.558003	150.546002	736.622778	89.978624
18	378.813090	136.081346	58.731167	3.160481	470.277171	159.271999	647.571061	86.385440
19	339.816649	126.128622	57.975931	3.181174	467.409276	138.329176	698.342339	74.948616
20	329.332833	132.213064	77.252172	3.145622	426.351410	124.281626	701.656692	71.502049
21	358.223653	140.471392	71.262037	3.349362	464.352135	129.728993	599.275444	85.199835
22	362.992764	132.671153	54.669811	3.119697	485.878186	134.662818	626.498367	95.156218
23	360.941434	135.814314	67.609228	3.351210	382.490950	152.485771	606.281485	75.600617
24	369.721327	134.171589	68.106735	3.200410	466.177463	149.700359	707.063268	86.271255
25	356.036557	128.984995	74.648043	3.348825	504.896634	144.173472	747.731745	80.654212
26	348.191178	135.146636	70.921242	3.116357	487.620099	127.974103	683.691251	81.355796
27	394.276616	127.027318	74.907206	3.252885	476.481665	187.651181	687.157246	82.136173
28	328.315458	135.492279	70.882900	3.157708	400.793350	101.546280	645.146305	87.056031
29	349.792263	133.036976	56.791747	3.418069	480.617115	131.896091	734.137317	83.824168
30	336.715351	129.591090	61.391797	3.416280	567.232735	99.214481	733.245369	97.858968
31	353.894521	131.750187	80.080108	2.983557	473.620460	139.790035	670.393476	78.799768
32	345.871964	131.779150	73.342726	3.120679	494.691938	122.915007	675.097153	85.118733
33	389.594799	136.790290	61.751890	3.300104	497.966542	170.377860	742.374047	84.718001
34	342.764918	135.582144	58.808734	3.181863	423.605222	127.221756	618.471602	79.826510
35	322.907425	137.757438	69.511659	2.969443	433.380145	97.607127	643.242558	82.434368
36	351.411972	135.538472	61.301594	3.167177	467.540773	133.852665	711.970993	81.643512
37	389.167409	141.208077	59.592990	3.307175	442.973241	151.155162	653.574288	96.605982
38	369.556087	133.055424	54.123235	3.102296	450.569793	162.124536	660.244220	79.083446
39	333.916854	129.286879	75.490057	3.094003	495.380153	121.961634	718.230330	78.202152
40	382.987767	139.366643	83.127216	3.264340	481.887090	150.632888	745.291226	94.334481
41	349.493290	124.845452	55.823082	3.082335	443.184964	142.104282	623.957709	82.869985
42	342.424643	135.330249	67.021501	3.223868	408.707853	122.678434	653.735775	80.973029
43	356.514087	139.844241	60.915213	3.177232	465.741876	135.443526	669.850978	82.070645
44	401.257719	141.874448	61.528690	3.270889	406.927678	177.271879	664.063305	89.447277
45	396.626851	121.502795	68.406024	3.188093	493.038002	204.499304	711.279595	75.041876
46	362.898460	134.188234	74.422881	3.119067	446.911503	145.042069	669.611569	82.403129
47	370.958271	128.811434	71.524272	3.173577	442.905292	161.031953	641.411187	84.484746
48	349.380718	142.435649	61.210551	3.385607	427.480203	119.458103	743.397998	85.983727
49	342.595212	125.817137	62.383758	3.167456	422.363384	125.345286	703.138566	90.937794
50	338.799582	143.353174	66.401275	3.098383	445.182044	112.928734	649.310702	80.115873
51	375.071250	137.014118	67.435178	3.168588	501.940506	155.411653	678.589707	82.288517
52	333.369164	140.904558	63.437185	3.197466	367.673170	110.335199	623.345425	81.998160
53	397.603024	137.198701	52.122336	3.109114	450.750346	179.819126	661.152469	85.914326
54	330.236314	135.943744	59.308413	3.170006	377.906586	119.145601	638.702815	75.070297
55	355.255266	134.842803	68.338552	3.063371	418.988964	136.870705	664.091608	80.866536
56	329.752755	131.648336	53.728257	3.199204	483.618604	122.327824	717.401667	71.949672
57	343.550494	135.988981	55.659971	3.119564	392.159997	121.119581	649.077159	85.427818
58	351.236982	133.159738	64.632712	3.249511	533.472793	129.066640	718.708017	84.428001
59	343.167777	135.344573	51.629706	3.145784	455.816843	111.207459	684.528734	92.520772
60	404.286090	142.335569	51.274015	3.041240	469.210216	145.142369	614.978390	114.669678
61	416.417284	152.894017	70.042766	3.311598	518.760586	165.457877	735.019018	98.809343
62	333.716940	130.102200	66.879863	3.149453	427.792043	110.519215	687.479259	86.943461
63	371.534705	128.404516	69.345192	3.196755	515.332625	153.464474	666.746739	89.438648
