# sweep diagnostico |r1| vs b (tutte le b, nessuna accettazione)
# k=64 fisso, gap=0, lambda=0,0190975, soglia=2/sqrt(k)=0,2500, margine=0,80*soglia=0,2000
# criterio: max|r1| sulle serie INCLUSE {GLOB, Casse, Online, B.Due}; le altre sono diagnostiche
# b	seed	GLOB	Casse	Online	Disp	B.Uno	B.Due	Mag	Pag	max_incl
128	0	0.089522	0.047124	0.163529	0.007194	0.338408	0.218129	0.132060	0.118079	0.218129
128	1	0.050107	0.124127	0.109425	0.077336	0.071125	0.053828	0.130843	0.018235	0.124127
128	2	0.048125	0.050269	0.241801	0.099916	0.215759	0.043308	0.228864	0.152250	0.241801
256	0	0.113505	0.182492	0.173726	0.217394	0.197370	0.138180	0.157909	0.133252	0.182492
256	1	0.007740	0.041029	0.007742	0.178696	0.075116	0.045465	0.017688	0.187602	0.045465
256	2	0.126140	0.009060	0.120482	0.110999	0.262603	0.111594	0.124610	0.267083	0.126140
512	0	0.099060	0.031095	0.003222	0.132160	0.043086	0.049075	0.101519	0.053722	0.099060
512	1	0.063401	0.042485	0.162825	0.083645	0.145805	0.145942	0.037135	0.069023	0.162825
512	2	0.101848	0.160990	0.058418	0.263485	0.037964	0.213415	0.098384	0.158994	0.213415
1024	0	0.063497	0.122919	0.194296	0.058944	0.075265	0.054853	0.097038	0.083847	0.194296
1024	1	0.129156	0.027368	0.015306	0.187865	0.003159	0.020107	0.090674	0.256243	0.129156
1024	2	0.126193	0.082213	0.035676	0.119494	0.054412	0.109360	0.002884	0.134751	0.126193
2048	0	0.270358	0.078381	0.203344	0.129637	0.155085	0.186477	0.118206	0.002616	0.270358
2048	1	0.059753	0.059569	0.026662	0.257206	0.000583	0.061870	0.021385	0.101742	0.061870
2048	2	0.013843	0.013915	0.035434	0.041155	0.118742	0.107003	0.063442	0.076233	0.107003
4096	0	0.045100	0.157369	0.074308	0.135781	0.262476	0.009301	0.162696	0.283734	0.157369
4096	1	0.142960	0.087346	0.072884	0.033173	0.025040	0.029429	0.130517	0.036429	0.142960
4096	2	0.049040	0.080148	0.123947	0.050348	0.102799	0.018898	0.088774	0.247470	0.123947
