# mean	lower_ci	upper_ci
41.63268853	32.53020956	50.73516749
48.65476136	42.06097072	55.24855201
48.51883075	39.86952822	57.16813328
49.24614558	39.77706579	58.71522536
54.44201117	45.90655702	62.97746532
47.07534768	40.14687417	54.00382119
45.89573766	39.43364842	52.35782690
52.35769771	44.88245034	59.83294508
63.96262802	52.90984619	75.01540985
102.47271442	82.75485970	122.19056915
76.65901628	59.46355515	93.85447741
69.72326767	60.89120756	78.55532777
83.35641183	72.81714179	93.89568186
109.35587420	85.51633749	133.19541091
118.30752379	96.19438711	140.42066046
108.81392764	79.76552395	137.86233132
111.87073071	94.77026723	128.97119418
141.51771767	115.12386960	167.91156573
158.54044348	125.94679879	191.13408817
120.14074172	101.47525539	138.80622804
118.39329106	100.38627994	136.40030219
113.52972046	92.99181272	134.06762821
102.08279961	86.59240274	117.57319648
94.60382976	76.13159989	113.07605964
119.62865087	103.10071677	136.15658498
187.33070067	154.80540302	219.85599831
181.07844116	146.68103091	215.47585141
190.91591982	154.98923691	226.84260274
223.87293451	188.33625615	259.40961287
314.63099780	266.34884772	362.91314789
294.37605975	255.08084134	333.67127816
285.02371244	237.81262027	332.23480460
318.34014946	272.88055915	363.79973978
359.02029845	307.06231263	410.97828427
348.35295660	293.42059235	403.28532084
325.45240932	271.62382343	379.28099522
341.36563846	285.55850349	397.17277343
305.01728304	252.73032840	357.30423768
260.95555197	207.90289567	314.00820827
223.12018628	167.35593700	278.88443556
195.16156916	154.80923870	235.51389963
139.16593855	94.82201943	183.50985767
93.80871436	72.57151276	115.04591596
79.66555085	59.57751653	99.75358518
104.84948854	66.82253348	142.87644361
103.54788019	84.05411799	123.04164239
87.69681136	71.02905943	104.36456330
82.47202452	70.62683020	94.31721884
86.09259987	75.46253770	96.72266204
102.16580005	81.54831842	122.78328169
86.36738732	69.33478827	103.39998638
94.75024021	75.01116345	114.48931697
79.37013499	69.21012406	89.53014592
88.34535511	70.88931945	105.80139076
71.57047247	61.15095999	81.98998495
69.15544959	57.92228891	80.38861027
83.39272189	70.57664963	96.20879416
69.87475848	59.68121782	80.06829914
70.23099254	58.79968616	81.66229892
53.90369012	46.99958957	60.80779068
83.00841968	69.74098658	96.27585278
79.82015566	69.33088525	90.30942608
86.26048945	71.35140739	101.16957150
77.53573566	57.39549739	97.67597393
101.51896240	85.72734476	117.31058004
104.39564365	90.01771744	118.77356986
78.99545096	66.70597899	91.28492292
86.01510959	73.98565448	98.04456470
109.26592242	93.76702294	124.76482189
177.73312738	144.61709703	210.84915774
154.92034659	127.61738187	182.22331131
154.26296557	125.59709351	182.92883763
207.78813334	171.59481889	243.98144780
247.69720164	203.19878978	292.19561350
244.80880927	201.98677588	287.63084266
210.80174634	174.17135270	247.43213998
255.56923029	209.23811015	301.90035043
336.03258688	271.09472487	400.97044889
316.24045302	263.58186199	368.89904404
294.63168445	242.16943986	347.09392904
390.26661923	324.77956112	455.75367734
394.42876405	333.38785843	455.46966966
363.54462473	298.18643125	428.90281821
375.49872943	299.91154386	451.08591500
454.71637494	366.34448663	543.08826324
497.09152466	415.49497464	578.68807468
484.91865852	401.24886219	568.58845485
480.52152716	385.04341797	575.99963635
501.43429630	410.82639211	592.04220050
598.44569993	495.62790896	701.26349091
545.22038254	427.09603515	663.34472993
535.38981760	441.49045770	629.28917750
542.74864099	440.33250293	645.16477906
493.90194748	405.01917651	582.78471846
400.28351848	322.84238831	477.72464865
355.98729638	274.29623436	437.67835840
