# mean	lower_ci	upper_ci
7.16804545	1.80010300	12.53598790
9.72987090	6.22883396	13.23090783
6.73294457	3.65256344	9.81332571
10.31186708	4.90968610	15.71404806
12.37224204	7.65003084	17.09445325
14.16686207	9.20793156	19.12579258
8.62462014	5.54600492	11.70323536
12.82881926	8.42282072	17.23481779
25.08411162	16.42341385	33.74480939
56.58044435	41.29724588	71.86364281
35.55931157	23.10192346	48.01669969
29.85784844	22.66054211	37.05515477
42.81272332	34.05700610	51.56844053
67.76391446	45.31256159	90.21526732
73.86432958	53.06073552	94.66792364
67.00280461	39.77551703	94.23009218
69.96434346	54.97201509	84.95667184
98.37131585	73.58984998	123.15278172
112.09247533	82.83134360	141.35360706
79.31738078	61.89156066	96.74320090
74.23751591	57.75534049	90.71969134
72.41951486	53.69684063	91.14218909
57.04239732	43.27515950	70.80963515
52.28583453	37.00649036	67.56517869
74.28183636	60.06121193	88.50246079
143.15422389	112.89797660	173.41047118
138.33372059	105.47909868	171.18834250
142.80086467	109.75292853	175.84880081
181.45686274	147.14282190	215.77090359
269.28533967	222.21000982	316.36066951
249.76001531	211.72189083	287.79813979
239.51500379	194.46419738	284.56581020
272.99791705	229.12305109	316.87278301
314.60061377	264.11090954	365.09031799
305.00619317	251.38663256	358.62575378
281.17344299	228.17864651	334.16823946
298.50142589	244.22197929	352.78087250
262.44123330	211.36413615	313.51833046
218.08750947	166.24184390	269.93317504
180.81283831	126.12052470	235.50515191
151.59555705	112.60219571	190.58891839
99.11881784	55.75469338	142.48294231
53.15959996	32.97890091	73.34029900
39.01855927	19.65943539	58.37768314
59.10611148	23.15543032	95.05679264
59.34207414	40.83473402	77.84941426
45.21165857	30.68184844	59.74146871
39.57681958	29.50434645	49.64929271
43.99702763	34.81715704	53.17689823
60.60135874	42.45427661	78.74844088
48.03805126	32.80923114	63.26687137
51.94482929	35.01914031	68.87051827
38.62439386	29.80936976	47.43941796
41.36338383	27.82799087	54.89877679
31.13986669	22.51423285	39.76550054
27.71528099	18.44231881	36.98824318
36.83113530	27.29120988	46.37106072
30.38336117	21.70017573	39.06654661
25.44832172	16.93762777	33.95901566
15.09973136	9.99154646	20.20791625
38.00760611	27.13865450	48.87655772
38.70221936	29.84427982	47.56015889
39.08248093	27.02893291	51.13602894
36.87263059	19.05016096	54.69510022
57.56645744	43.71970612	71.41320876
62.31475284	49.60335971	75.02614596
37.93278043	26.85897783	49.00658303
42.79057751	33.39775004	52.18340497
67.52017784	53.88725338	81.15310229
130.93137893	100.43452275	161.42823512
109.89868146	84.14235623	135.65500669
109.67991381	82.74117958	136.61864804
164.08916166	129.38000863	198.79831468
203.96346315	161.14962808	246.77729821
200.62529323	159.51442238	241.73616408
167.57909628	132.46850566	202.68968689
212.35042205	167.59160044	257.10924366
290.92884827	227.98766478	353.87003177
271.72627744	221.07283087	322.37972400
251.37485031	200.77870171	301.97099892
342.82618634	279.33646604	406.31590665
352.66513900	292.72839201	412.60188599
322.42490274	258.07623398	386.77357149
332.56630508	258.02800001	407.10461015
408.53435076	321.79434144	495.27436009
451.97697539	371.47647519	532.47747560
440.09659472	358.68211131	521.51107813
435.97143276	341.97881548	529.96405003
457.02334040	367.50745223	546.53922858
550.44211454	449.87133197	651.01289710
501.35140568	385.10182427	617.60098709
488.08260703	395.58445699	580.58075707
497.17132054	396.15197524	598.19066584
447.81441656	359.91932004	535.70951307
355.87965525	278.98123732	432.77807318
312.72000344	232.21555335	393.22445354
