# mean	lower_ci	upper_ci
118.56863839	103.47973248	133.65754430
122.29771205	108.49897240	136.09645171
114.99023438	100.30102702	129.67944173
117.62695313	103.68081511	131.57309114
110.92773438	99.12062809	122.73484066
105.97935268	94.11375943	117.84494593
111.11188616	97.90622225	124.31755007
116.10224736	103.12097462	129.08352010
89.43105722	80.18593825	98.67617620
88.58017959	80.55571874	96.60464043
87.81110491	80.96672158	94.65548824
93.70421571	85.22834261	102.18008880
66.75662228	62.20296635	71.31027822
72.69964698	67.00678206	78.39251189
71.97486595	65.80242906	78.14730285
85.16373275	77.56336197	92.76410353
57.97973654	52.99510923	62.96436386
66.43084455	61.80348924	71.05819986
69.05171001	64.08747329	74.01594672
73.97726297	68.04778012	79.90674582
63.66407662	59.63964417	67.68850906
80.78803521	73.95408589	87.62198452
93.83896865	85.25302230	102.42491500
83.64134889	76.36044604	90.92225173
56.33245661	51.76851062	60.89640259
56.62317806	53.00317474	60.24318139
61.75336038	57.54375498	65.96296578
62.18490494	57.55257704	66.81723283
42.52466370	39.98240212	45.06692528
47.73884548	44.52283248	50.95485849
56.87620973	53.14997383	60.60244562
56.52214284	52.37313442	60.67115126
44.16027432	41.33808648	46.98246216
50.33777401	46.73942720	53.93612082
55.10069176	51.44576629	58.75561723
58.01593914	54.25410919	61.77776909
48.68154213	44.61627713	52.74680713
66.32806302	60.76483434	71.89129170
70.43667758	64.49788967	76.37546549
70.89170595	65.67841124	76.10500066
67.15692511	61.90995966	72.40389055
96.92129160	87.82691221	106.01567099
94.98769785	86.04632678	103.92906892
108.16824777	97.91544917	118.42104637
80.52471942	74.11143041	86.93800843
86.97827563	78.97203712	94.98451414
90.41159036	83.21527823	97.60790249
95.56771354	86.86591090	104.26951617
71.24083436	65.35969357	77.12197516
82.24127435	74.46754517	90.01500353
86.62426441	78.24164441	95.00688441
85.49250554	79.12732044	91.85769064
82.41284594	75.47131535	89.35437654
102.67463981	93.22964613	112.11963349
97.29542918	88.28595797	106.30490039
101.44264915	92.04868474	110.83661356
90.82770745	82.63232795	99.02308695
105.42004870	95.60293094	115.23716646
114.44056920	104.40579047	124.47534792
114.03878348	104.14149928	123.93606769
87.28344409	79.33331522	95.23357297
89.13111303	81.35514328	96.90708278
98.80745231	89.65985114	107.95505349
92.82614846	84.52527495	101.12702197
70.90924700	65.45685799	76.36163601
76.50187703	69.71142467	83.29232939
86.19854755	78.74356364	93.65353145
82.27821983	75.29023699	89.26620266
58.68990672	53.46482801	63.91498542
61.93629756	57.53659866	66.33599646
68.57943326	63.62247779	73.53638873
62.60852917	57.76514691	67.45191143
49.41084414	45.63976084	53.18192743
57.30235872	52.56876071	62.03595672
59.71048483	55.12709547	64.29387419
63.26565037	57.55316279	68.97813794
47.41657299	43.04555839	51.78758759
50.16773086	46.17704619	54.15841553
57.50744681	53.07919009	61.93570353
51.86894792	48.09214179	55.64575404
43.79303708	40.14301463	47.44305953
51.77852385	47.16135979	56.39568790
52.70555071	49.19629150	56.21480993
52.59686911	49.10423602	56.08950219
43.66507099	40.86061588	46.46952611
51.05360603	47.44161636	54.66559571
56.89617511	52.61403653	61.17831370
59.71444227	54.43774082	64.99114372
41.50934693	39.16875364	43.84994022
50.56508885	47.28165331	53.84852438
59.09720306	54.72529309	63.46911304
53.03408161	49.82351405	56.24464918
51.40688212	48.40401734	54.40974690
67.72213770	62.46054465	72.98373074
81.11005837	73.21913206	89.00098468
71.86661971	66.11550497	77.61773445
