# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.30393784	0.26518795	0.34268773
1.23681051	1.06554048	1.40808054
0.79504682	0.60159641	0.98849723
0.31543022	0.18200865	0.44885179
0.06028522	0.01476710	0.10580335
0.00284719	-0.00209965	0.00779402
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.22392642	0.18334726	0.26450557
2.14483911	2.03280157	2.25687666
3.25575744	3.11572020	3.39579468
4.20529459	4.00902736	4.40156182
3.56323104	3.28373081	3.84273128
2.52822466	2.23461221	2.82183710
1.30412236	1.06006801	1.54817671
0.45056028	0.29592243	0.60519813
0.33643255	0.25349041	0.41937468
2.27272832	2.16169798	2.38375866
3.35040264	3.19550292	3.50530237
4.02220946	3.81874064	4.22567827
3.09241471	2.80930249	3.37552692
2.10064060	1.79641648	2.40486472
0.89466544	0.66487766	1.12445322
0.44058926	0.26537482	0.61580371
0.35537471	0.24731818	0.46343123
2.19255892	2.06207607	2.32304178
3.17789946	3.01684228	3.33895665
4.34711183	4.12666784	4.56755581
4.57472332	4.30969070	4.83975595
4.42455555	4.10765273	4.74145837
3.14844727	2.83027640	3.46661815
1.72804597	1.45600141	2.00009053
0.95877128	0.77283905	1.14470352
2.33251845	2.19496897	2.47006794
3.33645344	3.14489486	3.52801203
3.90115400	3.69129068	4.11101731
3.35937504	3.08780082	3.63094926
2.27219606	1.96290515	2.58148696
1.18695650	0.93702851	1.43688449
0.50668858	0.33260498	0.68077218
0.46964955	0.35748462	0.58181447
2.25239249	2.11791400	2.38687098
3.10212437	2.92800137	3.27624737
3.27829793	3.04317791	3.51341795
2.43017855	2.16584234	2.69451475
1.40084992	1.15689191	1.64480792
0.48275112	0.34727368	0.61822857
0.12661097	0.05529429	0.19792765
0.26086192	0.20772797	0.31399586
2.12295240	2.01171107	2.23419373
3.16482985	3.00000107	3.32965864
3.21024282	2.96777168	3.45271397
2.05166010	1.80461969	2.29870050
1.01765626	0.81007481	1.22523770
0.35190056	0.20988610	0.49391502
0.09502955	0.03181446	0.15824465
0.29492129	0.25576833	0.33407424
2.24668630	2.13872835	2.35464425
3.24109508	3.06496226	3.41722789
2.98854330	2.72819221	3.24889439
1.69113503	1.43301031	1.94925974
0.65003309	0.46460823	0.83545796
0.22393906	0.10275296	0.34512517
0.07708141	0.01022434	0.14393848
0.22397054	0.18638180	0.26155927
2.10149433	1.98831492	2.21467374
3.32245786	3.17810494	3.46681078
4.44088123	4.24741297	4.63434949
4.03215121	3.76159042	4.30271200
3.14396725	2.84327772	3.44465679
1.84105024	1.57623144	2.10586903
0.90936521	0.71006020	1.10867022
0.48750254	0.35734648	0.61765859
2.27098444	2.13601315	2.40595573
3.23903633	3.07751375	3.40055891
4.41026533	4.20452413	4.61600654
4.39166909	4.11412014	4.66921804
3.86001776	3.51171995	4.20831557
2.45795956	2.12995376	2.78596536
1.44611134	1.17826277	1.71395991
0.92946057	0.74028853	1.11863261
2.39787074	2.22586689	2.56987460
3.31701598	3.13223591	3.50179605
4.26277453	4.07390906	4.45163999
3.77937186	3.50731220	4.05143152
3.34120418	2.99474687	3.68766149
2.07290154	1.75599122	2.38981187
1.22217222	0.96235254	1.48199190
