# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.05004223	0.03261573	0.06746873
0.67218510	0.54641658	0.79795361
0.49561872	0.34688334	0.64435409
0.17942927	0.08061990	0.27823864
0.01895463	-0.00506615	0.04297541
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.04685928	0.02780894	0.06590962
1.31364776	1.21390157	1.41339396
2.45618443	2.31948590	2.59288295
3.46832905	3.28221139	3.65444670
2.88100529	2.61829514	3.14371544
1.88728742	1.62751097	2.14706387
0.84733438	0.64236718	1.05230157
0.22708597	0.10749891	0.34667304
0.10186245	0.04875562	0.15496927
1.42326676	1.31894200	1.52759152
2.59769030	2.44811118	2.74726942
3.31540694	3.11657009	3.51424379
2.47328047	2.21305854	2.73350241
1.45273334	1.17809655	1.72737013
0.60462234	0.40540368	0.80384100
0.28906786	0.15345160	0.42468413
0.14573461	0.07062386	0.22084535
1.35122464	1.23038509	1.47206419
2.44817925	2.28470689	2.61165161
3.62538387	3.41017057	3.84059717
3.86368770	3.61891998	4.10845543
3.66185207	3.36482206	3.95888208
2.48486503	2.18825390	2.78147617
1.20566502	0.96998110	1.44134895
0.51305130	0.37295394	0.65314866
1.49930566	1.37002974	1.62858158
2.54722462	2.36324344	2.73120581
3.17476001	2.97555953	3.37396049
2.67176435	2.41765474	2.92587396
1.66323427	1.38636433	1.94010422
0.79066529	0.58159940	0.99973117
0.32027966	0.18530088	0.45525844
0.18701412	0.11420588	0.25982235
1.40918828	1.28083664	1.53753992
2.34846856	2.17851640	2.51842073
2.59821844	2.38116083	2.81527604
1.81596894	1.58121523	2.05072265
0.90527454	0.70637597	1.10417311
0.25149232	0.15776665	0.34521799
0.05156455	0.00757590	0.09555321
0.06498882	0.03723533	0.09274231
1.27275812	1.16975673	1.37575951
2.38125045	2.22528803	2.53721286
2.49208186	2.26149341	2.72267032
1.47859195	1.26296603	1.69421786
0.61473527	0.44834881	0.78112173
0.19093685	0.08215528	0.29971842
0.04656569	0.00858612	0.08454526
0.05110086	0.03437258	0.06782914
1.40143115	1.30316243	1.49969987
2.49841741	2.32988923	2.66694559
2.33299495	2.08650063	2.57948928
1.13328669	0.90355974	1.36301365
0.38080755	0.23908595	0.52252914
0.13335482	0.04154921	0.22516043
0.04603116	-0.00070451	0.09276682
0.04419464	0.02730420	0.06108509
1.25893026	1.15311485	1.36474568
2.56532364	2.42694978	2.70369750
3.71069545	3.52164306	3.89974784
3.36208508	3.11109940	3.61307077
2.41700868	2.13630042	2.69771694
1.33212998	1.10186383	1.56239613
0.55424085	0.39594847	0.71253323
0.20219734	0.10835924	0.29603545
1.42519151	1.30050680	1.54987621
2.50190708	2.33796524	2.66584892
3.68855286	3.48947697	3.88762875
3.69794373	3.44449968	3.95138779
3.10965146	2.78089161	3.43841132
1.90843340	1.60839795	2.20846885
1.04739587	0.82102060	1.27377114
0.49840898	0.35277190	0.64404606
1.55768290	1.39555775	1.71980805
2.62393146	2.44012334	2.80773958
3.56148247	3.37997839	3.74298655
3.12867326	2.88183425	3.37551226
2.64683738	2.32532007	2.96835469
1.59040041	1.30952420	1.87127662
0.85424089	0.64021513	1.06826666
