# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
109.52288834	91.57908545	127.46669123
335.07743440	283.73031319	386.42455560
206.15320720	155.40803783	256.89837657
88.13695636	46.50010547	129.77380725
16.12239508	5.93664732	26.30814283
1.28123378	-0.94484109	3.50730865
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
39.67936879	21.75177261	57.60696497
621.74077390	565.48080435	678.00074345
756.20321626	688.31662738	824.08980514
905.83782252	816.56349908	995.11214595
829.40695636	742.44602651	916.36788621
603.16722141	518.78760709	687.54683574
265.57762829	207.59687188	323.55838469
117.87962651	80.19603870	155.56321432
55.27607671	27.68067691	82.87147651
673.36997169	617.74563556	728.99430781
863.50520952	778.48848819	948.52193085
980.29456647	871.56437227	1089.02476068
680.03876645	600.85129765	759.22623524
491.84905272	409.31668394	574.38142149
178.58819067	135.09676879	222.07961256
101.66137364	54.85588053	148.46686674
66.69153417	36.80021112	96.58285721
617.06273821	562.14449357	671.98098285
565.48828678	490.61227829	640.36429527
700.86071745	607.99616125	793.72527365
979.37351298	867.84181941	1090.90520655
1071.42174317	950.84507661	1191.99840972
619.55820247	535.20634196	703.91006298
397.07135277	329.22829463	464.91441091
212.78469279	161.31221803	264.25716755
716.14044847	658.16737478	774.11352215
848.34558473	765.77151320	930.91965625
1018.33169876	910.50039957	1126.16299795
808.30357106	729.88642552	886.72071660
554.58979473	464.77783066	644.40175880
299.71444834	231.22967815	368.19921854
122.87983680	78.50953535	167.25013824
121.18181674	83.77827414	158.58535934
602.30059617	542.02813924	662.57305310
745.70342590	667.53670981	823.87014200
792.19373943	701.26341566	883.12406320
574.76399501	504.00134213	645.52664790
351.34216444	288.84000151	413.84432736
135.29399125	94.85396714	175.73401536
31.59978662	15.57201881	47.62755443
60.59705529	41.49125660	79.70285398
600.06134000	547.75545587	652.36722413
799.06065243	727.08451134	871.03679352
835.64913366	744.92696876	926.37129855
542.64827199	464.16598696	621.13055701
263.39746209	208.10061344	318.69431074
79.73657662	53.53900352	105.93414972
21.34016421	8.63839117	34.04193726
83.70134379	64.56801986	102.83466772
635.01459788	578.40971524	691.61948053
830.29415927	754.10354425	906.48477429
752.27438092	661.68059617	842.86816567
394.33434594	333.87660331	454.79208857
178.69593999	123.64258034	233.74929963
58.79519354	30.29155344	87.29883365
17.65619706	4.69306425	30.61932987
33.53863553	19.08635657	47.99091450
592.61200554	544.35194191	640.87206918
772.43496460	690.10126415	854.76866505
869.64212924	776.79151472	962.49274377
860.25932733	766.07242185	954.44623282
714.63933666	631.71283374	797.56583958
419.34253976	340.44050913	498.24457040
181.05121864	136.15410505	225.94833223
101.80723028	70.37486621	133.23959434
638.33016451	575.32607493	701.33425410
633.73746813	556.01602811	711.45890814
829.88925522	722.77718429	937.00132615
890.47378502	787.63727764	993.31029240
850.53097536	754.05199408	947.00995665
467.62248561	390.27765312	544.96731809
311.09180447	238.50270670	383.68090224
206.98951233	152.42128057	261.55774409
670.00064578	609.04912500	730.95216656
708.31668468	612.93330994	803.70005941
732.07200168	637.61398370	826.53001966
854.48583251	754.52851454	954.44315048
726.43177895	636.55480006	816.30875783
467.05427010	368.73519325	565.37334695
243.65850884	190.37503088	296.94198680
