# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
17.00628488	10.06024384	23.95232592
179.74608977	142.57407004	216.91810950
125.48282098	85.54227981	165.42336214
50.65404541	18.02218905	83.28590178
3.95083217	-0.36509127	8.26675561
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
11.92206483	4.04755109	19.79657857
382.17011056	341.39951047	422.94071066
561.21417863	508.26613275	614.16222450
742.97003585	666.95977058	818.98030111
669.58793826	592.17869659	746.99717993
447.11551366	374.23754661	519.99348070
161.65330784	113.10294922	210.20366646
49.88638991	22.47999913	77.29278070
21.53171197	4.15402447	38.90939946
419.94275798	378.30684961	461.57866636
669.87020042	597.75443886	741.98596198
804.13459078	710.01479044	898.25439112
537.71757771	468.36634406	607.06881137
332.16098864	259.11232264	405.20965464
102.13544728	68.59182153	135.67907303
62.02681591	26.81873282	97.23489899
31.75349620	13.35243925	50.15455314
372.86956137	333.66351462	412.07560811
427.23227968	368.11796930	486.34659006
576.82345845	498.16400957	655.48290733
823.32635307	727.06641526	919.58629087
886.57625420	780.30116963	992.85133876
478.77282149	402.97953014	554.56611284
264.74110531	206.29641386	323.18579676
109.75021965	71.97123040	147.52920890
458.05531589	412.60900641	503.50162537
647.72712434	577.16437577	718.28987290
826.74783236	732.40085023	921.09481448
638.29347198	568.44019834	708.14674561
404.28655467	324.14872276	484.42438658
191.43223828	134.90568063	247.95879593
74.54005272	40.52530924	108.55479621
50.79444448	28.36401000	73.22487897
379.58279005	331.28044134	427.88513876
561.86566512	495.59134728	628.13998295
627.66935167	548.90208740	706.43661594
427.22057408	365.90335726	488.53779090
220.39909236	170.03934946	270.75883526
67.39536273	38.74059937	96.05012610
10.46094189	1.28947615	19.63240763
14.41568516	6.64210734	22.18926299
359.31184089	320.86030547	397.76337630
601.47412297	541.58783174	661.36041421
650.39067941	567.83918723	732.94217160
393.55319123	323.98842386	463.11795861
152.49121284	108.52128401	196.46114167
34.29842372	15.74956350	52.84728395
8.31588816	1.76132572	14.87045060
14.53676645	7.99025864	21.08327426
399.60268700	356.78890134	442.41647266
643.74431307	577.64726114	709.84136501
589.35487246	507.55460090	671.15514402
257.79697215	204.87240488	310.72153942
102.19573903	58.97405647	145.41742159
30.20842448	10.93047141	49.48637755
9.24624009	0.56148505	17.93099513
7.66389563	2.66196338	12.66582788
352.97984435	315.96865569	389.99103301
596.50713553	527.20923556	665.80503551
722.38109887	643.22005602	801.54214171
711.98299460	630.27266999	793.69331921
545.36453428	473.01176708	617.71730148
298.67752149	232.47456563	364.88047734
98.71190353	65.10945218	132.31435488
41.22453048	22.02019157	60.42886938
400.87578222	352.30941764	449.44214680
484.82704749	420.21275897	549.44133600
682.34416757	593.10339050	771.58494465
742.59522590	654.19931743	830.99113437
678.89142311	592.85010080	764.93274542
351.67898330	284.50837605	418.84959054
215.89095491	157.39778031	274.38412951
110.68674622	72.30885554	149.06463691
428.95281054	381.08046752	476.82515356
559.26308041	477.13984377	641.38631705
602.80877145	523.70997312	681.90756978
699.29567382	613.76713205	784.82421559
569.37900540	489.28408838	649.47392242
351.31740895	267.10459719	435.53022070
161.42320185	120.22865689	202.61774682
