# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02615689	0.01729097	0.03502282
0.04559079	0.03390647	0.05727512
0.04764973	0.03231246	0.06298700
0.00350763	0.00027961	0.00673565
0.02367409	0.01595119	0.03139700
0.04244924	0.03108495	0.05381353
0.05239323	0.03568855	0.06909790
0.00340848	0.00003816	0.00677880
0.10697997	0.07464811	0.13931183
0.24023637	0.18549472	0.29497802
0.20499924	0.14428710	0.26571138
0.03022418	0.01312119	0.04732717
0.07151227	0.05127556	0.09174899
0.12545859	0.09143862	0.15947856
0.15049934	0.10890965	0.19208903
0.00870593	0.00326950	0.01414235
0.20259544	0.15886855	0.24632233
0.56911112	0.48130379	0.65691846
0.67406617	0.57749618	0.77063617
0.12894479	0.08726819	0.17062138
0.12383787	0.09141294	0.15626280
0.37692287	0.30029166	0.45355408
0.24799866	0.18478302	0.31121430
0.02402741	0.00904157	0.03901325
0.27705583	0.22028408	0.33382758
0.59673034	0.51270890	0.68075179
0.74993207	0.63448075	0.86538338
0.20229298	0.15547898	0.24910698
0.19443535	0.15465701	0.23421369
0.49108300	0.38117560	0.60099039
0.32664696	0.25815979	0.39513414
0.06074044	0.03130061	0.09018026
0.27811971	0.22385878	0.33238065
0.71098860	0.60674784	0.81522937
0.86406800	0.74512605	0.98300996
0.19740571	0.14543584	0.24937557
0.20332038	0.15329794	0.25334283
0.53323080	0.44691751	0.61954409
0.45931599	0.37908893	0.53954304
0.09161692	0.05527546	0.12795838
0.09510904	0.06641063	0.12380745
0.38700240	0.32626226	0.44774255
0.41762559	0.34017581	0.49507537
0.12345080	0.07065374	0.17624787
0.13511662	0.09327484	0.17695839
0.31776426	0.24812297	0.38740555
0.22340337	0.16656392	0.28024282
0.02694686	0.01062543	0.04326829
0.19690884	0.15350497	0.24031271
0.45757582	0.37707476	0.53807688
0.44730192	0.36491990	0.52968393
0.09889739	0.05984205	0.13795273
0.10967206	0.07245850	0.14688563
0.21777646	0.15553374	0.28001918
0.13932569	0.10104600	0.17760539
0.00783862	0.00306008	0.01261715
0.15271058	0.11404350	0.19137766
0.35370145	0.29063935	0.41676354
0.36412522	0.28698091	0.44126953
0.10051371	0.06210661	0.13892081
0.08948764	0.05459670	0.12437857
0.20141652	0.14461690	0.25821614
0.10812162	0.08069843	0.13554482
0.00641982	0.00218222	0.01065741
0.18905717	0.14293682	0.23517752
0.57497416	0.48392584	0.66602248
0.51792772	0.42804667	0.60780878
0.12214463	0.07987390	0.16441536
0.12006563	0.08935597	0.15077529
0.26821213	0.21044529	0.32597897
0.17813684	0.13039221	0.22588146
0.02151461	-0.00011251	0.04314174
0.21546946	0.17024814	0.26069078
0.76680496	0.66019142	0.87341851
0.74540431	0.63072227	0.86008635
0.22198136	0.15597495	0.28798777
0.28804824	0.22724758	0.34884891
0.67629048	0.55195002	0.80063094
0.51360561	0.41471831	0.61249291
0.06991723	0.03371414	0.10612032
0.32952131	0.26227954	0.39676309
0.76471711	0.65507801	0.87435621
0.79192319	0.68723028	0.89661609
0.25118963	0.19059588	0.31178338
0.20188519	0.15766213	0.24610824
0.69061725	0.57190831	0.80932619
0.58448251	0.46409465	0.70487036
0.10663194	0.06169249	0.15157139
0.30307258	0.23768560	0.36845955
0.86636304	0.76726079	0.96546529
0.82569905	0.70960154	0.94179655
0.20701967	0.15144313	0.26259621
0.19696238	0.15312493	0.24079984
0.46830118	0.38581506	0.55078731
0.36808976	0.29075751	0.44542202
