# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00008948	-0.00008591	0.00026487
0.00000000	0.00000000	0.00000000
0.00111853	-0.00107379	0.00331085
0.00000000	0.00000000	0.00000000
0.00004842	-0.00001983	0.00011668
0.00061842	-0.00017150	0.00140835
0.00198780	-0.00057196	0.00454755
0.00000000	0.00000000	0.00000000
0.07791854	0.04839462	0.10744247
0.13798274	0.09359362	0.18237187
0.10947578	0.05635332	0.16259825
0.01627952	0.00213865	0.03042039
0.01096809	0.00441668	0.01751950
0.02106753	0.00214495	0.03999012
0.02626913	-0.00047064	0.05300891
0.00058393	-0.00056057	0.00172843
0.16545603	0.12714870	0.20376335
0.46706441	0.39279345	0.54133536
0.54160829	0.45756675	0.62564983
0.08616301	0.05401375	0.11831228
0.09389435	0.06456186	0.12322683
0.26371576	0.19670409	0.33072743
0.14622177	0.09396871	0.19847483
0.00993715	-0.00220430	0.02207860
0.24450002	0.19050155	0.29849848
0.47159123	0.39799648	0.54518597
0.60592248	0.50632817	0.70551679
0.13449958	0.09847306	0.17052611
0.13058809	0.10011357	0.16106261
0.32906095	0.23286085	0.42526104
0.16891801	0.10973846	0.22809756
0.03387372	0.01347873	0.05426872
0.24085088	0.19056870	0.29113307
0.55095049	0.46112559	0.64077539
0.70591951	0.59876661	0.81307241
0.14016977	0.09685881	0.18348072
0.16986549	0.12510213	0.21462885
0.41762329	0.34405096	0.49119563
0.34530868	0.27215589	0.41846148
0.06468991	0.03589428	0.09348554
0.08041404	0.05416353	0.10666456
0.31865622	0.26339122	0.37392122
0.32205984	0.25763865	0.38648102
0.08766972	0.04447776	0.13086169
0.09134530	0.05709812	0.12559248
0.22457189	0.16231828	0.28682550
0.10838028	0.06156945	0.15519112
0.01435251	0.00227719	0.02642783
0.16354209	0.12505444	0.20202973
0.35777761	0.28893671	0.42661852
0.34420877	0.27169452	0.41672301
0.07287883	0.04143894	0.10431872
0.07638215	0.04228547	0.11047884
0.12762026	0.07489671	0.18034382
0.05130181	0.02137230	0.08123131
0.00047601	-0.00018171	0.00113373
0.13108616	0.09700757	0.16516474
0.28404537	0.22902674	0.33906400
0.28785947	0.22127272	0.35444622
0.07167959	0.04018715	0.10317204
0.04796222	0.01914701	0.07677744
0.09843758	0.05201320	0.14486196
0.03090087	0.01212595	0.04967578
0.00126901	-0.00121825	0.00375627
0.15767549	0.11614284	0.19920815
0.46002040	0.38050536	0.53953545
0.40059800	0.32448698	0.47670902
0.08006000	0.04673126	0.11338874
0.04737193	0.02259297	0.07215089
0.11597029	0.06805356	0.16388702
0.04467132	0.01122914	0.07811350
0.00897354	-0.00509172	0.02303881
0.18598209	0.14525570	0.22670847
0.62898467	0.53410557	0.72386376
0.59442673	0.49517384	0.69367963
0.15467930	0.09900292	0.21035567
0.24222654	0.18564642	0.29880667
0.52001428	0.40758118	0.63244737
0.35015535	0.26175471	0.43855600
0.04751380	0.01874391	0.07628369
0.28993606	0.22652831	0.35334382
0.61464206	0.51828396	0.71100016
0.63736987	0.54680726	0.72793247
0.17905451	0.13069273	0.22741628
0.16254891	0.12274129	0.20235654
0.53340291	0.42660134	0.64020449
0.42669011	0.31998707	0.53339315
0.06420439	0.02842564	0.09998314
0.27061612	0.20805203	0.33318022
0.68764359	0.60221628	0.77307089
0.65532814	0.55369584	0.75696043
0.14675193	0.10282570	0.19067816
0.15168450	0.11275406	0.19061494
0.33202183	0.26643691	0.39760675
0.25005328	0.18207521	0.31803136
