# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
10.33859873	6.80546724	13.87173022
17.23437147	12.71085401	21.75788893
16.65554759	11.97611249	21.33498269
1.57843165	0.12582269	3.03104062
9.36351161	6.36503487	12.36198834
12.94555500	9.77821188	16.11289813
16.51206036	11.42804032	21.59608040
1.53381633	0.01717223	3.05046044
32.07665939	20.54221517	43.61110360
46.23589775	36.94636734	55.52542816
43.23665516	33.08891576	53.38439457
13.18834238	5.59945551	20.77722925
19.05104969	14.63443899	23.46766039
26.70061703	20.66211425	32.73911981
28.80548209	24.03950164	33.57146253
3.38138045	1.30080346	5.46195744
45.14240143	33.06847083	57.21633203
111.98413368	94.53160245	129.43666490
107.99157483	89.79223097	126.19091868
33.55373621	22.44552064	44.66195177
30.83561457	21.08479035	40.58643880
66.50338124	55.74898622	77.25777626
56.98323371	44.45550335	69.51096407
8.92728633	3.89934051	13.95523215
60.68120111	43.64823779	77.71416444
117.67128639	97.86722999	137.47534279
112.66660362	96.65273185	128.68047539
42.80454590	33.31630611	52.29278569
42.29965765	31.54185040	53.05746489
65.99536256	52.83709017	79.15363494
53.09245247	40.76072368	65.42418125
16.45455541	8.38408072	24.52503011
46.03371223	30.95898292	61.10844154
84.57564778	65.39191192	103.75938363
91.78688762	74.63854332	108.93523191
36.22918060	24.62288976	47.83547144
40.08931512	26.15743741	54.02119284
81.45933257	67.45447027	95.46419487
82.10415834	66.35132741	97.85698926
25.32592641	14.76554852	35.88630430
24.25769263	15.59222148	32.92316379
95.43491160	77.25407111	113.61575209
90.71225671	73.45216405	107.97234936
33.34056366	22.10900880	44.57211853
29.23826960	19.57387929	38.90265991
61.69670431	49.58496183	73.80844678
45.12981100	35.13475386	55.12486814
9.76664940	3.95730308	15.57599573
43.05945775	28.94902417	57.16989133
88.00927981	71.67571740	104.34284221
92.45787822	74.34735998	110.56839646
26.76219501	17.62431621	35.90007382
34.23042627	20.56268121	47.89817133
49.26969604	37.57963042	60.95976165
29.94557581	22.79863784	37.09251378
3.09318244	1.11123996	5.07512491
37.56961913	24.17385644	50.96538182
91.01366413	73.66019100	108.36713726
90.23564498	73.76865864	106.70263132
34.13670027	22.15429235	46.11910819
23.43821949	13.86335152	33.01308746
42.64757925	31.62224286	53.67291565
26.93076279	21.38098259	32.48054299
2.88891721	0.98199965	4.79583478
34.81659387	23.83424224	45.79894550
133.33909091	110.70710377	155.97107804
113.40762308	93.19654655	133.61869962
31.95380020	21.70547725	42.20212315
30.65150176	22.97325212	38.32975141
48.92864443	38.14940748	59.70788137
32.30489234	26.29176399	38.31802068
5.96795719	2.24067936	9.69523501
43.40516261	30.55891262	56.25141259
123.96851573	104.92324114	143.01379032
86.33001912	73.27619168	99.38384655
40.48318880	29.92652179	51.03985580
56.21009064	39.09112823	73.32905305
98.46632616	79.26199417	117.67065814
72.05229807	54.03511533	90.06948081
14.58879544	7.66795969	21.50963120
71.19004165	47.18211081	95.19797248
94.47766888	74.40301144	114.55232632
93.42471882	77.06661753	109.78282011
38.73075497	28.76819494	48.69331500
27.77802180	19.68709068	35.86895291
90.13912748	70.59241927	109.68583569
80.02187819	64.56712724	95.47662914
20.76654411	12.78632223	28.74676599
51.40819571	34.08613449	68.73025693
110.26740490	93.00587523	127.52893457
91.25239707	74.85288463	107.65190951
32.15362758	23.36626858	40.94098659
37.33155114	26.68958030	47.97352197
58.12982039	47.76769776	68.49194302
55.94541448	43.76153659	68.12929238
