# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02615689	0.01729097	0.03502282
0.04559079	0.03390647	0.05727512
0.04764973	0.03231246	0.06298700
0.00350763	0.00027961	0.00673565
0.02367409	0.01595119	0.03139700
0.04244924	0.03108495	0.05381353
0.05239323	0.03568855	0.06909790
0.30734632	0.26797991	0.34671274
1.34379048	1.15816524	1.52941572
1.03528319	0.81478416	1.25578221
0.52042946	0.34851033	0.69234859
0.09050940	0.03412103	0.14689777
0.07435946	0.05378402	0.09493490
0.12545859	0.09143862	0.15947856
0.15049934	0.10890965	0.19208903
0.23263234	0.19165912	0.27360556
2.34743456	2.22421375	2.47065536
3.82486856	3.65769167	3.99204546
4.87936077	4.65486414	5.10385739
3.69217583	3.41135866	3.97299300
2.65206252	2.34966339	2.95446165
1.68104523	1.40155009	1.96054037
0.69855894	0.50907375	0.88804413
0.36045996	0.27265361	0.44826631
2.54978415	2.42008878	2.67947952
3.94713299	3.76030955	4.13395643
4.77214152	4.51949357	5.02478948
3.29470769	3.00642970	3.58298567
2.29507595	1.99190120	2.59825070
1.38574844	1.08140868	1.69008819
0.76723623	0.55417504	0.98029742
0.41611514	0.29238396	0.53984633
2.47067864	2.32270082	2.61865646
3.88888807	3.67256381	4.10521233
5.21117983	4.94114320	5.48121646
4.77212903	4.50302365	5.04123441
4.62787593	4.29941503	4.95633684
3.68167807	3.32969805	4.03365809
2.18736195	1.87671088	2.49801303
1.05038821	0.85409634	1.24668008
2.42762749	2.28439412	2.57086086
3.72345585	3.52210909	3.92480260
4.31877959	4.07159605	4.56596313
3.48282585	3.20492510	3.76072660
2.40731267	2.08650771	2.72811764
1.50472076	1.22401818	1.78542335
0.73009194	0.52635240	0.93383149
0.49659641	0.38012531	0.61306750
2.44930133	2.30529283	2.59330983
3.55970019	3.35201371	3.76738667
3.72559985	3.46923279	3.98196691
2.52907593	2.26040043	2.79775143
1.51052198	1.25672749	1.76431647
0.70052759	0.53450774	0.86654744
0.26593666	0.16469906	0.36717426
0.26870053	0.21388991	0.32351115
2.27566298	2.15177935	2.39954662
3.51853130	3.33018404	3.70687856
3.57436804	3.30658349	3.84215260
2.15217381	1.89885924	2.40548837
1.10714389	0.89256948	1.32171831
0.55331708	0.37960952	0.72702463
0.20315118	0.12627595	0.28002641
0.30134110	0.26124111	0.34144109
2.43574346	2.31577183	2.55571510
3.81606924	3.60375795	4.02838053
3.50647102	3.21000242	3.80293963
1.81327965	1.54434187	2.08221743
0.77009873	0.57400824	0.96618921
0.49215120	0.33670194	0.64760045
0.25521825	0.16159481	0.34884169
0.24548515	0.19515432	0.29581598
2.31696379	2.18664265	2.44728493
4.08926282	3.89651443	4.28201121
5.18628554	4.93357800	5.43899308
4.25413257	3.97138243	4.53688272
3.43201549	3.11607818	3.74795281
2.51734072	2.20674197	2.82793946
1.42297081	1.16147291	1.68446872
0.55741976	0.41461142	0.70022811
2.60050575	2.44470228	2.75630922
4.00375344	3.78664597	4.22086090
5.20218852	4.95339774	5.45097931
4.64285873	4.35634629	4.92937116
4.06190295	3.70027085	4.42353505
3.14857682	2.75731899	3.53983464
2.03059384	1.68986506	2.37132263
1.03609251	0.83591166	1.23627337
2.70094332	2.50647281	2.89541383
4.18337902	3.96004740	4.40671064
5.08847358	4.85911379	5.31783336
3.98639153	3.70761007	4.26517298
3.53816656	3.17802993	3.89830319
2.54120273	2.20204069	2.88036477
1.59026198	1.29153074	1.88899322
