# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00008948	-0.00008591	0.00026487
0.00000000	0.00000000	0.00000000
0.00111853	-0.00107379	0.00331085
0.00000000	0.00000000	0.00000000
0.00004842	-0.00001983	0.00011668
0.00061842	-0.00017150	0.00140835
0.00198780	-0.00057196	0.00454755
0.05004223	0.03261573	0.06746873
0.75010364	0.61000931	0.89019797
0.63360146	0.45945347	0.80774944
0.28890506	0.15775059	0.42005952
0.03523415	0.00275837	0.06770994
0.01096809	0.00441668	0.01751950
0.02106753	0.00214495	0.03999012
0.02626913	-0.00047064	0.05300891
0.04744321	0.02839957	0.06648684
1.47910379	1.36842087	1.58978671
2.92324883	2.76063767	3.08585999
4.00993733	3.79572157	4.22415309
2.96716830	2.70362417	3.23071244
1.98118177	1.71301413	2.24934941
1.11105014	0.87440297	1.34769731
0.37330774	0.22643200	0.52018349
0.11179960	0.05480359	0.16879561
1.66776678	1.54750412	1.78802944
3.06928152	2.89076497	3.24779808
3.92132942	3.67895530	4.16370353
2.60778005	2.34269248	2.87286763
1.58332143	1.30920487	1.85743799
0.93368329	0.66994716	1.19741942
0.45798587	0.28939858	0.62657316
0.17960833	0.09083879	0.26837788
1.59207552	1.45572606	1.72842498
2.99912973	2.78915385	3.20910562
4.33130338	4.07305682	4.58954994
4.00385747	3.75301155	4.25470338
3.83171756	3.52502275	4.13841237
2.90248833	2.57457016	3.23040650
1.55097371	1.27709184	1.82485558
0.57774121	0.42929075	0.72619167
1.57971970	1.44590486	1.71353454
2.86588085	2.67273152	3.05903017
3.49681985	3.26709081	3.72654889
2.75943407	2.49897066	3.01989748
1.75457958	1.46664685	2.04251230
1.01523718	0.77829517	1.25217918
0.42865994	0.26999868	0.58732120
0.20136663	0.12527337	0.27745988
1.57273036	1.43610467	1.70935605
2.70624618	2.50882654	2.90366581
2.94242721	2.70643672	3.17841769
1.88884777	1.65025220	2.12744334
0.98165669	0.77536294	1.18795043
0.37911259	0.26037446	0.49785072
0.10286636	0.03447639	0.17125633
0.06546483	0.03741021	0.09351945
1.40384428	1.28972746	1.51796109
2.66529581	2.48878789	2.84180374
2.77994133	2.52797887	3.03190380
1.55027154	1.32753310	1.77300998
0.66269749	0.49034383	0.83505116
0.28937443	0.15388800	0.42486086
0.07746655	0.03006682	0.12486629
0.05236987	0.03479793	0.06994180
1.55910664	1.45039554	1.66781774
2.95843781	2.75683092	3.16004471
2.73359295	2.45670833	3.01047757
1.21334670	0.97419459	1.45249881
0.42817948	0.27492814	0.58143082
0.24932511	0.12822941	0.37042082
0.09070248	0.02530133	0.15610363
0.05316819	0.02533307	0.08100331
1.44491235	1.32419195	1.56563275
3.19430831	3.00910977	3.37950684
4.30512219	4.06044596	4.54979841
3.51676438	3.25426302	3.77926574
2.65923522	2.36629761	2.95217283
1.85214425	1.57792910	2.12635940
0.90439620	0.68895031	1.11984210
0.24971115	0.14538979	0.35403250
1.71512757	1.57130040	1.85895474
3.11654914	2.90567244	3.32742583
4.32592273	4.08710936	4.56473610
3.87699824	3.61340762	4.14058886
3.27220038	2.93136680	3.61303396
2.44183632	2.08234316	2.80132948
1.47408597	1.18030303	1.76786892
0.56261337	0.41036645	0.71486029
1.82829902	1.64545542	2.01114262
3.31157504	3.09723160	3.52591849
4.21681061	3.99724459	4.43637663
3.27542519	3.02207422	3.52877616
2.79852188	2.46347917	3.13356459
1.92242224	1.62014834	2.22469615
1.10429418	0.85434527	1.35424308
