# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
10.33859873	6.80546724	13.87173022
17.23437147	12.71085401	21.75788893
16.65554759	11.97611249	21.33498269
1.57843165	0.12582269	3.03104062
9.36351161	6.36503487	12.36198834
12.94555500	9.77821188	16.11289813
16.51206036	11.42804032	21.59608040
107.33477477	89.84090351	124.82864602
286.74155244	244.71613357	328.76697131
151.90131129	121.14158111	182.66104148
75.46604072	53.46139478	97.47068667
20.87496003	10.71602019	31.03389988
20.18201456	15.37768519	24.98634393
26.67573609	20.63529657	32.71617560
28.69590663	23.92054922	33.47126405
41.35312208	23.67057833	59.03566583
535.53790136	479.44352886	591.63227386
538.86100942	484.37494084	593.34707799
564.07434073	490.88120730	637.26747416
721.56268401	638.69424337	804.43112466
528.92253314	448.82760119	609.01746510
213.14269484	162.51913084	263.76625884
96.83782653	74.81026346	118.86538960
49.68125122	30.24024546	69.12225698
576.39677244	521.11308252	631.68046237
534.42990636	475.78148476	593.07832795
596.20024585	518.30254291	674.09794879
553.91865919	477.01289201	630.82442636
424.52455806	343.13996256	505.90915356
128.29125599	102.40182153	154.18069045
95.15457677	59.35177564	130.95737789
54.90109430	33.28785449	76.51433411
558.51527363	501.24060761	615.78993965
369.86412748	309.98505425	429.74320070
439.78321150	373.05089111	506.51553188
800.22364015	690.49667131	909.95060899
921.27627561	804.76300435	1037.78954687
412.24264820	345.49715101	478.98814539
290.58820779	242.36139370	338.81502188
194.70811228	145.36733645	244.04888810
654.30198656	597.32528751	711.27868560
644.94058150	578.22362079	711.65754221
674.98606009	604.42168581	745.55043437
715.20455220	643.35124237	787.05786203
506.64972378	418.43418873	594.86525883
227.48500347	173.82777427	281.14223267
100.86272494	70.79694551	130.92850436
111.87331487	77.04486045	146.70176928
535.10849522	478.83562292	591.38136751
512.13185177	459.13274746	565.13095608
523.09479800	457.57466520	588.61493080
521.19730966	452.58585239	589.80876692
320.84803332	262.97846660	378.71760005
107.87428659	82.34346233	133.40511085
40.41116802	29.29503501	51.52730102
59.52668036	41.53289652	77.52046420
549.39940637	499.87702676	598.92178598
577.41983440	523.15869108	631.68097771
576.53033700	523.72459839	629.33607561
469.45615101	403.25289892	535.65940309
248.42975289	194.43141195	302.42809383
78.60903155	58.32616857	98.89189452
37.00516956	27.38304137	46.62729775
82.44301323	63.78447779	101.10154867
552.44916580	499.61103235	605.28729924
558.77203784	503.04441131	614.49966436
481.83955517	430.44965275	533.22945759
335.97148007	283.69414966	388.24881048
161.12986305	113.51118256	208.74854354
67.52499654	49.75820494	85.29178814
39.75643319	29.22088863	50.29197774
31.78196682	19.17905564	44.38487800
519.19012036	476.42089641	561.95934432
476.78902708	426.36035896	527.21769520
531.23865570	454.23909248	608.23821893
703.43833238	607.09056027	799.78610449
596.12637763	517.47399161	674.77876364
285.10787172	230.60648774	339.60925570
139.34055451	110.13831726	168.54279177
92.22280322	64.58315245	119.86245399
546.13327167	483.95116259	608.31538075
404.54684314	349.25344698	459.84023930
522.50313236	442.63635633	602.36990839
704.04691610	604.70966801	803.38416419
756.16200739	658.47791867	853.84609610
312.37577267	257.16299108	367.58855425
198.42041064	161.26463376	235.57618753
175.44378432	124.21615255	226.67141610
579.41201480	521.75593949	637.06809010
398.06798033	341.56378303	454.57217762
475.77304200	397.25988802	554.28619597
723.50489976	619.45870638	827.55109314
629.46705375	539.40527955	719.52882794
365.52349516	274.97418437	456.07280594
178.92714781	139.71464491	218.13965072
