# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02606741	0.01723820	0.03489662
0.04559079	0.03390647	0.05727512
0.04653120	0.03240794	0.06065446
0.00350763	0.00027961	0.00673565
0.02362567	0.01590970	0.03134163
0.04183082	0.03066240	0.05299924
0.05040543	0.03513727	0.06567359
0.25730409	0.22777470	0.28683349
0.59368684	0.53597323	0.65140044
0.40168173	0.34249621	0.46086725
0.23152441	0.18209958	0.28094923
0.05527525	0.02702020	0.08353029
0.06339137	0.04759254	0.07919020
0.10439106	0.08404187	0.12474024
0.12423021	0.10212451	0.14633590
0.18518914	0.15695107	0.21342720
0.86833076	0.84798133	0.88868020
0.90161973	0.88445370	0.91878576
0.86942343	0.84896720	0.88987967
0.72500753	0.69135301	0.75866204
0.67088075	0.62152572	0.72023578
0.56999509	0.51073341	0.62925678
0.32525120	0.26786474	0.38263766
0.24866036	0.20970335	0.28761737
0.88201737	0.86406758	0.89996716
0.87785147	0.85956690	0.89613603
0.85081211	0.82779853	0.87382568
0.68692763	0.64844151	0.72541376
0.71175452	0.66298415	0.76052489
0.45206515	0.39389192	0.51023838
0.30925036	0.25677199	0.36172873
0.23650681	0.19293017	0.28008345
0.87860312	0.85908557	0.89812067
0.88975833	0.87400687	0.90550980
0.87987645	0.85718037	0.90257252
0.76827156	0.73609200	0.80045113
0.79615837	0.76137509	0.83094165
0.77918974	0.73837566	0.82000382
0.63638825	0.58445787	0.68831863
0.47264699	0.41262076	0.53267323
0.84790779	0.82523056	0.87058502
0.85757500	0.83705780	0.87809220
0.82195974	0.79263173	0.85128775
0.72339177	0.68921165	0.75757190
0.65273310	0.60200182	0.70346438
0.48948358	0.43018460	0.54878257
0.30143201	0.24583684	0.35702718
0.29522978	0.24857821	0.34188134
0.87657097	0.85768160	0.89546033
0.85345401	0.83183507	0.87507296
0.78317264	0.74861412	0.81773117
0.64022816	0.59487999	0.68557633
0.52886529	0.46605612	0.59167446
0.32141500	0.26385113	0.37897887
0.16307030	0.12330128	0.20283933
0.20323570	0.17059699	0.23587441
0.87181871	0.85221066	0.89142675
0.85323549	0.83127520	0.87519578
0.79442671	0.76589378	0.82295965
0.60190227	0.55462232	0.64918222
0.44444640	0.38498822	0.50390458
0.26394264	0.21309721	0.31478807
0.12568462	0.09301336	0.15835589
0.24897123	0.21964691	0.27829556
0.87663682	0.85566192	0.89761172
0.85763143	0.83527106	0.87999179
0.77287807	0.73817769	0.80757845
0.59993296	0.54755732	0.65230859
0.34191925	0.28567884	0.39815966
0.24282608	0.20092998	0.28472218
0.16451577	0.13148641	0.19754513
0.19231696	0.16387675	0.22075717
0.87205144	0.85283967	0.89126321
0.89495452	0.87653216	0.91337687
0.88116336	0.86041986	0.90190685
0.73736819	0.70419341	0.77054298
0.77278027	0.73239290	0.81316765
0.66519646	0.61412942	0.71626350
0.51857461	0.45758745	0.57956177
0.30770862	0.25725150	0.35816574
0.88537818	0.86514516	0.90561120
0.88720430	0.86934015	0.90506845
0.87626580	0.85616302	0.89636857
0.76586048	0.73137087	0.80035009
0.78970257	0.75454800	0.82485713
0.70674050	0.66127566	0.75220534
0.55650787	0.49553581	0.61747993
0.47347915	0.41258104	0.53437725
0.87264430	0.85225170	0.89303689
0.87180397	0.84950270	0.89410525
0.87166297	0.85175520	0.89157073
0.71096634	0.67409727	0.74783541
0.73964468	0.69932701	0.77996236
0.61878049	0.56650528	0.67105569
0.48596780	0.42410458	0.54783103
