# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02013406	-0.01932870	0.05959682
0.00000000	0.00000000	0.00000000
0.10066760	-0.09664089	0.29797608
0.00000000	0.00000000	0.00000000
0.01089559	-0.00446202	0.02625319
0.09276369	-0.02572522	0.21125259
0.27508408	-0.04363969	0.59380785
16.41709646	9.56045356	23.27373936
153.30364696	123.64509397	182.96219995
84.98865276	61.66525678	108.31204874
36.75550777	20.27941228	53.23160327
6.28515813	1.34664701	11.22366926
1.72881230	0.73488770	2.72273691
3.76985508	0.16262337	7.37708680
2.72183786	0.82773199	4.61594373
12.05344865	4.18074151	19.92615579
330.51514459	291.85903750	369.17125167
400.09850556	360.38156060	439.81545052
459.97917520	398.76361959	521.19473080
579.18228743	506.96967710	651.39489777
392.89212685	323.59414398	462.19010973
132.98852699	91.15588775	174.82116623
43.83579200	28.07937817	59.59220582
16.83548549	5.46250803	28.20846295
361.66385339	322.74060385	400.58710293
409.31538906	363.49744026	455.13333786
482.61711973	418.26229862	546.97194083
432.04921089	366.10187925	497.99654254
295.75835184	225.00817887	366.50852480
74.70295571	54.46880693	94.93710449
54.29149691	25.54266747	83.04032635
24.81940167	11.01795363	38.62084972
338.98957540	300.02930075	377.94985005
279.29111687	232.33240334	326.24983040
359.36107613	304.60101795	414.12113431
668.90601470	575.10487259	762.70715681
759.88834564	658.58024484	861.19644645
315.53811020	258.18198808	372.89423233
196.72298170	157.07691876	236.36904463
103.31700575	67.34088130	139.29313020
417.20976196	374.33535006	460.08417387
489.62950448	435.69638914	543.56261982
537.02831200	479.65788355	594.39874044
559.82881454	496.08612319	623.57150589
370.43290308	292.41351651	448.45228965
147.40900642	103.47547929	191.34253354
55.14722439	32.20033288	78.09411589
47.52384832	26.34112266	68.70657397
336.73599393	294.47098103	379.00100684
377.78313141	335.64126807	419.92499474
410.41745995	355.63015715	465.20476276
385.95765429	327.18410004	444.73120853
201.48385854	155.33128524	247.63643183
55.08906539	37.29380669	72.88432409
10.90191310	3.69659203	18.10723417
12.89112450	5.77762433	20.00462467
329.24299980	294.00425520	364.48174440
433.18238383	390.26045598	476.10431168
443.70872100	398.71051774	488.70692427
336.88740915	279.13700331	394.63781499
147.26237544	104.49884726	190.02590362
31.98642138	17.03407800	46.93876476
9.93755370	4.38093768	15.49416973
13.89948882	7.54812294	20.25085470
344.77518460	307.57992593	381.97044327
429.84909153	383.85074080	475.84744226
367.72241925	323.28167173	412.16316676
214.97021534	170.21676413	259.72366655
89.79089136	51.71617333	127.86560940
27.10850549	14.48471317	39.73229781
9.06873055	2.13752992	15.99993118
6.16336725	2.02799040	10.29874410
308.24791493	278.27442113	338.22140874
364.83494172	325.73863588	403.93124757
434.79831478	371.25411869	498.34251087
578.34845065	495.25932806	661.43757324
453.98116792	387.48555085	520.47678499
203.55716671	159.67320962	247.44112379
79.01630016	56.63738140	101.39521892
38.41610553	21.76203361	55.07017745
348.10048308	301.58506162	394.61590454
306.51499100	263.99751746	349.03246454
426.59095725	361.25953915	491.92237535
583.86760412	498.38043805	669.35477020
602.21118631	516.84233352	687.58003910
234.81104326	188.69114474	280.93094178
134.15806823	104.60867068	163.70746578
95.60765802	59.27189502	131.94342102
371.86459316	328.56001475	415.16917157
308.14960831	263.63539365	352.66382298
389.69127603	324.94685711	454.43569495
586.87463353	498.75405261	674.99521446
493.73635605	415.38295849	572.08975360
277.12971890	200.78848820	353.47094960
117.54595081	87.20612982	147.88577180
