# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
11.71875000	3.17796565	20.25953435
25.48828125	13.53608703	37.44047547
19.45312500	8.70971218	30.19653782
0.00000000	0.00000000	0.00000000
15.23437500	5.53870608	24.93004392
32.51953125	19.46593969	45.57312281
27.53906250	15.05510027	40.02302473
141.03515625	125.56408003	156.50623247
92.75809152	77.51048750	108.00569554
86.01562500	70.23246954	101.79878046
77.87109375	61.13772394	94.60446356
0.00000000	0.00000000	0.00000000
54.02343750	38.68325684	69.36361816
87.95758929	70.80611835	105.10906022
91.52343750	74.61680250	108.43007250
153.80859375	138.55998832	169.05719918
121.74107143	114.20166578	129.28047707
100.68232549	94.15950532	107.20514565
102.45535714	93.36712621	111.54358808
38.96484375	25.70836616	52.22132134
42.18750000	27.85655823	56.51844177
86.71875000	69.54501827	103.89248173
84.49218750	66.95030031	102.03407469
168.45703125	154.59772543	182.31633707
120.88727679	112.71932624	129.05522733
97.75111607	91.42278529	104.07944685
111.52622768	101.14708221	121.90537315
17.98828125	7.91550915	28.06105335
80.22321429	63.45740185	96.98902673
101.57645089	86.24186932	116.91103247
108.05524554	93.27377060	122.83672047
155.27343750	139.44955257	171.09732243
119.07226563	111.14479017	126.99974108
97.96316964	90.70122848	105.22511080
92.38851968	85.97282117	98.80421820
92.75390625	78.18208535	107.32572715
94.95535714	77.99096856	111.91974572
96.06863839	79.71098314	112.42629365
92.22656250	75.19068927	109.26243573
164.64843750	149.08928431	180.20759069
141.30301339	133.24926762	149.35675917
114.33733259	106.51577452	122.15889065
102.39397321	89.51537645	115.27256998
37.61718750	24.71446143	50.51991357
61.93359375	45.92024568	77.94694182
77.46093750	60.30551401	94.61636099
85.48828125	68.72775021	102.24881229
164.94140625	151.68649555	178.19631695
121.91685268	114.62523902	129.20846634
111.49553571	102.32170238	120.66936905
110.67103795	97.04599544	124.29608045
21.67968750	10.72334408	32.63603092
36.15234375	22.36754114	49.93714636
62.40234375	46.17321845	78.63146905
84.08203125	66.75426046	101.40980204
147.65625000	132.04345876	163.26904124
117.92131696	110.76726708	125.07536684
120.56082589	112.27965200	128.84199979
100.31668527	85.92474252	114.70862801
6.56250000	1.15960339	11.96539661
46.99218750	32.06205482	61.92232018
78.63281250	61.19543173	96.07019327
65.33203125	48.59943103	82.06463147
167.57812500	154.76694848	180.38930152
111.45786830	104.43286889	118.48286771
106.13420759	97.32148785	114.94692733
89.93024554	74.28452078	105.57597029
2.92968750	-1.19598720	7.05536220
82.14843750	65.14966850	99.14720650
105.44363839	89.64358581	121.24369098
99.25781250	82.52256541	115.99305959
155.27343750	139.70360861	170.84326639
117.87388393	111.05999340	124.68777446
92.53348214	86.39133495	98.67562934
102.82366071	94.35109539	111.29622604
50.91796875	36.46542624	65.37051126
97.64648438	80.81096543	114.48200332
109.89257813	93.93690783	125.84824842
107.34375000	90.85878176	123.82871824
163.76953125	148.21813921	179.32092329
114.27455357	106.88134198	121.66776516
97.03264509	90.88532341	103.17996677
94.46580763	86.97877385	101.95284141
85.66406250	69.56596528	101.76215972
84.31640625	67.81451613	100.81829637
116.78571429	100.97185506	132.59957351
103.62723214	87.35176647	119.90269782
168.45703125	153.22682535	183.68723715
116.88616071	108.47606023	125.29626120
101.37834821	93.34331935	109.41337708
98.44866071	89.98368199	106.91363944
74.23828125	58.56592819	89.91063431
75.64453125	59.67458963	91.61447287
95.59988839	78.96085926	112.23891753
96.44531250	79.79108234	113.09954266
