# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00001689	-0.00001035	0.00004413
0.00008674	0.00000970	0.00016377
0.00026285	0.00014158	0.00038411
0.00045399	0.00028896	0.00061901
0.00105805	0.00072013	0.00139597
0.00182638	0.00141369	0.00223907
0.00144263	0.00114426	0.00174100
0.00095027	0.00070214	0.00119839
0.00045104	0.00029614	0.00060595
0.00011671	-0.00000268	0.00023609
0.00009615	0.00003288	0.00015942
0.00019253	0.00007301	0.00031204
0.00068896	0.00042679	0.00095112
0.00123806	0.00090191	0.00157421
0.00152619	0.00115338	0.00189900
0.00102914	0.00074254	0.00131574
0.00072528	0.00046357	0.00098698
0.00063125	0.00037927	0.00088323
0.00100143	0.00074818	0.00125469
0.00241741	0.00199402	0.00284080
0.00493953	0.00432012	0.00555894
0.00540457	0.00482950	0.00597964
0.00443164	0.00396899	0.00489429
0.00298382	0.00265041	0.00331722
0.00198559	0.00169272	0.00227846
0.00109562	0.00084246	0.00134878
0.00084733	0.00058907	0.00110558
0.00079172	0.00053103	0.00105242
0.00083999	0.00055571	0.00112427
0.00094312	0.00061538	0.00127086
0.00067631	0.00046762	0.00088500
0.00062628	0.00042835	0.00082421
0.00050082	0.00031768	0.00068396
0.00038724	0.00025638	0.00051809
0.00037215	0.00024910	0.00049520
0.00039591	0.00026242	0.00052940
0.00067554	0.00048152	0.00086956
0.00092242	0.00068135	0.00116349
0.00056926	0.00040123	0.00073729
0.00026852	0.00016121	0.00037583
0.00015412	0.00005200	0.00025624
0.00009542	0.00001899	0.00017184
0.00007736	0.00001318	0.00014154
0.00006589	0.00001246	0.00011931
0.00017044	0.00003791	0.00030296
0.00014077	0.00004091	0.00024064
0.00018399	0.00009204	0.00027594
0.00013023	0.00005290	0.00020756
0.00008300	0.00002085	0.00014516
0.00000313	-0.00000301	0.00000927
0.00001602	-0.00000637	0.00003840
0.00007089	-0.00002220	0.00016398
0.00009103	0.00002006	0.00016199
0.00019427	0.00008604	0.00030251
0.00024155	0.00010013	0.00038297
0.00015183	0.00004095	0.00026272
0.00008164	0.00001554	0.00014775
0.00006770	0.00001896	0.00011644
0.00022548	0.00009883	0.00035214
0.00066798	0.00045295	0.00088301
0.00190862	0.00150225	0.00231499
0.00287289	0.00237153	0.00337425
0.00280853	0.00238493	0.00323214
0.00188149	0.00158246	0.00218052
0.00124604	0.00097237	0.00151970
0.00092261	0.00065477	0.00119045
0.00100170	0.00073481	0.00126859
0.00194501	0.00154098	0.00234904
0.00358990	0.00305694	0.00412286
0.00455118	0.00400605	0.00509631
0.00406640	0.00356266	0.00457015
0.00287340	0.00250749	0.00323931
0.00241919	0.00205278	0.00278559
0.00184355	0.00147571	0.00221138
0.00202225	0.00165306	0.00239144
0.00207040	0.00165506	0.00248573
0.00385868	0.00325759	0.00445977
0.00475080	0.00414637	0.00535524
0.00371937	0.00326127	0.00417747
0.00259201	0.00221882	0.00296520
0.00265495	0.00223537	0.00307453
0.00203693	0.00166359	0.00241027
