# mean	lower_ci	upper_ci
1.75781250	-1.68750000	5.20312500
8.78906250	1.20740228	16.37072272
0.00000000	0.00000000	0.00000000
5.27343750	-0.64684449	11.19371949
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
5.27343750	-0.64684449	11.19371949
3.51562500	-1.33756205	8.36881205
15.82031250	6.22206832	25.41855668
15.23437500	5.53870608	24.93004392
10.54687500	2.27541260	18.81833740
10.54687500	2.27541260	18.81833740
7.03125000	0.22249672	13.84000328
15.23437500	5.53870608	24.93004392
10.83984375	2.80417302	18.87551448
8.20312500	1.05216207	15.35408793
16.99218750	7.17993320	26.80444180
16.99218750	6.78159999	27.20277501
21.09375000	9.68740832	32.50009168
16.99218750	6.78159999	27.20277501
10.54687500	2.27541260	18.81833740
16.99218750	6.78159999	27.20277501
22.26562500	10.69476462	33.83648538
11.71875000	3.17796565	20.25953435
21.97265625	10.48568173	33.45963077
28.12500000	15.49506509	40.75493491
16.99218750	6.78159999	27.20277501
26.36718750	14.10141982	38.63295518
28.41796875	15.63773482	41.19820268
29.29687500	16.53768420	42.05606580
21.09375000	10.04255695	32.14494305
14.06250000	4.59004882	23.53495118
14.06250000	4.59004882	23.53495118
16.40625000	6.49657900	26.31592100
19.33593750	8.73806314	29.93381186
20.50781250	9.36350883	31.65211617
16.40625000	6.49657900	26.31592100
15.23437500	5.53870608	24.93004392
13.47656250	4.33495638	22.61816862
16.99218750	6.78159999	27.20277501
13.47656250	4.33495638	22.61816862
4.68750000	-0.65850942	10.03350942
5.27343750	-0.64684449	11.19371949
5.27343750	-0.64684449	11.19371949
7.03125000	0.22249672	13.84000328
13.47656250	4.33495638	22.61816862
6.44531250	0.12459183	12.76603317
16.99218750	6.78159999	27.20277501
16.99218750	6.78159999	27.20277501
11.42578125	3.01009120	19.84147130
9.96093750	2.07841887	17.84345613
9.96093750	2.07841887	17.84345613
8.20312500	1.05216207	15.35408793
6.44531250	0.12459183	12.76603317
8.78906250	1.20740228	16.37072272
4.21875000	-0.81146943	9.24896943
2.92968750	-1.19598720	7.05536220
10.54687500	2.27541260	18.81833740
9.96093750	2.07841887	17.84345613
11.71875000	3.17796565	20.25953435
14.06250000	4.59004882	23.53495118
9.96093750	2.07841887	17.84345613
21.09375000	9.68740832	32.50009168
8.78906250	1.20740228	16.37072272
12.30468750	3.40717792	21.20219708
10.54687500	2.27541260	18.81833740
7.03125000	0.22249672	13.84000328
8.20312500	1.05216207	15.35408793
10.25390625	2.61850194	17.88931056
17.69531250	7.42727850	27.96334650
22.26562500	11.04470494	33.48654506
12.30468750	3.40717792	21.20219708
21.67968750	10.36521783	32.99415717
14.64843750	5.70900773	23.58786727
17.87109375	7.55992808	28.18225942
12.01171875	4.19485377	19.82858373
25.78125000	13.75100219	37.81149781
23.43750000	12.05303052	34.82196948
14.06250000	4.59004882	23.53495118
24.02343750	12.04899875	35.99787625
28.12500000	15.49506509	40.75493491
25.78125000	13.42395963	38.13854037
19.33593750	8.73806314	29.93381186
18.75000000	8.43770133	29.06229867
25.78125000	13.75100219	37.81149781
27.53906250	14.81777581	40.26034919
31.64062500	18.33322637	44.94802363
16.40625000	6.49657900	26.31592100
26.95312500	14.45710640	39.44914360
21.67968750	10.36521783	32.99415717
23.14453125	11.49685113	34.79221137
21.67968750	10.36521783	32.99415717
18.16406250	7.75603389	28.57209111
15.23437500	5.53870608	24.93004392
12.30468750	3.40717792	21.20219708
17.57812500	7.07622780	28.08002220
