# mean	lower_ci	upper_ci
91.57805858	80.19798387	102.95813329
103.47293076	90.34728609	116.59857542
96.01835381	85.71225999	106.32444762
114.90333319	99.64311313	130.16355325
111.92540063	94.27906916	129.57173209
117.47261254	104.04282275	130.90240234
118.29076325	103.85697792	132.72454859
103.54214097	89.72387867	117.36040326
104.41655306	95.22366247	113.60944364
127.12793478	117.49261031	136.76325924
132.35817748	120.54308062	144.17327434
125.40987700	113.98284003	136.83691398
132.15875291	118.98867318	145.32883265
133.63353087	124.49377490	142.77328683
127.24131303	117.95493406	136.52769200
130.82007698	119.11477770	142.52537627
139.83913351	128.49540717	151.18285986
136.21770001	125.77026737	146.66513266
128.26850545	119.50147343	137.03553748
131.03865156	120.69027606	141.38702706
120.97224676	111.96644242	129.97805109
124.87954620	116.21369161	133.54540078
122.35039483	110.55890690	134.14188276
129.58813734	119.88100821	139.29526647
134.25881129	123.73591432	144.78170826
128.76773686	118.64330897	138.89216474
146.13372789	133.68040700	158.58704877
149.02376182	136.62684649	161.42067715
146.67275336	136.77314972	156.57235700
140.47378439	129.92164914	151.02591963
145.95749910	133.49553027	158.41946792
147.87073742	136.10665946	159.63481537
140.49452763	129.69158956	151.29746570
148.57097179	133.77334458	163.36859900
134.12872314	121.71447849	146.54296779
144.31796962	132.59324401	156.04269522
131.90180666	122.14930520	141.65430812
140.03012013	128.47600943	151.58423083
130.05456008	121.34422728	138.76489288
140.74332604	129.79386751	151.69278458
118.26744862	110.53409927	126.00079796
123.84135456	110.55012289	137.13258624
109.88120295	98.89667100	120.86573490
117.50792729	107.83776873	127.17808584
127.19448154	116.14167004	138.24729304
117.59046111	108.59798758	126.58293463
118.69640210	109.87872958	127.51407462
130.18430033	120.98249658	139.38610408
134.09684928	114.48626304	153.70743552
128.46069968	116.12913646	140.79226290
125.17013416	115.31654517	135.02372315
121.45463935	113.11865768	129.79062103
116.70920062	108.52356958	124.89483166
122.32377520	112.38778973	132.25976068
120.22504844	110.02088509	130.42921179
119.29571011	109.06867431	129.52274591
111.65977232	102.49724327	120.82230137
126.40807087	114.35835214	138.45778960
116.08873345	101.90798393	130.26948296
129.86331987	113.69967597	146.02696376
123.72988044	111.75443581	135.70532507
124.42677423	113.87286444	134.98068402
118.34899091	108.22635605	128.47162577
118.19653322	109.92397074	126.46909571
128.01228359	116.81281753	139.21174964
131.79162828	122.71296668	140.87028989
129.26996666	118.51029409	140.02963923
129.35039044	119.44391932	139.25686157
137.81874380	128.01572955	147.62175805
138.28209022	126.32639867	150.23778176
128.74528127	119.44325391	138.04730863
137.52306871	127.09369242	147.95244500
127.55677912	119.51571032	135.59784792
152.77832957	139.12054398	166.43611515
141.28658616	125.13280718	157.44036514
148.51731869	129.76109789	167.27353949
143.81334907	131.38081459	156.24588356
142.39492054	130.92118961	153.86865147
150.98844690	138.44036554	163.53652826
168.16199568	153.28587999	183.03811137
155.85751327	140.93256608	170.78246046
159.33078544	144.05952247	174.60204841
146.09391123	133.93806569	158.24975676
146.19931512	132.15645114	160.24217911
146.64206539	135.19905537	158.08507541
150.54069793	135.73183598	165.34955988
143.13737839	132.68365344	153.59110334
147.50189461	137.51016745	157.49362177
152.79355214	139.36583563	166.22126865
144.67583402	132.59770760	156.75396044
150.49454193	138.20351406	162.78556981
145.84152433	132.03340264	159.64964601
137.27373148	121.69611023	152.85135272
128.98307313	119.48391933	138.48222694
141.49977895	130.70125796	152.29829994
136.48065436	124.51748821	148.44382050
