# mean	lower_ci	upper_ci
0.10035399	0.08724220	0.11346578
0.13987822	0.12091140	0.15884503
0.14531663	0.12592419	0.16470907
0.15639772	0.13770607	0.17508937
0.16553928	0.14239751	0.18868105
0.19533579	0.17285499	0.21781660
0.18420159	0.16064918	0.20775399
0.18187461	0.15624950	0.20749972
0.23698760	0.21115610	0.26281910
0.35550779	0.32489637	0.38611921
0.37850065	0.34861592	0.40838537
0.35991696	0.32570239	0.39413153
0.40227771	0.36955860	0.43499682
0.43956165	0.40469286	0.47443043
0.45051903	0.41844340	0.48259466
0.39859532	0.36666227	0.43052837
0.45882251	0.42538684	0.49225818
0.46349407	0.43072245	0.49626569
0.46969181	0.43454961	0.50483400
0.45022975	0.42033520	0.48012430
0.39905100	0.36484092	0.43326107
0.37376747	0.34248937	0.40504557
0.35786938	0.32314338	0.39259538
0.37289918	0.34605943	0.39973893
0.47916181	0.44324656	0.51507706
0.50596774	0.47247099	0.53946449
0.54990098	0.51277366	0.58702829
0.56665641	0.53208178	0.60123105
0.62267844	0.58837813	0.65697875
0.61564848	0.57994367	0.65135328
0.59089271	0.55597795	0.62580746
0.61720518	0.57726426	0.65714609
0.58891948	0.55337606	0.62446290
0.60456639	0.57052551	0.63860727
0.55893093	0.52240265	0.59545920
0.58614037	0.55081055	0.62147018
0.53373805	0.49714936	0.57032673
0.48953555	0.45412740	0.52494370
0.49794949	0.46079246	0.53510652
0.49306418	0.45885242	0.52727594
0.37746366	0.34691774	0.40800957
0.28534716	0.25867576	0.31201856
0.27906075	0.25239010	0.30573140
0.28042802	0.25187577	0.30898028
0.32951687	0.29715986	0.36187388
0.33958547	0.30886416	0.37030678
0.34114272	0.31130944	0.37097600
0.37326381	0.34514271	0.40138491
0.37663849	0.34523008	0.40804690
0.37588417	0.34733162	0.40443672
0.36482712	0.33288781	0.39676642
0.37642301	0.34849074	0.40435528
0.32275450	0.29231745	0.35319155
0.30181110	0.27150071	0.33212149
0.30577655	0.27718203	0.33437106
0.29992730	0.27016282	0.32969178
0.27722992	0.24824268	0.30621715
0.26834244	0.24316851	0.29351636
0.25107075	0.22524133	0.27690018
0.27062846	0.24231580	0.29894113
0.29958469	0.27037900	0.32879038
0.34681101	0.31653966	0.37708236
0.31687855	0.28970999	0.34404711
0.31546940	0.28753868	0.34340013
0.37800208	0.34520110	0.41080306
0.42618713	0.39556608	0.45680818
0.40625213	0.37492056	0.43758369
0.41436105	0.38123963	0.44748247
0.48637452	0.45273296	0.52001609
0.50946185	0.47178131	0.54714239
0.48992017	0.45362817	0.52621216
0.51954753	0.48626482	0.55283023
0.52130029	0.48676970	0.55583089
0.58234419	0.54413901	0.62054937
0.55733763	0.51972012	0.59495515
0.55231747	0.51433551	0.59029943
0.57074208	0.53435515	0.60712900
0.60470982	0.56888233	0.64053732
0.61515787	0.57852671	0.65178902
0.66731183	0.63118591	0.70343775
0.61870448	0.58201935	0.65538962
0.63458160	0.59746862	0.67169458
0.61397109	0.57669031	0.65125187
0.62099965	0.58646698	0.65553231
0.60181625	0.56431084	0.63932166
0.60029213	0.56382913	0.63675514
0.59917216	0.56116947	0.63717485
0.61038681	0.57438633	0.64638729
0.63846477	0.60432546	0.67260408
0.60262330	0.56935093	0.63589567
0.60722210	0.57068612	0.64375808
0.61020646	0.57200895	0.64840396
0.49025693	0.45305204	0.52746183
0.45297896	0.41650539	0.48945252
0.47060531	0.43258595	0.50862467
0.47500260	0.43895532	0.51104988
