# mean	lower_ci	upper_ci
0.17771928	0.14119658	0.21424199
0.38109709	0.32412137	0.43807280
0.40648427	0.34552298	0.46744557
0.37546358	0.32002320	0.43090396
0.38027080	0.33426579	0.42627582
0.49462558	0.43413908	0.55511208
0.45500144	0.40160386	0.50839902
0.49456139	0.43460912	0.55451367
0.57657701	0.50018494	0.65296909
0.87225727	0.77011296	0.97440159
1.01544662	0.87892212	1.15197112
1.13376963	0.96986241	1.29767685
1.07304229	0.88731438	1.25877021
1.17993098	1.03182506	1.32803690
1.28997607	1.14340497	1.43654717
1.39756357	1.23229537	1.56283178
1.26492815	1.09114701	1.43870929
1.29814815	1.07883053	1.51746576
1.41253164	1.24348490	1.58157839
1.63024587	1.40955317	1.85093857
1.38394048	1.20145897	1.56642200
1.03874683	0.91757669	1.15991696
1.08196659	0.94542261	1.21851058
1.31138263	1.13172617	1.49103908
1.15116993	1.01010369	1.29223618
1.38081436	1.20006890	1.56155983
1.78459658	1.58223606	1.98695709
1.87803904	1.63720823	2.11886985
2.09296211	1.79597008	2.38995414
2.07511413	1.79726859	2.35295968
2.48397669	2.19478007	2.77317331
3.00787836	2.59767140	3.41808533
2.54780470	2.19045926	2.90515015
2.05384686	1.75306541	2.35462832
2.65146222	2.29411223	3.00881221
2.47069536	2.10833256	2.83305816
2.90145483	2.50241230	3.30049736
2.24661255	1.87276849	2.62045660
2.25892389	1.90518686	2.61266092
2.23954162	1.87462078	2.60446245
1.85097058	1.59806726	2.10387389
1.22250605	1.04106366	1.40394844
0.97482353	0.83653077	1.11311630
1.02149283	0.80597529	1.23701037
0.90819323	0.77911378	1.03727269
0.95680613	0.83341150	1.08020075
1.04757306	0.90556557	1.18958055
0.99954562	0.87744276	1.12164848
1.06953445	0.94201480	1.19705410
0.98001692	0.83470069	1.12533315
1.14327790	1.01763091	1.26892489
1.12021883	0.97595096	1.26448670
1.08050870	0.93190175	1.22911566
0.81144628	0.70370750	0.91918506
0.90114431	0.79960687	1.00268176
0.86009551	0.76375710	0.95643393
0.78003359	0.67581399	0.88425320
0.75733138	0.65619950	0.85846327
0.71687244	0.61387154	0.81987334
0.65820468	0.59076408	0.72564527
0.82728826	0.70942884	0.94514769
0.95927465	0.84263718	1.07591211
0.94473127	0.81144185	1.07802068
0.95109830	0.84472177	1.05747482
0.95997957	0.82397859	1.09598055
1.15385203	0.98458536	1.32311869
1.56245254	1.28678526	1.83811983
1.37315692	1.18448328	1.56183056
1.37907167	1.23756254	1.52058080
1.36427124	1.20764310	1.52089937
1.95931519	1.69551189	2.22311850
2.01723309	1.73582383	2.29864235
1.58388816	1.35179874	1.81597759
1.81586700	1.53087320	2.10086079
2.21507420	1.81640773	2.61374068
2.60075528	2.20504283	2.99646773
2.45705547	2.09859171	2.81551922
2.07557825	1.79607090	2.35508560
2.59850472	2.25425956	2.94274989
2.90838134	2.49741257	3.31935011
2.72597923	2.29209562	3.15986284
2.26240139	1.90605323	2.61874955
2.90991659	2.53589329	3.28393989
3.01486786	2.61577092	3.41396480
2.81709908	2.36189626	3.27230190
2.26051645	1.90129775	2.61973514
2.55373776	2.18305286	2.92442267
2.82798930	2.40849699	3.24748160
2.68655495	2.31036256	3.06274734
2.20866557	1.92640842	2.49092272
2.65487257	2.35174719	2.95799795
2.78350645	2.43680326	3.13020964
2.71434262	2.36214843	3.06653682
2.03114391	1.72905320	2.33323462
2.26771132	1.92402270	2.61139994
2.58240007	2.13092425	3.03387588
