# mean	lower_ci	upper_ci
92.78738839	76.49156008	109.08321671
121.00446429	107.88509271	134.12383586
128.94391741	116.21408153	141.67375329
114.64006696	101.32428993	127.95584400
116.81501116	103.70756954	129.92245278
110.75474330	100.32925406	121.18023255
113.75558036	102.48147866	125.02968205
111.93337912	100.22118700	123.64557125
99.15588318	90.15949936	108.15226700
86.92712561	79.19144811	94.66280311
71.30474018	65.29486508	77.31461529
75.16347910	69.46807972	80.85887848
78.03021198	72.21531205	83.84511190
67.10407756	61.94761139	72.26054373
64.12053767	58.70314564	69.53792969
67.56462288	61.60092912	73.52831663
72.80579284	66.13021026	79.48137542
65.21952657	60.42338333	70.01566981
61.97927073	57.27886133	66.67968013
53.16535515	49.70699155	56.62371875
64.30121636	60.57101259	68.03142014
71.98262675	66.90254648	77.06270702
74.93363570	68.65984530	81.20742610
72.47721029	66.12050852	78.83391206
72.36627630	66.83651068	77.89604193
57.02550867	53.64503266	60.40598468
53.62535722	49.83322921	57.41748523
54.60037665	49.73190047	59.46885282
50.36642069	47.21265937	53.52018201
52.26347182	48.09379687	56.43314677
44.30386675	41.11947957	47.48825393
44.04743241	41.33981825	46.75504656
52.33996960	49.02033175	55.65960745
49.60353087	46.65626863	52.55079312
44.01485176	41.52811996	46.50158356
45.22272412	42.23305649	48.21239175
48.73561153	45.84079858	51.63042448
54.48877094	49.35428420	59.62325767
52.62178646	48.11739870	57.12617422
52.76255569	49.45424586	56.07086552
66.28839078	60.19117977	72.38560179
81.15412420	72.57062539	89.73762300
82.42353838	73.97166658	90.87541018
86.75674911	78.88646472	94.62703350
90.85349221	82.88478401	98.82220041
77.12256494	70.07927667	84.16585320
73.88852014	67.97495598	79.80208430
74.67337350	69.07993106	80.26681594
79.10151372	72.70105638	85.50197106
76.75501257	70.67212123	82.83790390
70.61260029	64.01814679	77.20705379
67.76641327	63.52191210	72.01091445
78.03283630	71.05923785	85.00643476
96.28081879	87.22737929	105.33425829
83.65276325	76.55244450	90.75308201
90.70781757	82.37021059	99.04542455
99.49218750	90.90377487	108.08060013
88.14732143	79.52729150	96.76735136
95.25542817	87.63816126	102.87269507
100.87053571	92.92122046	108.81985096
92.71915584	84.76528708	100.67302461
84.87689069	77.04755391	92.70622746
82.42229450	74.34115399	90.50343501
86.62819602	79.28302419	93.97336785
85.21966315	78.41701485	92.02231145
71.52180339	65.26611014	77.77749664
67.70766974	62.58232348	72.83301601
68.27210875	63.06186459	73.48235291
65.77665011	60.14371879	71.40958143
59.32204514	54.97016410	63.67392619
52.39407709	49.33951673	55.44863745
55.52852708	51.43798614	59.61906802
58.45138260	55.12877471	61.77399049
58.41192499	52.68235609	64.14149388
48.94547089	45.53829581	52.35264596
49.72831332	45.33348558	54.12314106
52.16243229	48.54493793	55.77992666
50.52043946	47.49929738	53.54158155
45.28293591	41.95121447	48.61465735
43.86974855	41.20342753	46.53606957
54.91708975	50.67250003	59.16167947
48.67390508	44.86234402	52.48546614
40.68680049	38.78302820	42.59057277
43.19704164	40.70119153	45.69289175
50.18377905	46.99591950	53.37163860
49.90355348	47.25750377	52.54960318
44.79527883	41.30743557	48.28312208
45.79404389	42.89572491	48.69236286
50.42336713	47.22814826	53.61858601
54.17235109	49.17380461	59.17089756
41.22991137	38.52051119	43.93931155
45.41603085	42.66898315	48.16307856
51.04129068	47.42328370	54.65929767
56.38425052	52.34689877	60.42160226
52.40770711	47.74606354	57.06935068
53.42166529	49.08242750	57.76090308
