# mean	lower_ci	upper_ci
0.00024978	-0.00010619	0.00060575
0.00062611	0.00015193	0.00110029
0.00021603	0.00002727	0.00040479
0.00028877	0.00002866	0.00054888
0.00050765	0.00008587	0.00092943
0.00172512	0.00064238	0.00280786
0.00088300	0.00015470	0.00161130
0.00065962	0.00015356	0.00116567
0.00247517	0.00136275	0.00358759
0.00130811	0.00064188	0.00197434
0.00275644	0.00145219	0.00406068
0.00231855	0.00126261	0.00337448
0.00288788	0.00167293	0.00410283
0.00324352	0.00187779	0.00460925
0.00262641	0.00145035	0.00380246
0.00332525	0.00196749	0.00468300
0.00314199	0.00200953	0.00427444
0.00281521	0.00169994	0.00393048
0.00379146	0.00253710	0.00504581
0.00323252	0.00216894	0.00429610
0.00209107	0.00132226	0.00285988
0.00372004	0.00184823	0.00559185
0.00310465	0.00150795	0.00470135
0.00291156	0.00132015	0.00450296
0.00480372	0.00266385	0.00694359
0.00502131	0.00265128	0.00739134
0.00403424	0.00243746	0.00563102
0.00472438	0.00316635	0.00628240
0.00735347	0.00521928	0.00948767
0.00872497	0.00574834	0.01170161
0.00451334	0.00319191	0.00583477
0.00696146	0.00482381	0.00909910
0.00725719	0.00505993	0.00945445
0.00506990	0.00336995	0.00676986
0.00661356	0.00470514	0.00852197
0.00608879	0.00396194	0.00821563
0.00521904	0.00370636	0.00673171
0.00360769	0.00242422	0.00479116
0.00323497	0.00214767	0.00432227
0.00432757	0.00258477	0.00607037
0.00255684	0.00142433	0.00368935
0.00093248	0.00033556	0.00152941
0.00169700	0.00077304	0.00262096
0.00079441	0.00031505	0.00127377
0.00124142	0.00057921	0.00190364
0.00274354	0.00154501	0.00394206
0.00191217	0.00112008	0.00270426
0.00343388	0.00183598	0.00503178
0.00228577	0.00132754	0.00324401
0.00222800	0.00130572	0.00315028
0.00198708	0.00109537	0.00287879
0.00186871	0.00104495	0.00269247
0.00171555	0.00067655	0.00275454
0.00222317	0.00140678	0.00303956
0.00147097	0.00077234	0.00216961
0.00132269	0.00054111	0.00210426
0.00154663	0.00059631	0.00249694
0.00094591	0.00043607	0.00145575
0.00112551	0.00051362	0.00173741
0.00124397	0.00059891	0.00188904
0.00124643	0.00063453	0.00185834
0.00328075	0.00148465	0.00507685
0.00200364	0.00122416	0.00278312
0.00166571	0.00086918	0.00246224
0.00177217	0.00105784	0.00248649
0.00177766	0.00095385	0.00260148
0.00208874	0.00103972	0.00313775
0.00260915	0.00152498	0.00369332
0.00411238	0.00257006	0.00565469
0.00452566	0.00313060	0.00592071
0.00429517	0.00259038	0.00599996
0.00339373	0.00196737	0.00482010
0.00503270	0.00335664	0.00670876
0.00411085	0.00276945	0.00545226
0.00655962	0.00400206	0.00911719
0.00680836	0.00452472	0.00909200
0.00509026	0.00334628	0.00683425
0.00624953	0.00428712	0.00821195
0.00697887	0.00435150	0.00960625
0.00656503	0.00446217	0.00866790
0.00612280	0.00433345	0.00791215
0.00868601	0.00626495	0.01110707
0.00640689	0.00433003	0.00848375
0.00733802	0.00517658	0.00949946
0.00825292	0.00578500	0.01072084
0.00501389	0.00358717	0.00644060
0.00818127	0.00546721	0.01089532
0.00579604	0.00361142	0.00798065
0.00747706	0.00535690	0.00959722
0.00709911	0.00507139	0.00912683
0.00447127	0.00329773	0.00564482
0.00727490	0.00515631	0.00939348
0.00537122	0.00293856	0.00780388
0.00337853	0.00218820	0.00456886
0.00449076	0.00275768	0.00622384
0.00420546	0.00265441	0.00575651
