# mean	lower_ci	upper_ci
2.81048052	2.38240651	3.23855452
2.74317945	2.42531300	3.06104590
2.64642341	2.37382528	2.91902154
3.15594152	2.69330089	3.61858216
2.70085503	2.40901130	2.99269876
3.21858244	2.83553682	3.60162805
3.12810930	2.73242029	3.52379831
2.86535000	2.58071211	3.14998790
3.27427426	2.96153406	3.58701447
2.75091449	2.53340170	2.96842727
3.39074038	3.13084920	3.65063157
3.00567255	2.78656663	3.22477848
3.19268382	2.98299260	3.40237503
3.21309217	2.98116029	3.44502406
2.99866233	2.79919214	3.19813252
3.31325706	3.06581042	3.56070369
3.05943669	2.85071327	3.26816011
3.06789741	2.86180095	3.27399388
3.10153707	2.89920923	3.30386491
2.95218773	2.72574926	3.17862621
3.02664285	2.81087900	3.24240669
3.15702327	2.90373417	3.41031237
3.21166177	2.98608061	3.43724294
3.23358251	2.99586196	3.47130305
3.26821260	2.98355947	3.55286574
3.12126057	2.91633615	3.32618499
3.15989749	2.97242764	3.34736734
3.31378773	3.07441294	3.55316252
3.36522191	3.16932676	3.56111706
3.23245435	3.03645490	3.42845380
3.11676735	2.94611128	3.28742342
3.32147386	3.09275533	3.55019240
3.36153160	3.17562663	3.54743656
3.21585909	3.03458344	3.39713474
3.22863756	3.02841480	3.42886032
3.24718115	3.05301360	3.44134871
3.05859713	2.87781285	3.23938141
3.03099027	2.80488603	3.25709451
3.08622313	2.87435742	3.29808884
3.06327938	2.87355685	3.25300191
3.36573720	3.11044613	3.62102826
2.87972787	2.65341480	3.10604094
3.04255581	2.79865392	3.28645771
2.87910216	2.64579208	3.11241225
3.00776918	2.78196544	3.23357292
3.23508886	2.98880454	3.48137317
2.86413021	2.64695938	3.08130105
3.38942158	3.13112511	3.64771804
3.20317781	2.97071805	3.43563757
3.12835643	2.89944648	3.35726638
3.05792501	2.85149962	3.26435040
3.03162902	2.83949273	3.22376532
3.17180160	2.91164418	3.43195901
3.25076203	2.95631858	3.54520548
2.96238185	2.75821602	3.16654768
2.82883616	2.61383314	3.04383918
3.34841904	3.07697795	3.61986013
2.84697890	2.57029509	3.12366271
3.10658459	2.76183766	3.45133152
3.04029686	2.75660931	3.32398442
3.29050579	2.97340579	3.60760579
3.38784351	3.13267314	3.64301389
3.02819298	2.80745729	3.24892867
3.00492498	2.71734842	3.29250154
3.14465458	2.93209630	3.35721287
3.02823788	2.82490067	3.23157509
3.01045495	2.80081737	3.22009254
3.25638365	3.04511444	3.46765286
3.13850202	2.93098482	3.34601921
3.25461707	3.06996665	3.43926749
3.22824869	3.04245678	3.41404060
3.12553045	2.93070841	3.32035248
3.11859441	2.92562637	3.31156246
3.19084193	3.00638911	3.37529475
3.21881072	2.99355744	3.44406400
3.34146329	3.12186238	3.56106419
3.06925743	2.88679531	3.25171955
3.26264318	3.07542978	3.44985657
3.27658226	3.05957146	3.49359306
3.23861153	3.02775507	3.44946799
3.11251542	2.95281063	3.27222021
3.48837221	3.25982845	3.71691598
3.21742064	3.03545426	3.39938702
3.18776650	3.00126555	3.37426746
3.45720652	3.22356391	3.69084913
3.07464930	2.89941083	3.24988776
3.25276702	3.04009336	3.46544067
3.15931094	2.98155663	3.33706525
3.27511246	3.08645974	3.46376518
3.04632040	2.86499083	3.22764998
3.03955924	2.87786853	3.20124994
3.19085550	3.01044452	3.37126648
3.24970713	3.02846836	3.47094591
3.07803294	2.87259719	3.28346869
3.10648791	2.88744851	3.32552730
3.26845751	3.05971311	3.47720192
