# mean	lower_ci	upper_ci
0.01560345	0.01330681	0.01790008
0.01998287	0.01717588	0.02278986
0.02113401	0.01827221	0.02399581
0.02247028	0.01953010	0.02541045
0.02123634	0.01852620	0.02394648
0.02703943	0.02376856	0.03031029
0.02602742	0.02304398	0.02901085
0.02568400	0.02248315	0.02888485
0.03932269	0.03495376	0.04369161
0.04218793	0.03761184	0.04676402
0.05031084	0.04590607	0.05471560
0.04501135	0.04112593	0.04889677
0.05177288	0.04749038	0.05605537
0.05496213	0.05049458	0.05942968
0.05595825	0.05171483	0.06020167
0.05487488	0.04992304	0.05982671
0.05810307	0.05293983	0.06326630
0.05780958	0.05306030	0.06255885
0.05948523	0.05500312	0.06396735
0.05464806	0.04968808	0.05960803
0.05264530	0.04812163	0.05716898
0.04963996	0.04461352	0.05466641
0.04901914	0.04473983	0.05329846
0.05084801	0.04641620	0.05527983
0.06184463	0.05665192	0.06703734
0.06738521	0.06221401	0.07255642
0.06698561	0.06242995	0.07154128
0.07131485	0.06575982	0.07686987
0.07941012	0.07360576	0.08521449
0.07926813	0.07363038	0.08490589
0.07274090	0.06783863	0.07764318
0.07909406	0.07246905	0.08571907
0.07756852	0.07239114	0.08274591
0.07708922	0.07183120	0.08234724
0.07397848	0.06902581	0.07893115
0.07472026	0.06945184	0.07998868
0.06739168	0.06212935	0.07265402
0.05865863	0.05333709	0.06398016
0.06225260	0.05716301	0.06734220
0.05683667	0.05266280	0.06101054
0.05551529	0.05090065	0.06012994
0.03617907	0.03256026	0.03979788
0.04104633	0.03681686	0.04527580
0.03559232	0.03176062	0.03942401
0.04237513	0.03845553	0.04629474
0.04653532	0.04269833	0.05037231
0.04352073	0.03940871	0.04763275
0.05301122	0.04792851	0.05809392
0.05096733	0.04613813	0.05579653
0.05091544	0.04612023	0.05571066
0.04649181	0.04224056	0.05074306
0.04997430	0.04570605	0.05424255
0.04437348	0.04022615	0.04852082
0.04108473	0.03686031	0.04530916
0.04189581	0.03779656	0.04599505
0.03808141	0.03436902	0.04179379
0.04117239	0.03716229	0.04518249
0.03305485	0.02938506	0.03672465
0.03540243	0.03165142	0.03915344
0.03517375	0.03154499	0.03880252
0.04117364	0.03730429	0.04504299
0.04952175	0.04516990	0.05387360
0.04346929	0.03931378	0.04762479
0.04161140	0.03712367	0.04609912
0.04931024	0.04515163	0.05346884
0.05230667	0.04793672	0.05667662
0.05156614	0.04709584	0.05603643
0.05399613	0.04935510	0.05863716
0.06090151	0.05587503	0.06592799
0.06586889	0.06131102	0.07042676
0.06708228	0.06131978	0.07284478
0.06431510	0.05995067	0.06867954
0.06739204	0.06202666	0.07275742
0.06988752	0.06469438	0.07508067
0.07351627	0.06788443	0.07914812
0.07198230	0.06654706	0.07741754
0.07188440	0.06613397	0.07763483
0.07933527	0.07376819	0.08490235
0.07506351	0.06918254	0.08094449
0.07848685	0.07304333	0.08393038
0.07521720	0.06975628	0.08067813
0.08116687	0.07555541	0.08677833
0.07865798	0.07322910	0.08408686
0.08112833	0.07529624	0.08696041
0.07873250	0.07344439	0.08402062
0.07411445	0.06864913	0.07957976
0.07661555	0.07051257	0.08271854
0.07171630	0.06698218	0.07645042
0.07981294	0.07440632	0.08521957
0.07221137	0.06666839	0.07775435
0.07143019	0.06643468	0.07642570
0.07743370	0.07219270	0.08267469
0.06447227	0.05944497	0.06949957
0.05907137	0.05375450	0.06438824
0.05581381	0.05072912	0.06089849
0.06365653	0.05839147	0.06892159
