# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
2.58719824	2.23678797	2.93760852
0.73959831	0.55391824	0.92527838
0.06113272	0.01710958	0.10515585
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
9.54876707	9.19746449	9.90006964
6.42235939	6.10851263	6.73620616
4.23986255	3.94893557	4.53078952
1.79549419	1.54663287	2.04435551
0.32422562	0.22644517	0.42200607
0.02021161	-0.00775676	0.04817999
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
8.69478135	8.35307000	9.03649269
5.65197265	5.30561645	5.99832885
3.30250151	3.00714614	3.59785687
1.14733988	0.91960690	1.37507286
0.14909868	0.06337622	0.23482115
0.01550698	-0.01069170	0.04170566
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
10.37168231	9.90433842	10.83902619
7.87611112	7.49632912	8.25589312
5.61186768	5.24112764	5.98260773
3.30453417	3.01122067	3.59784767
1.28084678	1.04908107	1.51261248
0.15269539	0.09181102	0.21357977
0.00618793	-0.00184788	0.01422375
0.00000000	0.00000000	0.00000000
8.60144558	8.13573801	9.06715314
5.58261612	5.18265336	5.98257888
3.43687078	3.05704707	3.81669448
1.54908476	1.25905151	1.83911801
0.38779568	0.25517218	0.52041917
0.04168608	0.01243337	0.07093879
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.90993760	7.49835417	8.32152103
5.25425182	4.89707640	5.61142724
2.68583982	2.40332435	2.96835528
0.91632773	0.73038741	1.10226805
0.11056251	0.06207000	0.15905502
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.46313882	7.07954665	7.84673100
5.16606669	4.86251418	5.46961920
2.56204282	2.27408842	2.84999723
0.68152070	0.49849618	0.86454522
0.08530382	0.02470023	0.14590740
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.13366452	6.80131398	7.46601505
4.34617878	4.05433555	4.63802201
1.80612599	1.55027477	2.06197721
0.27820717	0.16778538	0.38862897
0.01230799	-0.00729088	0.03190685
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
9.40797016	9.00636079	9.80957953
6.78370759	6.45354990	7.11386528
4.33248860	4.03579809	4.62917911
2.06272602	1.80085214	2.32459990
0.41700335	0.28851017	0.54549654
0.01607524	-0.00109235	0.03324283
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
10.14086470	9.65332329	10.62840611
6.94030560	6.55420217	7.32640903
4.83462791	4.48123101	5.18802481
2.62051589	2.30374447	2.93728732
0.85673668	0.67596107	1.03751230
0.08285193	0.04138364	0.12432021
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
9.39834454	8.88956643	9.90712265
6.17155471	5.73705793	6.60605150
4.20513542	3.78442343	4.62584741
2.33361052	1.98459774	2.68262330
0.86441932	0.64011008	1.08872857
0.15480833	0.07782552	0.23179113
0.01115375	-0.00430855	0.02661606
0.00000000	0.00000000	0.00000000
