# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.63536065	0.58640957	0.68431173
0.25504696	0.19959570	0.31049823
0.02756577	0.00847746	0.04665407
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.84006232	0.81700281	0.86312184
0.75864088	0.72971723	0.78756454
0.77820585	0.74523980	0.81117189
0.53399296	0.47999014	0.58799577
0.13758442	0.10089028	0.17427856
0.00801339	-0.00217378	0.01820057
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.84131183	0.82118943	0.86143423
0.76376041	0.73113190	0.79638891
0.72002441	0.68300520	0.75704362
0.37496311	0.32032397	0.42960224
0.05681197	0.03057813	0.08304582
0.00615815	-0.00384546	0.01616176
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.79114298	0.76422081	0.81806514
0.77296056	0.74425313	0.80166799
0.74727121	0.71319059	0.78135183
0.69186928	0.64702155	0.73671701
0.41038327	0.34966707	0.47109947
0.06826240	0.04214534	0.09437946
0.00309397	-0.00092394	0.00711188
0.00000000	0.00000000	0.00000000
0.82170780	0.79507061	0.84834499
0.74229132	0.71018397	0.77439867
0.64594031	0.60176785	0.69011278
0.40971272	0.34643228	0.47299317
0.14364122	0.09912996	0.18815248
0.02010820	0.00623123	0.03398517
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.81698930	0.78987654	0.84410206
0.76910003	0.73774292	0.80045713
0.62348516	0.57461887	0.67235144
0.31688895	0.26184543	0.37193247
0.05284675	0.02990997	0.07578352
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.79235408	0.76070411	0.82400404
0.79926849	0.77369433	0.82484264
0.65285888	0.60727322	0.69844454
0.23634398	0.18716598	0.28552198
0.03461241	0.01279697	0.05642786
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.82346689	0.79574833	0.85118545
0.77500698	0.74127933	0.80873462
0.54347267	0.49244827	0.59449706
0.11290539	0.07640280	0.14940799
0.00551156	-0.00304773	0.01407085
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.79845559	0.77095316	0.82595803
0.76550983	0.73598436	0.79503530
0.74203686	0.70922108	0.77485263
0.56844741	0.51793825	0.61895658
0.16309269	0.12046694	0.20571845
0.00803762	-0.00054618	0.01662142
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.83326228	0.80384531	0.86267925
0.74283056	0.71098723	0.77467388
0.73758954	0.70183189	0.77334720
0.60733710	0.55480888	0.65986532
0.30771409	0.25105859	0.36436958
0.03909409	0.02028752	0.05790066
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.83253901	0.80591592	0.85916210
0.71667725	0.68371345	0.74964105
0.66462562	0.62374195	0.70550928
0.51746742	0.45730634	0.57762850
0.26918833	0.20977039	0.32860626
0.06327404	0.03541185	0.09113622
0.00557688	-0.00215428	0.01330803
0.00000000	0.00000000	0.00000000
