# s=60 S=80 h=0.0151 p=8.8000 c=2.5000
# time_s	level	cum_oos	holding_eur	shortage_eur	order_eur
0.000	80	0	0.0000	0.0000	0.0000
223.366	79	0	0.0062	0.0000	0.0000
1635.873	78	0	0.0453	0.0000	0.0000
1737.715	77	0	0.0480	0.0000	0.0000
1901.533	76	0	0.0524	0.0000	0.0000
2228.953	75	0	0.0611	0.0000	0.0000
2497.262	74	0	0.0682	0.0000	0.0000
2497.262	73	0	0.0682	0.0000	0.0000
2582.597	72	0	0.0703	0.0000	0.0000
3197.458	71	0	0.0858	0.0000	0.0000
3197.458	70	0	0.0858	0.0000	0.0000
3472.315	69	0	0.0925	0.0000	0.0000
3734.994	68	0	0.0989	0.0000	0.0000
3847.438	67	0	0.1016	0.0000	0.0000
3847.438	66	0	0.1016	0.0000	0.0000
3959.104	65	0	0.1041	0.0000	0.0000
3959.104	64	0	0.1041	0.0000	0.0000
4011.612	63	0	0.1053	0.0000	0.0000
4011.612	62	0	0.1053	0.0000	0.0000
4108.693	61	0	0.1074	0.0000	0.0000
4219.861	60	0	0.1098	0.0000	0.0000
4219.861	59	0	0.1098	0.0000	0.0000
4219.861	58	0	0.1098	0.0000	0.0000
4300.696	57	0	0.1114	0.0000	0.0000
4654.530	56	0	0.1185	0.0000	0.0000
4654.530	55	0	0.1185	0.0000	0.0000
4781.221	54	0	0.1209	0.0000	0.0000
4866.289	53	0	0.1225	0.0000	0.0000
4866.289	52	0	0.1225	0.0000	0.0000
4866.289	51	0	0.1225	0.0000	0.0000
4866.289	50	0	0.1225	0.0000	0.0000
4889.206	49	0	0.1229	0.0000	0.0000
4992.384	48	0	0.1247	0.0000	0.0000
4992.384	47	0	0.1247	0.0000	0.0000
5140.525	46	0	0.1271	0.0000	0.0000
5171.958	45	0	0.1276	0.0000	0.0000
5203.972	44	0	0.1281	0.0000	0.0000
5261.099	43	0	0.1290	0.0000	0.0000
5273.283	42	0	0.1292	0.0000	0.0000
5273.283	41	0	0.1292	0.0000	0.0000
5520.875	40	0	0.1327	0.0000	0.0000
6059.401	39	0	0.1403	0.0000	0.0000
6153.991	38	0	0.1415	0.0000	0.0000
6235.233	37	0	0.1426	0.0000	0.0000
6280.125	36	0	0.1432	0.0000	0.0000
6350.672	35	0	0.1441	0.0000	0.0000
6430.930	34	0	0.1451	0.0000	0.0000
6674.828	33	0	0.1480	0.0000	0.0000
6731.666	32	0	0.1486	0.0000	0.0000
6783.769	31	0	0.1492	0.0000	0.0000
6831.695	30	0	0.1497	0.0000	0.0000
6908.608	29	0	0.1505	0.0000	0.0000
6908.608	28	0	0.1505	0.0000	0.0000
6951.090	27	0	0.1510	0.0000	0.0000
7080.359	26	0	0.1522	0.0000	0.0000
7080.359	25	0	0.1522	0.0000	0.0000
7121.267	24	0	0.1525	0.0000	0.0000
7213.410	23	0	0.1533	0.0000	2.5000
7213.410	22	0	0.1533	0.0000	2.5000
7299.872	21	0	0.1540	0.0000	2.5000
7299.872	20	0	0.1540	0.0000	2.5000
7347.336	19	0	0.1543	0.0000	2.5000
7485.607	18	0	0.1552	0.0000	2.5000
7485.607	17	0	0.1552	0.0000	2.5000
7485.607	16	0	0.1552	0.0000	2.5000
7565.742	17	0	0.1557	0.0000	2.5000
7581.354	18	0	0.1558	0.0000	2.5000
7596.967	19	0	0.1559	0.0000	2.5000
7612.579	20	0	0.1560	0.0000	2.5000
7628.192	21	0	0.1561	0.0000	2.5000
7643.804	22	0	0.1562	0.0000	2.5000
7659.417	23	0	0.1563	0.0000	2.5000
7675.029	24	0	0.1564	0.0000	2.5000
7690.642	25	0	0.1566	0.0000	2.5000
7706.254	26	0	0.1567	0.0000	2.5000
7721.867	27	0	0.1568	0.0000	2.5000
7737.479	28	0	0.1570	0.0000	2.5000
7753.092	29	0	0.1571	0.0000	2.5000
7768.704	30	0	0.1573	0.0000	2.5000
7784.317	31	0	0.1575	0.0000	2.5000
7799.929	32	0	0.1576	0.0000	2.5000
7815.542	33	0	0.1578	0.0000	2.5000
7831.154	34	0	0.1580	0.0000	2.5000
7846.767	35	0	0.1582	0.0000	2.5000
7862.379	36	0	0.1584	0.0000	2.5000
7879.187	37	0	0.1586	0.0000	2.5000
7895.994	38	0	0.1588	0.0000	2.5000
7912.801	39	0	0.1590	0.0000	2.5000
7929.608	40	0	0.1592	0.0000	2.5000
7946.415	41	0	0.1595	0.0000	2.5000
7963.222	42	0	0.1597	0.0000	2.5000
7980.030	43	0	0.1600	0.0000	2.5000
7996.837	44	0	0.1602	0.0000	2.5000
8013.644	45	0	0.1605	0.0000	2.5000
8030.451	46	0	0.1607	0.0000	2.5000
8047.258	47	0	0.1610	0.0000	2.5000
8064.065	48	0	0.1613	0.0000	2.5000
8080.873	49	0	0.1616	0.0000	2.5000
8097.680	50	0	0.1619	0.0000	2.5000
8102.722	49	0	0.1619	0.0000	2.5000
8102.722	48	0	0.1619	0.0000	2.5000
8114.487	49	0	0.1621	0.0000	2.5000
8131.294	50	0	0.1624	0.0000	2.5000
8148.101	51	0	0.1627	0.0000	2.5000
