# mean	lower_ci	upper_ci
0.75209127	0.65885031	0.84533224
1.09688311	0.96837447	1.22539175
1.10564850	0.97389357	1.23740342
1.20084004	1.06221452	1.33946555
1.29365219	1.12936044	1.45794394
1.50159670	1.33316971	1.67002368
1.34167060	1.19189163	1.49144957
1.43040855	1.24438087	1.61643624
2.29195581	2.05889570	2.52501591
4.45406143	4.10642132	4.80170154
3.99143704	3.64302477	4.33984931
3.40196973	3.08165274	3.72228671
3.56952143	3.24387025	3.89517261
4.24314482	3.78658252	4.69970712
4.45875126	3.97796389	4.93953863
3.94797208	3.48141691	4.41452726
4.64155289	4.19249324	5.09061254
7.33477233	6.81069725	7.85884742
8.79186964	8.28353423	9.30020505
9.51909642	9.00692832	10.03126452
7.82328656	7.34698503	8.29958808
6.57019209	6.03169856	7.10868563
5.07728826	4.61923368	5.53534283
3.93876464	3.58572206	4.29180721
4.85945947	4.48186579	5.23705315
8.64424679	8.08760339	9.20089019
10.48827140	9.69887777	11.27766504
11.40432509	10.65227383	12.15637634
11.42368765	10.61342958	12.23394571
12.00487386	11.11170604	12.89804167
10.94801148	10.04727094	11.84875203
9.99598129	9.11176977	10.88019280
10.22795672	9.35130226	11.10461118
13.35306766	12.38923517	14.31690014
14.20140181	13.13318517	15.26961845
15.29158675	14.23952858	16.34364493
14.79215971	13.68390805	15.90041136
13.73248923	12.57039926	14.89457920
11.40866703	10.27979812	12.53753593
9.07055325	8.09872848	10.04237802
6.68926160	5.81420367	7.56431953
6.34840771	5.60491035	7.09190507
6.76125738	6.12472313	7.39779163
6.85759195	6.40003146	7.31515244
6.46472486	5.93558934	6.99386038
5.82377353	5.30272354	6.34482353
4.48460592	4.04595231	4.92325954
3.83095025	3.46648614	4.19541436
3.87608180	3.56722243	4.18494117
5.93962384	5.58976288	6.28948480
6.83251689	6.39440986	7.27062392
7.05982032	6.63520865	7.48443200
5.47594767	5.06673125	5.88516408
4.16246884	3.78343872	4.54149895
3.22853331	2.92948560	3.52758101
2.68577666	2.39363077	2.97792256
2.69361903	2.43932612	2.94791195
4.56809445	4.28212761	4.85406130
5.55973257	5.30247926	5.81698588
5.57615611	5.25130754	5.90100469
4.70380173	4.33716817	5.07043530
4.14605100	3.79088647	4.50121554
3.20184432	2.89649276	3.50719589
2.83741579	2.53679875	3.13803284
3.81357820	3.45287195	4.17428444
6.56586117	6.14097794	6.99074439
7.12475337	6.76978928	7.47971746
6.95673610	6.57179590	7.34167630
6.40735422	5.95810424	6.85660421
6.59800479	6.03528479	7.16072480
5.96242146	5.36927835	6.55556457
5.75244473	5.16398431	6.34090514
7.04526259	6.28184837	7.80867681
10.50086944	9.61788194	11.38385695
12.17185355	11.22818246	13.11552465
12.68615543	11.76833321	13.60397765
12.65717677	11.67814784	13.63620571
13.46792498	12.38127525	14.55457472
12.44544415	11.32834698	13.56254133
11.62488921	10.52792258	12.72185585
11.72749210	10.60227798	12.85270622
15.02444360	13.67350549	16.37538172
15.78532242	14.32690193	17.24374290
16.65477631	15.21863841	18.09091422
17.07281846	15.49019745	18.65543947
17.56177668	15.89155305	19.23200031
16.39125206	14.67815205	18.10435208
14.75746527	13.07989435	16.43503619
14.97819953	13.24843703	16.70796202
17.81795026	16.03888482	19.59701570
18.61365278	16.75946892	20.46783664
19.20899351	17.36985361	21.04813341
17.73623721	15.83669207	19.63578235
16.09856503	14.21285885	17.98427121
13.48597632	11.82084285	15.15110980
11.16727682	9.57078968	12.76376396
