# mean	lower_ci	upper_ci
138.63598518	124.37179843	152.90017194
151.25615955	137.49755657	165.01476254
143.31624137	130.64791350	155.98456924
166.44085518	148.48569778	184.39601258
167.44178984	147.50117446	187.38240522
164.27742719	150.29770394	178.25715044
159.88509348	145.01344667	174.75674028
151.64961170	137.52849721	165.77072620
169.51315026	154.34386724	184.68243328
234.74802057	214.54787277	254.94816837
224.34043323	202.88264446	245.79822199
197.90770437	183.80668881	212.00871993
214.07889823	199.30881109	228.84898537
232.38203618	210.74501977	254.01905258
232.08045505	212.72355012	251.43735999
223.87396685	197.68777009	250.06016362
245.26411943	227.66385422	262.86438465
288.97561796	263.21366495	314.73757097
317.92499517	292.87536349	342.97462684
311.01582964	292.99974425	329.03191504
258.94323010	238.92530189	278.96115830
251.35168915	230.86259165	271.84078665
237.34534398	218.84956297	255.84112499
224.11765558	208.25094037	239.98437078
253.95750742	234.99782073	272.91719411
322.63034967	291.23334507	354.02735427
370.39343012	336.98013739	403.80672285
384.34658171	353.20907346	415.48408995
377.07992521	342.20722713	411.95262330
445.47556612	400.20096452	490.75016772
402.44381182	368.79775910	436.08986455
382.87621033	348.33332763	417.41909303
454.51603351	409.00043591	500.03163110
502.81206303	451.82989756	553.79422851
463.13087693	419.14751043	507.11424343
463.48219783	421.83124194	505.13315372
475.71482966	424.06781731	527.36184202
455.95422061	406.62962434	505.27881688
396.95151145	354.43263348	439.47038943
367.51578127	315.34375029	419.68781226
312.21548110	271.72638441	352.70457779
276.65396893	230.35298101	322.95495686
266.29429073	240.00136762	292.58721384
288.91012503	265.56895158	312.25129848
255.57047694	216.37090815	294.77004572
233.57578344	212.18537787	254.96618900
221.86441026	206.12976530	237.59905522
212.53260862	199.37527029	225.68994694
220.93876984	198.02706105	243.85047863
246.11559735	224.67233660	267.55885810
264.96943777	245.75478758	284.18408796
272.03112781	250.59858505	293.46367056
208.19083920	194.29241193	222.08926646
220.22963491	200.18422395	240.27504587
201.13639820	186.55483250	215.71796390
182.49412042	168.85142933	196.13681151
195.86463321	179.59199340	212.13727302
209.57110383	194.77850738	224.36370027
263.32114706	241.59869811	285.04359601
267.36881830	246.19524946	288.54238713
227.72959913	207.78372426	247.67547399
206.90198550	191.67987360	222.12409740
202.58833883	186.50638259	218.67029506
186.03942754	172.77980008	199.29905500
226.67561060	207.10162305	246.24959815
253.10578683	236.45417556	269.75739811
278.68264540	261.13100208	296.23428873
281.82970131	264.23140336	299.42799926
254.75339020	238.49004798	271.01673241
305.05797378	271.72857401	338.38737354
264.02429063	240.32362966	287.72495159
264.39728031	240.66875364	288.12580698
331.25079909	295.86012617	366.64147201
404.54736364	361.66863328	447.42609400
402.22270178	367.02467076	437.42073281
392.53123623	357.05702542	428.00544705
408.09312287	363.64969683	452.53654891
476.69480808	415.56185880	537.82775736
439.78107888	396.08921720	483.47294057
420.93246815	379.45836677	462.40656953
532.77070561	468.37577318	597.16563805
545.73655391	485.58891231	605.88419551
491.16038726	440.11946775	542.20130678
511.80498568	450.58356194	573.02640943
585.44554402	510.30175505	660.58933299
632.76770784	557.18003852	708.35537716
574.12703874	506.23239613	642.02168136
556.19698551	486.11970852	626.27426250
632.68915034	546.80983291	718.56846778
725.12194742	629.99483930	820.24905553
627.91462851	540.20791284	715.62134417
632.51059256	557.46778214	707.55340299
664.79302037	567.59125825	761.99478248
604.31241388	523.49843538	685.12639238
506.64484293	440.13521022	573.15447564
452.22953052	382.94401720	521.51504383
