# mean	lower_ci	upper_ci
2.37500000	2.12427939	2.62572061
3.18750000	2.88645466	3.48854534
3.23437500	2.93197125	3.53677875
3.36718750	3.06060310	3.67377190
3.46875000	3.14854247	3.78895753
3.90625000	3.55946941	4.25303059
3.82812500	3.50412302	4.15212698
3.95312500	3.57043550	4.33581450
5.47656250	5.03210105	5.92102395
6.86718750	6.42839487	7.30598013
6.98437500	6.60160832	7.36714168
7.06250000	6.61550153	7.50949847
7.64843750	7.20099525	8.09587975
8.15625000	7.64296058	8.66953942
8.87500000	8.35368749	9.39631251
7.79687500	7.28871155	8.30503845
8.77343750	8.20310747	9.34376753
8.75781250	8.28562077	9.23000423
9.22656250	8.72975421	9.72337079
8.75000000	8.25424638	9.24575362
7.95312500	7.46804031	8.43820969
7.39843750	6.93657143	7.86030357
7.25781250	6.76241839	7.75320661
7.39843750	6.93249612	7.86437888
9.11718750	8.61592487	9.61845013
10.18750000	9.68712027	10.68787973
10.17187500	9.64375759	10.69999241
10.33593750	9.81359366	10.85828134
11.43750000	10.87068827	12.00431173
11.98437500	11.39578676	12.57296324
11.09375000	10.55441798	11.63308202
11.50000000	10.87065870	12.12934130
11.37500000	10.74340971	12.00659029
11.51562500	10.94705058	12.08419942
11.29687500	10.71784991	11.87590009
11.03906250	10.48847101	11.58965399
10.48437500	9.90754780	11.06120220
9.04687500	8.48504266	9.60870734
9.42187500	8.89041213	9.95333787
8.92968750	8.43671428	9.42266072
7.72656250	7.28383244	8.16929256
5.69531250	5.29176397	6.09886103
6.19531250	5.74499116	6.64563384
5.60156250	5.17590900	6.02721600
6.34375000	5.91417402	6.77332598
7.07031250	6.58653313	7.55409187
6.83593750	6.39746476	7.27441024
7.21875000	6.73852328	7.69897672
7.32031250	6.84058005	7.80004495
7.48437500	7.02166825	7.94708175
7.28125000	6.76360525	7.79889475
7.60937500	7.15634567	8.06240433
6.57812500	6.10800814	7.04824186
5.88281250	5.45368588	6.31193912
6.38281250	5.92724118	6.83838382
6.18750000	5.76945954	6.60554046
5.71875000	5.29387579	6.14362421
5.26562500	4.86388078	5.66736922
5.40625000	5.04413476	5.76836524
5.45312500	5.06736025	5.83888975
5.96093750	5.51359429	6.40828071
6.83593750	6.39210789	7.27976711
6.72656250	6.27852647	7.17459853
6.38281250	5.94307839	6.82254661
7.42968750	6.93218106	7.92719394
8.02343750	7.56407255	8.48280245
7.83593750	7.35284555	8.31902945
7.86718750	7.40173771	8.33263729
9.06250000	8.52434685	9.60065315
9.75000000	9.21836347	10.28163653
9.75781250	9.16253245	10.35309255
9.83593750	9.31790948	10.35396552
10.38281250	9.83751771	10.92810729
10.37500000	9.77566310	10.97433690
10.87500000	10.29408401	11.45591599
10.49218750	9.89443142	11.08994358
11.00000000	10.35949270	11.64050730
11.68750000	11.09780240	12.27719760
11.14062500	10.59549783	11.68575217
11.78125000	11.20979294	12.35270706
11.56250000	10.99194827	12.13305173
11.60937500	11.00601617	12.21273383
11.70312500	11.11198273	12.29426727
12.13281250	11.52705486	12.73857014
11.33593750	10.77308902	11.89878598
11.29687500	10.71297286	11.88077714
11.43750000	10.80787714	12.06712286
10.96875000	10.41195484	11.52554516
11.91406250	11.29952973	12.52859527
11.49218750	10.90843241	12.07594259
11.07812500	10.50145145	11.65479855
11.67187500	11.14465330	12.19909670
9.64843750	9.10685259	10.19002241
8.97656250	8.38060052	9.57252448
8.39843750	7.85218200	8.94469300
9.21875000	8.68315538	9.75434462
