# s=25 S=35 h=0.0137 p=8.0000 c=2.5000
# time_s	level	cum_oos	holding_eur	shortage_eur	order_eur
0.000	35	0	0.0000	0.0000	0.0000
979.467	34	0	0.0109	0.0000	0.0000
1787.692	33	0	0.0196	0.0000	0.0000
1901.533	32	0	0.0208	0.0000	0.0000
2699.813	31	0	0.0289	0.0000	0.0000
3043.386	30	0	0.0323	0.0000	0.0000
3959.104	29	0	0.0410	0.0000	0.0000
4011.612	28	0	0.0415	0.0000	0.0000
4059.697	27	0	0.0419	0.0000	0.0000
4156.393	26	0	0.0427	0.0000	0.0000
4219.861	25	0	0.0432	0.0000	0.0000
4287.928	24	0	0.0438	0.0000	0.0000
4654.530	23	0	0.0466	0.0000	0.0000
4704.849	22	0	0.0469	0.0000	0.0000
4781.221	21	0	0.0475	0.0000	0.0000
4866.289	20	0	0.0480	0.0000	0.0000
4992.384	19	0	0.0488	0.0000	0.0000
4992.384	18	0	0.0488	0.0000	0.0000
5140.525	17	0	0.0497	0.0000	0.0000
5274.890	16	0	0.0504	0.0000	0.0000
5898.517	15	0	0.0536	0.0000	2.5000
6235.233	14	0	0.0552	0.0000	2.5000
6262.581	13	0	0.0553	0.0000	2.5000
6350.672	12	0	0.0556	0.0000	2.5000
6350.672	11	0	0.0556	0.0000	2.5000
6430.930	10	0	0.0559	0.0000	2.5000
6668.960	11	0	0.0567	0.0000	2.5000
6680.642	12	0	0.0567	0.0000	2.5000
6692.324	13	0	0.0568	0.0000	2.5000
6704.006	14	0	0.0568	0.0000	2.5000
6715.688	15	0	0.0569	0.0000	2.5000
6727.370	16	0	0.0569	0.0000	2.5000
6739.052	17	0	0.0570	0.0000	2.5000
6750.734	18	0	0.0570	0.0000	2.5000
6762.416	19	0	0.0571	0.0000	2.5000
6774.098	20	0	0.0572	0.0000	2.5000
6785.780	21	0	0.0573	0.0000	2.5000
6797.462	22	0	0.0573	0.0000	2.5000
6809.144	23	0	0.0574	0.0000	2.5000
6820.826	24	0	0.0575	0.0000	2.5000
6832.508	25	0	0.0576	0.0000	2.5000
6844.189	26	0	0.0577	0.0000	2.5000
6855.871	27	0	0.0578	0.0000	2.5000
6867.553	28	0	0.0579	0.0000	2.5000
6879.235	29	0	0.0580	0.0000	2.5000
6908.608	28	0	0.0583	0.0000	2.5000
6920.230	27	0	0.0584	0.0000	2.5000
6965.268	26	0	0.0587	0.0000	2.5000
7029.632	25	0	0.0593	0.0000	2.5000
7186.396	24	0	0.0605	0.0000	2.5000
7299.872	23	0	0.0614	0.0000	5.0000
7299.872	22	0	0.0614	0.0000	5.0000
8237.812	21	0	0.0679	0.0000	5.0000
8431.879	20	0	0.0692	0.0000	5.0000
8605.104	19	0	0.0703	0.0000	5.0000
8677.137	20	0	0.0707	0.0000	5.0000
8692.960	21	0	0.0708	0.0000	5.0000
8708.782	22	0	0.0710	0.0000	5.0000
8724.604	23	0	0.0711	0.0000	5.0000
8740.426	24	0	0.0712	0.0000	5.0000
8756.248	25	0	0.0713	0.0000	5.0000
8772.071	26	0	0.0714	0.0000	5.0000
8787.893	27	0	0.0716	0.0000	5.0000
8803.715	28	0	0.0717	0.0000	5.0000
8819.537	29	0	0.0718	0.0000	5.0000
8833.458	28	0	0.0720	0.0000	5.0000
8833.458	27	0	0.0720	0.0000	5.0000
8835.359	28	0	0.0720	0.0000	5.0000
8844.602	27	0	0.0721	0.0000	5.0000
8957.824	26	0	0.0730	0.0000	5.0000
9315.455	25	0	0.0760	0.0000	5.0000
9315.455	24	0	0.0760	0.0000	5.0000
9344.335	23	0	0.0762	0.0000	5.0000
9424.836	22	0	0.0768	0.0000	5.0000
9476.463	21	0	0.0771	0.0000	5.0000
10343.491	20	0	0.0829	0.0000	5.0000
10414.576	19	0	0.0834	0.0000	5.0000
10414.576	18	0	0.0834	0.0000	5.0000
10491.162	17	0	0.0838	0.0000	5.0000
10716.104	16	0	0.0850	0.0000	5.0000
11052.029	15	0	0.0867	0.0000	7.5000
11144.506	14	0	0.0872	0.0000	7.5000
11303.647	13	0	0.0879	0.0000	7.5000
11447.938	12	0	0.0885	0.0000	7.5000
11570.014	11	0	0.0889	0.0000	7.5000
11640.441	10	0	0.0892	0.0000	7.5000
11640.441	9	0	0.0892	0.0000	7.5000
11692.785	10	0	0.0893	0.0000	7.5000
11700.233	11	0	0.0893	0.0000	7.5000
11707.681	12	0	0.0894	0.0000	7.5000
11715.128	13	0	0.0894	0.0000	7.5000
11722.576	14	0	0.0894	0.0000	7.5000
11730.024	15	0	0.0895	0.0000	7.5000
11737.472	16	0	0.0895	0.0000	7.5000
11744.920	17	0	0.0895	0.0000	7.5000
11752.368	18	0	0.0896	0.0000	7.5000
11757.375	17	0	0.0896	0.0000	7.5000
11759.816	18	0	0.0896	0.0000	7.5000
11767.264	19	0	0.0897	0.0000	7.5000
11774.712	20	0	0.0897	0.0000	7.5000
11782.159	21	0	0.0898	0.0000	7.5000
11789.607	22	0	0.0898	0.0000	7.5000
11797.055	23	0	0.0899	0.0000	7.5000
11804.503	24	0	0.0899	0.0000	7.5000
11811.951	25	0	0.0900	0.0000	7.5000
11819.399	26	0	0.0900	0.0000	7.5000
11826.847	27	0	0.0901	0.0000	7.5000
12252.880	26	0	0.0937	0.0000	7.5000
12503.338	25	0	0.0958	0.0000	7.5000
12761.165	24	0	0.0978	0.0000	10.0000
12793.283	23	0	0.0981	0.0000	10.0000
13003.891	22	0	0.0996	0.0000	10.0000
13003.891	21	0	0.0996	0.0000	10.0000
13261.856	20	0	0.1013	0.0000	10.0000
13298.709	19	0	0.1016	0.0000	10.0000
13418.005	18	0	0.1023	0.0000	10.0000
14116.555	17	0	0.1063	0.0000	10.0000
14171.633	16	0	0.1066	0.0000	10.0000
14482.794	15	0	0.1082	0.0000	10.0000
14513.998	14	0	0.1083	0.0000	10.0000
14557.221	15	0	0.1085	0.0000	10.0000
14571.060	16	0	0.1086	0.0000	10.0000
14584.898	17	0	0.1086	0.0000	10.0000
14598.737	18	0	0.1087	0.0000	10.0000
14612.576	19	0	0.1088	0.0000	10.0000
14626.414	20	0	0.1089	0.0000	10.0000
14640.253	21	0	0.1090	0.0000	10.0000
14643.883	20	0	0.1090	0.0000	10.0000
14643.883	19	0	0.1090	0.0000	10.0000
14654.091	20	0	0.1090	0.0000	10.0000
14667.930	21	0	0.1091	0.0000	10.0000
14681.769	22	0	0.1092	0.0000	10.0000
14835.103	21	0	0.1103	0.0000	10.0000
15030.602	20	0	0.1116	0.0000	10.0000
15030.602	19	0	0.1116	0.0000	10.0000
15030.602	18	0	0.1116	0.0000	10.0000
15105.314	17	0	0.1120	0.0000	10.0000
15190.304	16	0	0.1125	0.0000	10.0000
15289.229	15	0	0.1130	0.0000	10.0000
15408.765	14	0	0.1136	0.0000	10.0000
15566.454	13	0	0.1143	0.0000	10.0000
15680.968	12	0	0.1147	0.0000	10.0000
15680.968	11	0	0.1147	0.0000	10.0000
15680.968	10	0	0.1147	0.0000	10.0000
15795.447	9	0	0.1151	0.0000	10.0000
15817.539	8	0	0.1152	0.0000	10.0000
15954.294	7	0	0.1155	0.0000	10.0000
16360.579	6	0	0.1164	0.0000	12.5000
16408.128	5	0	0.1165	0.0000	12.5000
16601.625	4	0	0.1168	0.0000	12.5000
16689.360	3	0	0.1169	0.0000	12.5000
16733.667	2	0	0.1170	0.0000	12.5000
16909.434	1	0	0.1171	0.0000	12.5000
17084.263	0	0	0.1171	0.0000	12.5000
17142.596	0	1	0.1171	8.0000	12.5000
17197.151	0	2	0.1171	16.0000	12.5000
17197.151	0	3	0.1171	24.0000	12.5000
17529.375	0	4	0.1171	32.0000	12.5000
17529.375	0	5	0.1171	40.0000	12.5000
17618.719	0	6	0.1171	48.0000	12.5000
17680.347	0	7	0.1171	56.0000	12.5000
17947.451	0	8	0.1171	64.0000	12.5000
18344.397	0	9	0.1171	72.0000	12.5000
18655.453	0	10	0.1171	80.0000	12.5000
18655.453	0	11	0.1171	88.0000	12.5000
18722.961	0	12	0.1171	96.0000	12.5000
18722.961	0	13	0.1171	104.0000	12.5000
18736.008	1	13	0.1171	104.0000	12.5000
18749.055	2	13	0.1171	104.0000	12.5000
18762.101	3	13	0.1171	104.0000	12.5000
18775.148	4	13	0.1171	104.0000	12.5000
18788.194	5	13	0.1172	104.0000	12.5000
18801.241	6	13	0.1172	104.0000	12.5000
18814.287	7	13	0.1172	104.0000	12.5000
18827.334	8	13	0.1172	104.0000	12.5000
18836.557	9	13	0.1173	104.0000	12.5000
18845.780	10	13	0.1173	104.0000	12.5000
18855.004	11	13	0.1173	104.0000	12.5000
18864.227	12	13	0.1173	104.0000	12.5000
18873.450	13	13	0.1174	104.0000	12.5000
18882.673	14	13	0.1174	104.0000	12.5000
18891.896	15	13	0.1175	104.0000	12.5000
18901.120	16	13	0.1175	104.0000	12.5000
18910.343	17	13	0.1175	104.0000	12.5000
18919.566	18	13	0.1176	104.0000	12.5000
18928.789	19	13	0.1177	104.0000	12.5000
18938.012	20	13	0.1177	104.0000	12.5000
18947.236	21	13	0.1178	104.0000	12.5000
18951.674	20	13	0.1178	104.0000	12.5000
18951.674	19	13	0.1178	104.0000	12.5000
18956.459	20	13	0.1178	104.0000	12.5000
18965.682	21	13	0.1179	104.0000	12.5000
18974.905	22	13	0.1179	104.0000	12.5000
18984.129	23	13	0.1180	104.0000	12.5000
18993.352	24	13	0.1181	104.0000	12.5000
19002.575	25	13	0.1181	104.0000	12.5000
19011.798	26	13	0.1182	104.0000	12.5000
19037.343	25	13	0.1184	104.0000	12.5000
19037.343	24	13	0.1184	104.0000	12.5000
19073.408	23	13	0.1187	104.0000	12.5000
19073.408	22	13	0.1187	104.0000	12.5000
19244.021	21	13	0.1199	104.0000	12.5000
19638.924	20	13	0.1225	104.0000	12.5000
19878.509	19	13	0.1240	104.0000	15.0000
19903.689	18	13	0.1242	104.0000	15.0000
20502.354	17	13	0.1276	104.0000	15.0000
20502.354	16	13	0.1276	104.0000	15.0000
20595.582	15	13	0.1281	104.0000	15.0000
20691.253	14	13	0.1285	104.0000	15.0000
20900.748	13	13	0.1295	104.0000	15.0000
20933.945	12	13	0.1296	104.0000	15.0000
20933.945	11	13	0.1296	104.0000	15.0000
21365.720	10	13	0.1311	104.0000	15.0000
22229.901	9	13	0.1339	104.0000	15.0000
22229.901	8	13	0.1339	104.0000	15.0000
22418.785	9	13	0.1343	104.0000	15.0000
22420.435	8	13	0.1343	104.0000	15.0000
22426.098	9	13	0.1344	104.0000	15.0000
22433.411	10	13	0.1344	104.0000	15.0000
22440.724	11	13	0.1344	104.0000	15.0000
22448.037	12	13	0.1344	104.0000	15.0000
22455.351	13	13	0.1345	104.0000	15.0000
22462.664	14	13	0.1345	104.0000	15.0000
22469.977	15	13	0.1345	104.0000	15.0000
22477.290	16	13	0.1345	104.0000	15.0000
22484.603	17	13	0.1346	104.0000	15.0000
22491.916	18	13	0.1346	104.0000	15.0000
22499.230	19	13	0.1347	104.0000	15.0000
22506.543	20	13	0.1347	104.0000	15.0000
22513.856	21	13	0.1348	104.0000	15.0000
22521.169	22	13	0.1348	104.0000	15.0000
22651.874	21	13	0.1357	104.0000	15.0000
23128.950	20	13	0.1389	104.0000	15.0000
23190.166	19	13	0.1393	104.0000	15.0000
23388.452	18	13	0.1405	104.0000	15.0000
23404.547	17	13	0.1406	104.0000	17.5000
23527.334	16	13	0.1412	104.0000	17.5000
23652.498	15	13	0.1419	104.0000	17.5000
23824.497	14	13	0.1427	104.0000	17.5000
23854.707	13	13	0.1428	104.0000	17.5000
24086.261	12	13	0.1438	104.0000	17.5000
24086.261	11	13	0.1438	104.0000	17.5000
24153.130	10	13	0.1440	104.0000	17.5000
24338.936	9	13	0.1446	104.0000	17.5000
24414.315	10	13	0.1448	104.0000	17.5000
24427.010	11	13	0.1449	104.0000	17.5000
