# s1	s2	s3	s4	s5	R_s	f_init	P_OOS	cost_eur	E_T_s	maxLag_s	fracLagOverR	feasible
45	45	45	30	20	1800	0.85	0.0548	853.05	482.57	3919.2	0.5091	0
45	45	45	30	20	1800	1.00	0.0584	897.70	482.27	4037.8	0.5179	0
45	45	45	30	20	3600	0.85	0.1363	1952.65	480.16	5183.1	0.1707	0
45	45	45	30	20	3600	1.00	0.1446	2035.76	479.30	5202.1	0.1707	0
45	45	45	30	30	1800	0.85	0.0602	943.21	481.97	4408.3	0.6071	0
45	45	45	30	30	1800	1.00	0.0592	926.53	481.13	4222.2	0.6250	0
45	45	45	30	30	3600	0.85	0.1384	1956.69	479.69	4875.7	0.1905	0
45	45	45	30	30	3600	1.00	0.1395	1964.53	480.10	4916.3	0.1395	0
45	45	45	40	20	1800	0.85	0.0606	948.37	482.09	4274.3	0.5345	0
45	45	45	40	20	1800	1.00	0.0548	842.01	482.69	4439.0	0.5500	0
45	45	45	40	20	3600	0.85	0.1280	1841.67	480.85	4824.2	0.1591	0
45	45	45	40	20	3600	1.00	0.1352	1907.62	480.35	4558.9	0.1860	0
45	45	45	40	30	1800	0.85	0.0578	918.49	481.02	4246.5	0.5645	0
45	45	45	40	30	1800	1.00	0.0582	911.23	481.23	4271.2	0.5517	0
45	45	45	40	30	3600	0.85	0.1221	1726.74	480.10	4923.9	0.1667	0
45	45	45	40	30	3600	1.00	0.1255	1780.96	480.35	4705.6	0.1395	0
45	45	45	50	20	1800	0.85	0.0583	905.37	481.57	4110.0	0.5079	0
45	45	45	50	20	1800	1.00	0.0572	922.56	481.72	3926.3	0.5424	0
45	45	45	50	20	3600	0.85	0.1267	1820.32	480.32	4858.9	0.1860	0
45	45	45	50	20	3600	1.00	0.1270	1813.48	479.50	4926.9	0.1364	0
45	45	45	50	30	1800	0.85	0.0557	902.43	481.17	4693.0	0.5484	0
45	45	45	50	30	1800	1.00	0.0638	1000.19	481.43	4619.4	0.5313	0
45	45	45	50	30	3600	0.85	0.1189	1705.43	480.22	4829.5	0.1591	0
45	45	45	50	30	3600	1.00	0.1258	1784.03	480.25	4612.8	0.1522	0
45	45	55	30	20	1800	0.85	0.0571	920.46	482.16	4084.8	0.5088	0
45	45	55	30	20	1800	1.00	0.0653	978.55	481.66	4114.4	0.5000	0
45	45	55	30	20	3600	0.85	0.1414	2007.91	479.86	5183.1	0.1707	0
45	45	55	30	20	3600	1.00	0.1400	1991.57	480.28	4790.0	0.1707	0
45	45	55	30	30	1800	0.85	0.0578	915.85	481.54	4383.5	0.5238	0
45	45	55	30	30	1800	1.00	0.0612	971.54	480.85	4505.9	0.5345	0
45	45	55	30	30	3600	0.85	0.1371	1946.37	480.02	4875.7	0.1905	0
45	45	55	30	30	3600	1.00	0.1407	1985.97	479.72	4827.9	0.1667	0
45	45	55	40	20	1800	0.85	0.0601	941.50	481.33	4111.4	0.4833	0
45	45	55	40	20	1800	1.00	0.0601	943.82	482.49	4173.3	0.5345	0
45	45	55	40	20	3600	0.85	0.1245	1798.27	480.35	4772.2	0.1628	0
45	45	55	40	20	3600	1.00	0.1321	1875.85	480.51	4760.7	0.1628	0
45	45	55	40	30	1800	0.85	0.0576	906.20	481.81	4431.8	0.4697	0
45	45	55	40	30	1800	1.00	0.0596	953.91	481.23	4232.6	0.6000	0
45	45	55	40	30	3600	0.85	0.1237	1750.91	479.91	5156.6	0.1304	0
45	45	55	40	30	3600	1.00	0.1291	1826.66	479.37	4682.8	0.1395	0
45	45	55	50	20	1800	0.85	0.0596	944.47	481.65	4216.6	0.4918	0
45	45	55	50	20	1800	1.00	0.0579	920.88	482.03	4557.0	0.5593	0
45	45	55	50	20	3600	0.85	0.1267	1820.48	480.31	4858.9	0.1860	0
45	45	55	50	20	3600	1.00	0.1259	1796.12	479.98	5160.8	0.1304	0
45	45	55	50	30	1800	0.85	0.0615	976.92	481.13	4303.4	0.5313	0
45	45	55	50	30	1800	1.00	0.0554	909.64	481.10	4731.3	0.4925	0
45	45	55	50	30	3600	0.85	0.1189	1705.43	480.22	4829.5	0.1591	0
45	45	55	50	30	3600	1.00	0.1233	1756.35	479.73	4625.9	0.1304	0
45	55	45	30	20	1800	0.85	0.0537	860.34	481.60	3689.3	0.4426	0
45	55	45	30	20	1800	1.00	0.0565	861.66	481.46	4798.5	0.5082	0
45	55	45	30	20	3600	0.85	0.1362	1977.67	480.81	4727.7	0.1667	0
45	55	45	30	20	3600	1.00	0.1415	2031.63	480.92	4750.8	0.2051	0
45	55	45	30	30	1800	0.85	0.0523	842.34	481.73	4153.7	0.4918	0
45	55	45	30	30	1800	1.00	0.0548	877.76	479.97	4237.1	0.4769	0
45	55	45	30	30	3600	0.85	0.1309	1874.32	479.74	5107.3	0.1458	0
45	55	45	30	30	3600	1.00	0.1361	1946.12	479.47	4950.6	0.1667	0
45	55	45	40	20	1800	0.85	0.0574	916.75	480.94	4029.0	0.5079	0
45	55	45	40	20	1800	1.00	0.0558	900.29	482.36	4052.5	0.5167	0
45	55	45	40	20	3600	0.85	0.1213	1774.55	481.12	4608.6	0.1522	0
45	55	45	40	20	3600	1.00	0.1292	1876.67	480.85	4779.9	0.1522	0
45	55	45	40	30	1800	0.85	0.0566	930.24	480.78	4179.4	0.4769	0
45	55	45	40	30	1800	1.00	0.0540	884.62	480.89	4149.1	0.5625	0
45	55	45	40	30	3600	0.85	0.1140	1658.30	480.37	4607.2	0.1304	0
45	55	45	40	30	3600	1.00	0.1236	1781.33	480.47	4545.9	0.1489	0
45	55	45	50	20	1800	0.85	0.0566	921.57	481.63	4172.8	0.4493	0
45	55	45	50	20	1800	1.00	0.0595	951.96	481.59	3992.7	0.4776	0
45	55	45	50	20	3600	0.85	0.1196	1763.73	480.17	4487.3	0.1489	0
45	55	45	50	20	3600	1.00	0.1265	1831.87	479.50	4773.0	0.1304	0
45	55	45	50	30	1800	0.85	0.0557	914.41	481.51	5586.1	0.5077	0
45	55	45	50	30	1800	1.00	0.0562	897.13	481.27	4113.2	0.5152	0
45	55	45	50	30	3600	0.85	0.1170	1726.43	480.77	4689.0	0.1250	0
45	55	45	50	30	3600	1.00	0.1244	1793.43	479.77	4895.9	0.1333	0
45	55	55	30	20	1800	0.85	0.0540	869.46	482.04	3970.9	0.4762	0
45	55	55	30	20	1800	1.00	0.0528	854.50	482.02	3985.7	0.4154	0
45	55	55	30	20	3600	0.85	0.1371	1984.51	479.87	4956.4	0.1707	0
45	55	55	30	20	3600	1.00	0.1349	1961.62	479.71	4868.7	0.1628	0
45	55	55	30	30	1800	0.85	0.0536	862.37	480.98	4260.8	0.4627	0
45	55	55	30	30	1800	1.00	0.0572	902.62	482.03	4001.3	0.4848	0
45	55	55	30	30	3600	0.85	0.1293	1859.80	480.30	4731.1	0.1136	0
45	55	55	30	30	3600	1.00	0.1323	1901.89	480.83	4743.5	0.1333	0
45	55	55	40	20	1800	0.85	0.0550	903.25	482.16	4321.7	0.5075	0
45	55	55	40	20	1800	1.00	0.0569	923.12	481.91	4430.5	0.4219	0
45	55	55	40	20	3600	0.85	0.1204	1768.82	480.51	4608.6	0.1522	0
45	55	55	40	20	3600	1.00	0.1268	1832.32	480.94	4863.1	0.1190	0
45	55	55	40	30	1800	0.85	0.0571	944.48	481.46	4083.4	0.4928	0
45	55	55	40	30	1800	1.00	0.0529	866.09	482.20	4388.7	0.4493	0
45	55	55	40	30	3600	0.85	0.1191	1724.36	480.86	4607.2	0.1304	0
45	55	55	40	30	3600	1.00	0.1226	1775.80	479.98	4906.3	0.1304	0
