# mean	lower_ci	upper_ci
0.75209127	0.65885031	0.84533224
1.09784506	0.96930341	1.22638671
1.10504160	0.97325883	1.23682437
1.19804184	1.05924496	1.33683872
1.81243654	1.64288022	1.98199286
3.67861436	3.46413936	3.89308937
3.37014456	3.14823179	3.59205734
2.06507965	1.81702851	2.31313079
2.78793517	2.54347492	3.03239541
3.91170373	3.60093583	4.22247163
3.14737225	2.90347033	3.39127417
2.98220976	2.71220285	3.25221668
3.96475856	3.64793759	4.28157954
6.33900725	5.86053125	6.81748325
6.28052362	5.72837440	6.83267285
4.63290229	4.13921032	5.12659425
4.95631297	4.50975652	5.40286942
7.51522444	6.98749643	8.04295246
7.57317665	6.98319803	8.16315528
6.07059042	5.54588287	6.59529797
4.82898611	4.40149895	5.25647327
6.25140396	5.75313996	6.74966796
6.11126916	5.66932637	6.55321194
4.87282964	4.50111312	5.24454616
5.39689619	4.99813387	5.79565850
8.44283996	7.88060116	9.00507876
8.93284143	8.18313998	9.68254288
8.08914022	7.37137493	8.80690551
9.02102366	8.26156257	9.78048476
12.49207067	11.65014371	13.33399763
13.21174654	12.26248846	14.16100463
12.14528055	11.16027167	13.13028942
11.52552409	10.58435554	12.46669263
13.92172324	12.92910020	14.91434629
14.18471319	13.04830773	15.32111866
13.11153942	11.95163725	14.27144159
11.73329349	10.62565246	12.84093451
12.27613024	11.12875111	13.42350937
11.70466848	10.62332857	12.78600838
10.15941330	9.17860747	11.14021913
7.97789913	7.09020111	8.86559716
7.09089383	6.30410317	7.87768449
6.66930883	6.03559212	7.30302554
5.59177860	5.09613235	6.08742484
5.15746357	4.59712408	5.71780306
6.33455471	5.77381349	6.89529593
5.55696382	5.05787402	6.05605361
4.59277909	4.15883647	5.02672170
4.29243504	3.95201217	4.63285791
5.83263270	5.49309686	6.17216854
5.82820128	5.38521827	6.27118429
4.82027934	4.42260534	5.21795335
3.74070826	3.39223928	4.08917723
4.83736295	4.54959812	5.12512779
4.64200233	4.30597739	4.97802726
3.53415102	3.15994490	3.90835714
3.28465160	2.99873791	3.57056530
4.50711852	4.21533473	4.79890230
3.71014993	3.42590614	3.99439372
2.70352637	2.44242425	2.96462849
3.20189338	2.92021105	3.48357572
4.90753745	4.58245198	5.23262291
3.97949494	3.65781018	4.30117971
3.04602708	2.73625944	3.35579472
4.02883593	3.66616386	4.39150800
6.27194476	5.82798159	6.71590793
5.18916763	4.79488960	5.58344565
4.26347144	3.92455548	4.60238740
5.08173748	4.68373484	5.47974011
8.24891179	7.71459382	8.78322977
8.19051009	7.54495567	8.83606451
6.87634511	6.23137739	7.52131283
7.54291548	6.75182257	8.33400840
10.72887013	9.82824932	11.62949093
11.40789621	10.39208769	12.42370472
9.79166805	8.80671221	10.77662388
9.52617572	8.56572744	10.48662400
12.75687111	11.66251964	13.85122258
13.46385711	12.31796959	14.60974464
12.73215525	11.61799411	13.84631640
12.55568887	11.42593853	13.68543921
15.37849557	14.00512867	16.75186247
15.76511402	14.29265551	17.23757253
14.98226602	13.48991851	16.47461352
14.68915719	13.06002373	16.31829065
16.90081901	15.23805448	18.56358354
17.67148730	15.96906317	19.37391143
16.53078488	14.83287376	18.22869600
16.43562065	14.65006179	18.22117951
18.86861519	17.04045306	20.69677732
18.75726472	16.87559266	20.63893678
17.95726766	16.09888192	19.81565339
16.28544938	14.36058722	18.21031154
16.15526976	14.27050613	18.04003338
15.40437663	13.69854738	17.11020588
13.54286398	11.91855626	15.16717170
