# mean	lower_ci	upper_ci
138.63598518	124.37179843	152.90017194
151.31065269	137.57747008	165.04383530
143.17645747	130.46765191	155.88526302
166.16174257	148.17553467	184.14795048
169.87253853	150.05988169	189.68519537
180.14186347	164.51869562	195.76503132
212.36542603	192.99680481	231.73404725
168.92165491	153.25227876	184.59103105
170.59684313	155.57168602	185.62200023
227.51842454	208.49546546	246.54138363
202.89614571	183.99459984	221.79769159
186.82908493	173.99896447	199.65920539
213.74559938	198.89282255	228.59837621
253.73466828	231.27049714	276.19883942
267.17314933	246.37245153	287.97384713
237.85106727	213.74855882	261.95357571
249.15592963	231.24284402	267.06901525
287.82701462	262.95599007	312.69803916
301.33017070	276.07597228	326.58436912
258.20073187	241.13905035	275.26241339
242.14473857	221.87049386	262.41898329
251.90384055	230.89532819	272.91235292
268.49174396	248.78216518	288.20132275
243.48300608	227.31052304	259.65548911
258.43975577	239.70814312	277.17136841
319.29307448	288.71030978	349.87583918
341.49913397	310.71805760	372.28021033
330.10662609	298.36538703	361.84786515
367.63354383	332.12628145	403.14080620
460.71306987	415.50966356	505.91647618
456.16909003	422.36099929	489.97718077
423.99232137	388.41488088	459.56976186
454.25666590	410.77821372	497.73511808
507.45068350	458.71017309	556.19119392
494.35595086	447.69255946	541.01934226
452.51209525	410.56251128	494.46167922
466.22269460	413.40417182	519.04121738
446.30465974	397.00969384	495.59962563
410.41645576	367.44449419	453.38841734
379.66745216	332.37917147	426.95573284
329.12833867	287.64235980	370.61431754
281.08555815	234.91396151	327.25715478
264.41499124	238.79214355	290.03783894
249.65863503	228.81228848	270.50498157
244.99686715	206.39684277	283.59689153
242.58552245	221.55992045	263.61112445
251.50553592	232.97777182	270.03330002
236.65022115	221.84510686	251.45533545
225.51659166	204.94718925	246.08599407
245.87833006	224.80778673	266.94887339
251.42178184	234.46578514	268.37777854
231.66204906	213.73469986	249.58939827
197.84594899	184.27515142	211.41674655
222.76996629	202.69063522	242.84929736
229.44261242	214.11913857	244.76608627
203.14034100	188.74580917	217.53487283
201.30513240	185.18149334	217.42877145
212.86245059	196.96645369	228.75844748
218.76567998	200.99317669	236.53818327
190.40649198	176.73923244	204.07375151
210.17899144	192.30490715	228.05307574
219.85910036	204.61983248	235.09836824
218.67127677	203.57833962	233.76421393
191.80363500	178.74487861	204.86239139
227.77837595	208.21494187	247.34181003
253.45002083	237.06330622	269.83673544
235.14238073	219.71993945	250.56482200
221.27591377	207.23078831	235.32103923
245.36727181	229.61745729	261.11708632
330.59405142	297.00619498	364.18190786
311.62453115	286.35545031	336.89361199
290.22743850	264.62930813	315.82556886
331.45675250	296.80223202	366.11127299
407.74870183	364.05873453	451.43866914
400.42129335	363.36010039	437.48248631
369.08166858	330.82493048	407.33840667
392.98304255	348.75906198	437.20702313
478.68081377	417.58154497	539.78008257
460.83308047	418.73064998	502.93551095
450.25846391	405.64211816	494.87480967
529.79204789	467.04524991	592.53884586
552.54777441	491.21293373	613.88261510
501.99055275	447.24781610	556.73328940
497.48903193	438.22682309	556.75124076
575.05616342	501.64312328	648.46920356
634.04490861	559.44623752	708.64357970
606.65960139	537.76749019	675.55171260
600.79370116	523.46629231	678.12111001
624.81884937	545.95475730	703.68294144
721.53254105	627.69683193	815.36825017
651.76361173	555.70004069	747.82718276
643.77334145	562.93068175	724.61600116
663.30676008	567.60314447	759.01037569
620.21111670	534.72964863	705.69258478
561.75970058	493.57115058	629.94825059
485.74610127	415.37956348	556.11263906
