# hour	lambda	numCasse	numMag	E_T_s	P_OOS	P_aband	throughput_s	laborCost_eur_day	invCost_eur_day	waitCost_eur_day	totalCost_eur_day	util_Casse	util_CassaOnline	util_Dispatcher	util_BraccioUno	util_BraccioDue	util_Magazziniere	util_Pagamento	util_B1_high	util_B1_low
08-09	0.00783	2	1	301.913	0.00000	0.00000	0.00763	840.00	224.17	283.77	1347.94	0.5011	0.0231	0.0238	0.3281	0.2871	0.3890	0.2225	0.3002	0.0279
08-09	0.00783	2	2	299.901	0.00000	0.00000	0.00763	1056.00	224.97	281.88	1562.84	0.5011	0.0231	0.0238	0.3377	0.2872	0.2005	0.2224	0.3102	0.0275
08-09	0.00783	3	1	256.752	0.00000	0.00000	0.00763	1152.00	223.56	241.32	1616.88	0.4063	0.0230	0.0238	0.3274	0.2852	0.3888	0.2255	0.2989	0.0286
08-09	0.00783	3	2	257.949	0.00000	0.00000	0.00763	1368.00	224.58	242.45	1835.03	0.4062	0.0230	0.0238	0.3306	0.2852	0.1992	0.2195	0.3018	0.0289
08-09	0.00783	4	1	258.912	0.00000	0.00000	0.00763	1464.00	222.95	243.35	1930.30	0.4196	0.0230	0.0237	0.3281	0.2828	0.3899	0.2189	0.2983	0.0298
08-09	0.00783	4	2	258.864	0.00000	0.00000	0.00763	1680.00	224.97	243.31	2148.27	0.4196	0.0230	0.0237	0.3309	0.2828	0.1972	0.2189	0.3014	0.0295
08-09	0.00783	5	1	241.029	0.00000	0.00000	0.00763	1776.00	223.02	226.54	2225.57	0.3492	0.0231	0.0238	0.3275	0.2849	0.3891	0.2279	0.2984	0.0292
08-09	0.00783	5	2	239.001	0.00000	0.00000	0.00763	1992.00	224.58	224.64	2441.22	0.3485	0.0230	0.0238	0.3305	0.2843	0.1946	0.2264	0.3018	0.0287
09-10	0.01692	2	1	59825.220	0.00293	0.00000	0.01575	840.00	285.75	121451.18	122576.93	1.0129	0.0623	0.0495	0.6572	0.5934	0.7694	0.4675	0.6028	0.0543
09-10	0.01692	2	2	59816.803	0.00000	0.00000	0.01575	1056.00	277.03	121434.09	122767.13	1.0123	0.0622	0.0495	0.6459	0.5930	0.4226	0.4713	0.5914	0.0545
09-10	0.01692	3	1	397.630	0.01748	0.00000	0.01650	1152.00	409.63	807.23	2368.86	0.7319	0.0481	0.0512	0.7025	0.6093	0.8344	0.4769	0.6363	0.0662
09-10	0.01692	3	2	398.005	0.00035	0.00000	0.01649	1368.00	299.66	807.99	2475.65	0.7319	0.0481	0.0512	0.7041	0.6095	0.4317	0.4793	0.6380	0.0661
09-10	0.01692	4	1	335.352	0.00800	0.00000	0.01650	1464.00	343.49	680.80	2488.29	0.6790	0.0483	0.0515	0.6902	0.6217	0.8316	0.4810	0.6298	0.0604
09-10	0.01692	4	2	333.929	0.00236	0.00000	0.01650	1680.00	312.41	677.91	2670.32	0.6784	0.0483	0.0514	0.6849	0.6207	0.4303	0.4759	0.6239	0.0610
09-10	0.01692	5	1	311.732	0.00862	0.00000	0.01647	1776.00	356.43	632.85	2765.28	0.5843	0.0491	0.0513	0.7326	0.6007	0.8575	0.4804	0.6599	0.0727
09-10	0.01692	5	2	310.836	0.00162	0.00000	0.01647	1992.00	293.25	631.03	2916.28	0.5850	0.0492	0.0514	0.7011	0.6014	0.4304	0.4819	0.6259	0.0753
10-11	0.01800	2	1	105641.865	0.00229	0.00000	0.01554	840.00	293.90	228186.43	229320.33	1.0030	0.0473	0.0485	0.6483	0.5631	0.7742	0.4665	0.5799	0.0684
10-11	0.01800	2	2	105643.759	0.00000	0.00000	0.01554	1056.00	279.32	228190.52	229525.84	1.0030	0.0473	0.0485	0.6742	0.5631	0.3909	0.4731	0.6082	0.0660
10-11	0.01800	3	1	428.935	0.01764	0.00000	0.01758	1152.00	480.86	926.50	2559.36	0.7782	0.0505	0.0544	0.7469	0.6487	0.8932	0.5186	0.6751	0.0718
