# hour	lambda	numCasse	numMag	E_T_s	P_OOS	P_aband	throughput_s	laborCost_eur_day	invCost_eur_day	waitCost_eur_day	totalCost_eur_day	util_Casse	util_CassaOnline	util_Dispatcher	util_BraccioUno	util_BraccioDue	util_Magazziniere	util_Pagamento	util_B1_high	util_B1_low
08-09	0.00783	2	1	296.277	0.00000	0.00000	0.00779	840.00	222.17	278.47	1340.64	0.5170	0.0227	0.0234	0.3425	0.2886	0.4010	0.2229	0.3086	0.0339
08-09	0.00783	2	2	295.406	0.00000	0.00000	0.00779	1056.00	223.07	277.65	1556.73	0.5170	0.0227	0.0234	0.3420	0.2886	0.2006	0.2232	0.3082	0.0338
08-09	0.00783	3	1	258.463	0.00000	0.00000	0.00779	1152.00	222.11	242.93	1617.04	0.3997	0.0227	0.0234	0.3417	0.2894	0.4009	0.2234	0.3085	0.0332
08-09	0.00783	3	2	257.751	0.00000	0.00000	0.00779	1368.00	222.96	242.26	1833.22	0.3997	0.0227	0.0234	0.3415	0.2894	0.2006	0.2235	0.3082	0.0333
08-09	0.00783	4	1	262.372	0.00000	0.00000	0.00779	1464.00	221.89	246.60	1932.49	0.4257	0.0227	0.0234	0.3426	0.2887	0.4009	0.2237	0.3089	0.0337
08-09	0.00783	4	2	261.504	0.00000	0.00000	0.00779	1680.00	222.82	245.79	2148.60	0.4257	0.0227	0.0234	0.3417	0.2887	0.2005	0.2239	0.3080	0.0337
08-09	0.00783	5	1	243.941	0.00000	0.00000	0.00779	1776.00	222.00	229.28	2227.28	0.3486	0.0227	0.0234	0.3411	0.2899	0.4009	0.2231	0.3082	0.0328
08-09	0.00783	5	2	243.198	0.00000	0.00000	0.00779	1992.00	222.84	228.58	2443.42	0.3486	0.0227	0.0234	0.3412	0.2899	0.2010	0.2239	0.3085	0.0327
09-10	0.01692	2	1	191072.913	0.00525	0.00000	0.01578	840.00	281.12	387897.12	389018.25	1.0011	0.0474	0.0475	0.6861	0.5877	0.8075	0.4500	0.6200	0.0660
09-10	0.01692	2	2	191072.172	0.00066	0.00000	0.01578	1056.00	266.85	387895.62	389218.47	1.0011	0.0474	0.0475	0.6874	0.5877	0.4059	0.4515	0.6215	0.0659
09-10	0.01692	3	1	396.748	0.01161	0.00000	0.01683	1152.00	346.83	805.44	2304.26	0.7430	0.0475	0.0506	0.7306	0.6247	0.8558	0.4816	0.6589	0.0718
09-10	0.01692	3	2	395.598	0.00207	0.00000	0.01683	1368.00	281.78	803.10	2452.88	0.7430	0.0475	0.0506	0.7356	0.6247	0.4345	0.4828	0.6637	0.0720
09-10	0.01692	4	1	345.646	0.01189	0.00000	0.01683	1464.00	342.55	701.70	2508.24	0.6793	0.0475	0.0506	0.7317	0.6247	0.8555	0.4826	0.6598	0.0718
09-10	0.01692	4	2	344.630	0.00275	0.00000	0.01683	1680.00	290.46	699.63	2670.09	0.6793	0.0475	0.0506	0.7337	0.6248	0.4322	0.4826	0.6619	0.0718
09-10	0.01692	5	1	320.914	0.01223	0.00000	0.01682	1776.00	338.78	651.49	2766.27	0.5604	0.0475	0.0506	0.7301	0.6255	0.8553	0.4819	0.6589	0.0713
09-10	0.01692	5	2	320.455	0.00247	0.00000	0.01682	1992.00	284.09	650.56	2926.64	0.5605	0.0475	0.0506	0.7342	0.6256	0.4322	0.4816	0.6628	0.0714
10-11	0.01800	2	1	365517.099	0.00472	0.00000	0.01584	840.00	273.54	789516.93	790630.48	1.0008	0.0501	0.0476	0.6894	0.5881	0.8101	0.4511	0.6222	0.0672
10-11	0.01800	2	2	365517.065	0.00077	0.00000	0.01584	1056.00	270.03	789516.86	790842.89	1.0009	0.0501	0.0476	0.6929	0.5882	0.4069	0.4500	0.6259	0.0670
10-11	0.01800	3	1	439.203	0.02248	0.00000	0.01790	1152.00	460.40	948.68	2561.08	0.7858	0.0502	0.0538	0.7696	0.6650	0.9001	0.5125	0.6935	0.0761
10-11	0.01800	3	2	438.439	0.00641	0.00000	0.01790	1368.00	321.91	947.03	2636.94	0.7858	0.0502	0.0538	0.7783	0.6650	0.4579	0.5129	0.7020	0.0763
10-11	0.01800	4	1	366.592	0.02277	0.00000	0.01790	1464.00	473.15	791.84	2728.99	0.7036	0.0502	0.0539	0.7685	0.6642	0.8996	0.5134	0.6916	0.0769
10-11	0.01800	4	2	366.238	0.00650	0.00000	0.01790	1680.00	329.81	791.07	2800.88	0.7037	0.0503	0.0539	0.7800	0.6642	0.4600	0.5140	0.7031	0.0768
10-11	0.01800	5	1	337.525	0.02382	0.00000	0.01790	1776.00	476.64	729.05	2981.70	0.5835	0.0502	0.0538	0.7676	0.6643	0.8986	0.5124	0.6910	0.0766
10-11	0.01800	5	2	337.594	0.00779	0.00000	0.01790	1992.00	331.80	729.20	3053.00	0.5835	0.0502	0.0539	0.7799	0.6643	0.4581	0.5124	0.7031	0.0768
11-12	0.02385	2	1	1269384.090	0.00483	0.00000	0.01613	840.00	290.09	3632977.27	3634107.36	1.0006	0.0665	0.0485	0.7038	0.6002	0.8246	0.4493	0.6359	0.0679
11-12	0.02385	2	2	1269432.401	0.00117	0.00000	0.01613	1056.00	277.02	3633115.53	3634448.55	1.0006	0.0665	0.0485	0.7056	0.6003	0.4157	0.4495	0.6376	0.0680
11-12	0.02385	3	1	22710.799	0.17615	0.00000	0.02354	1152.00	3008.75	64998.31	69159.06	1.0009	0.0652	0.0708	0.8670	0.8749	0.9960	0.6735	0.7672	0.0998
11-12	0.02385	3	2	22713.463	0.08316	0.00000	0.02354	1368.00	1409.81	65005.93	67783.74	1.0009	0.0652	0.0708	0.9530	0.8749	0.5554	0.6732	0.8530	0.1000
11-12	0.02385	4	1	633.257	0.18287	0.00000	0.02372	1464.00	3197.89	1812.38	6474.27	0.8462	0.0653	0.0714	0.8681	0.8811	0.9956	0.6795	0.7671	0.1011
11-12	0.02385	4	2	635.613	0.08977	0.00000	0.02373	1680.00	1580.96	1819.12	5080.08	0.8461	0.0653	0.0714	0.9551	0.8809	0.5575	0.6789	0.8542	0.1009
11-12	0.02385	5	1	557.698	0.18274	0.00000	0.02373	1776.00	3197.13	1596.13	6569.26	0.6907	0.0653	0.0714	0.8636	0.8826	0.9958	0.6803	0.7636	0.1000
11-12	0.02385	5	2	559.429	0.09080	0.00000	0.02373	1992.00	1599.88	1601.09	5192.97	0.6907	0.0653	0.0714	0.9528	0.8826	0.5574	0.6798	0.8529	0.0999
12-13	0.02267	2	1	1092557.662	0.00488	0.00000	0.01606	840.00	288.69	2971866.10	2972994.79	1.0008	0.0632	0.0483	0.7016	0.5973	0.8216	0.4508	0.6335	0.0681
