# mean	lower_ci	upper_ci
0.03958540	0.01468840	0.06448240
0.07381953	0.04165800	0.10598107
0.05101652	0.02946648	0.07256655
0.09493245	0.05311085	0.13675406
0.10040165	0.06421174	0.13659156
0.12025522	0.07102840	0.16948204
0.09386094	0.05491502	0.13280686
0.10805110	0.06796130	0.14814091
0.35021605	0.24470109	0.45573102
0.65725691	0.48804558	0.82646823
0.41516661	0.30685927	0.52347395
0.39980755	0.29276995	0.50684514
0.66195404	0.51182116	0.81208692
0.94358483	0.72942783	1.15774182
0.91809252	0.71802187	1.11816318
0.99400775	0.74068960	1.24732590
1.29401393	1.00903939	1.57898847
1.69321908	1.31915362	2.06728454
1.62908633	1.26153954	1.99663312
1.49856759	1.15718024	1.83995495
1.51157621	1.16947818	1.85367424
1.43013647	1.05355200	1.80672095
1.02957780	0.73114799	1.32800762
0.76073615	0.51364292	1.00782938
1.33118235	1.07722634	1.58513835
2.72799564	2.26921173	3.18677956
2.60318013	2.02923881	3.17712145
2.61374612	2.03727429	3.19021795
3.63254186	3.02694738	4.23813635
4.91738410	4.15598591	5.67878229
4.91310930	4.13393723	5.69228137
4.36302981	3.65146631	5.07459332
5.09701440	4.33709787	5.85693093
6.14050962	5.24246895	7.03855028
5.96071703	5.01616269	6.90527137
5.58659236	4.61116077	6.56202395
5.85090765	4.81844383	6.88337148
5.67298578	4.61362654	6.73234501
4.49023384	3.46363404	5.51683364
3.73967307	2.82594359	4.65340256
3.14039447	2.33435606	3.94643289
1.93431718	1.30573706	2.56289730
1.04572429	0.64354263	1.44790596
0.52186304	0.26074352	0.78298257
0.57181301	0.35152686	0.79209916
0.78040879	0.58150564	0.97931193
0.48485942	0.34947594	0.62024291
0.49480182	0.37013757	0.61946607
0.75400664	0.56197568	0.94603761
0.94462596	0.70566461	1.18358731
0.77499065	0.51255645	1.03742486
0.71954667	0.51653171	0.92256163
0.67665636	0.52318669	0.83012603
0.62863065	0.46905283	0.78820846
0.41261272	0.29134334	0.53388209
0.38897541	0.25576950	0.52218132
0.49815906	0.37610604	0.62021208
0.48516130	0.33435267	0.63596993
0.31204980	0.21010448	0.41399513
0.21552635	0.13875541	0.29229730
0.41707630	0.31258454	0.52156807
0.60475178	0.44562308	0.76388048
0.48197714	0.34090809	0.62304618
0.47771428	0.33220278	0.62322579
0.67776094	0.49264011	0.86288178
0.91411563	0.66758915	1.16064211
0.65682834	0.48889643	0.82476025
0.71219520	0.53251253	0.89187786
1.08545608	0.85509313	1.31581903
1.79537331	1.44160314	2.14914349
1.57629002	1.21179257	1.94078747
1.67425708	1.26654327	2.08197090
3.28609083	2.62728641	3.94489525
4.85062163	4.00851977	5.69272349
4.66102618	3.77021408	5.55183829
4.71226775	3.74702150	5.67751400
5.34612973	4.37213541	6.32012405
6.36136840	5.29863570	7.42410110
6.29572402	5.21574697	7.37570107
5.86853223	4.82886768	6.90819679
6.86029638	5.80551674	7.91507603
7.81663910	6.66282861	8.97044958
7.51057514	6.35578435	8.66536593
6.96958260	5.76127817	8.17788702
7.67646143	6.35788433	8.99503853
9.19258416	7.66311276	10.72205556
9.39716856	7.83163515	10.96270198
9.01580040	7.41498092	10.61661988
9.21517552	7.57341210	10.85693895
11.08394689	9.31439334	12.85350043
10.41156379	8.69402438	12.12910319
9.78404167	8.12427083	11.44381252
10.47357089	8.75494659	12.19219518
9.80077698	8.11926787	11.48228609
8.31210642	6.63409180	9.99012105
6.50889745	5.03259902	7.98519588
