# mean	lower_ci	upper_ci
0.16289778	0.13568811	0.19010745
0.24222041	0.21166298	0.27277783
0.23160129	0.20164758	0.26155499
0.23221799	0.20125958	0.26317640
0.29922393	0.26513569	0.33331217
0.27168891	0.23548044	0.30789738
0.26631358	0.23441668	0.29821049
0.27798672	0.24205669	0.31391675
0.44409513	0.40462057	0.48356970
0.52935848	0.48551305	0.57320390
0.48272602	0.44046716	0.52498488
0.48529100	0.44654570	0.52403629
0.58155576	0.54095928	0.62215224
0.61890539	0.57830408	0.65950671
0.62092223	0.57942322	0.66242123
0.59383088	0.54885048	0.63881128
0.65179727	0.61315993	0.69043460
0.69618960	0.65529314	0.73708605
0.67575314	0.63445165	0.71705464
0.67156872	0.62977491	0.71336253
0.72301351	0.68730734	0.75871968
0.64285400	0.59828734	0.68742066
0.57441577	0.52936616	0.61946538
0.55322216	0.50982690	0.59661743
0.71273057	0.67670943	0.74875171
0.80985714	0.77520804	0.84450625
0.74907639	0.70677005	0.79138274
0.74883249	0.71047162	0.78719337
0.85343547	0.82577475	0.88109620
0.86819069	0.83910019	0.89728118
0.86996043	0.84084859	0.89907227
0.84376260	0.81283412	0.87469107
0.89060225	0.86790525	0.91329926
0.88949853	0.87023010	0.90876696
0.87414955	0.84587754	0.90242157
0.85698562	0.82979562	0.88417562
0.85260326	0.82263271	0.88257381
0.83034117	0.79418982	0.86649251
0.77025310	0.72878564	0.81172056
0.73640227	0.69533306	0.77747149
0.74775871	0.70847628	0.78704113
0.58438778	0.53809562	0.63067994
0.49761055	0.44938981	0.54583129
0.44318258	0.39973955	0.48662560
0.50784581	0.46595468	0.54973693
0.58011871	0.53790070	0.62233672
0.50891237	0.46523420	0.55259054
0.52049642	0.47815688	0.56283595
0.60038768	0.56066441	0.64011095
0.59117735	0.54674220	0.63561251
0.52206155	0.47937326	0.56474984
0.56926477	0.52521122	0.61331833
0.58154263	0.54011315	0.62297210
0.52415535	0.48051741	0.56779329
0.46489948	0.42436865	0.50543030
0.43504937	0.39230911	0.47778964
0.52031158	0.48073448	0.55988867
0.44942802	0.40475642	0.49409961
0.41682864	0.37687115	0.45678613
0.36253584	0.32660234	0.39846934
0.48402373	0.44441172	0.52363574
0.52812165	0.48627895	0.56996434
0.48640529	0.44585188	0.52695869
0.47443009	0.43192653	0.51693364
0.57727875	0.53658509	0.61797241
0.60830517	0.56619073	0.65041961
0.56617636	0.52576722	0.60658550
0.55478756	0.50962948	0.59994564
0.66505955	0.62529663	0.70482247
0.71839305	0.67748391	0.75930218
0.70309587	0.66201318	0.74417855
0.67039376	0.62861883	0.71216868
0.81992566	0.78877421	0.85107712
0.82323155	0.79015899	0.85630411
0.80823693	0.77302526	0.84344859
0.78821593	0.75150712	0.82492475
0.86226684	0.83251368	0.89202001
0.87682118	0.85088231	0.90276006
0.85077107	0.81731145	0.88423068
0.84356610	0.80950678	0.87762542
0.89162299	0.86955367	0.91369230
0.88633877	0.86017236	0.91250519
0.88856706	0.86336516	0.91376896
0.86128666	0.83079458	0.89177874
0.88181243	0.85713337	0.90649149
0.88190275	0.85490322	0.90890227
0.88606722	0.86024938	0.91188505
0.87484474	0.84389490	0.90579458
0.89096567	0.86582226	0.91610907
0.90857003	0.88571772	0.93142234
0.87966553	0.85220577	0.90712529
0.88340184	0.85548360	0.91132009
0.88988847	0.86304765	0.91672928
0.87008208	0.84138361	0.89878054
0.82818086	0.79120827	0.86515345
0.78358617	0.74249226	0.82468008
