# mean	lower_ci	upper_ci
6.98094604	1.61870767	12.34318441
8.52003509	5.19459497	11.84547522
6.74849109	3.60046023	9.89652196
11.74220161	6.36397881	17.12042442
11.63362771	6.48344091	16.78381450
10.57535442	6.90234707	14.24836177
11.08404125	6.23770413	15.93037837
12.25372275	7.99849183	16.50895367
28.65260447	19.89715266	37.40805629
54.72229964	38.78043420	70.66416507
26.90740685	20.25084089	33.56397281
28.08807805	21.30291280	34.87324330
42.08822401	32.40870610	51.76774193
59.01981498	45.63783739	72.40179257
60.22809398	46.26422115	74.19196681
64.37844432	47.22779414	81.52909450
75.06496364	59.53154209	90.59838520
88.62645733	70.71952717	106.53338748
108.64545972	77.41882618	139.87209327
83.29518563	65.45197459	101.13839667
85.25217764	64.99332532	105.51102997
83.77987861	57.71214181	109.84761542
62.29804990	44.56080579	80.03529400
51.92220760	35.69774021	68.14667500
79.28823900	63.74668757	94.82979043
151.87778968	119.36128860	184.39429076
150.64445874	104.57365727	196.71526021
144.37706261	107.85869595	180.89542928
186.06798386	152.45456261	219.68140511
247.17016659	202.98459536	291.35573781
239.49556257	201.97448252	277.01664262
215.34619734	179.21166893	251.48072575
270.44973361	219.68535199	321.21411523
287.55501225	243.71710100	331.39292351
291.79970062	240.62806032	342.97134092
291.82583631	231.61310263	352.03856999
285.51266591	230.17461491	340.85071692
297.73377865	223.76014202	371.70741529
224.50502217	169.91660475	279.09343958
190.13523697	144.47750553	235.79296841
163.49586635	119.00999862	207.98173409
92.53192008	65.73606265	119.32777750
73.44571466	36.43713464	110.45429467
33.75910016	19.53840367	47.97979665
39.80192768	27.53766100	52.06619435
48.31696020	37.37934315	59.25457726
31.86889184	24.12276581	39.61501788
37.28567352	27.35558640	47.21576064
48.52566378	34.65278013	62.39854743
62.85116668	42.22089320	83.48144016
53.32377443	34.46749379	72.18005507
44.04600390	32.85116143	55.24084638
41.31449653	29.28518138	53.34381168
44.62301972	32.37174897	56.87429047
30.32300961	21.44189127	39.20412795
27.84285194	18.87239905	36.81330484
34.95877457	27.14120869	42.77634045
32.26194518	23.07832547	41.44556490
25.12136001	17.56545175	32.67726826
19.12363498	12.09000817	26.15726180
31.89281745	24.73207665	39.05355824
39.54577046	28.77725041	50.31429052
37.90050249	26.78573715	49.01526783
38.64050926	21.39359802	55.88742049
47.49213701	33.79539881	61.18887520
55.65272852	40.00831817	71.29713888
40.03613855	30.03866461	50.03361249
47.65162009	34.73550465	60.56773553
69.98311138	51.82207492	88.14414785
106.01386016	82.39686338	129.63085694
107.77988432	68.31117624	147.24859241
99.80200406	74.98684365	124.61716448
191.05819970	147.58297993	234.53341947
236.31852728	193.94401354	278.69304103
255.38963529	200.68007802	310.09919255
231.87459441	183.07122709	280.67796172
271.14783346	214.48989832	327.80576859
322.26266297	256.27153195	388.25379399
288.90806181	241.25289531	336.56322830
309.76812931	249.31172206	370.22453656
344.43514540	284.11423590	404.75605490
380.87054556	319.46088157	442.28020956
350.27135021	286.63334321	413.90935722
326.78884794	259.84882628	393.72886961
382.36637507	314.71439557	450.01835456
510.67177367	404.61809103	616.72545631
480.01040097	392.71337913	567.30742280
443.59757914	358.81482605	528.38033223
509.25889012	391.01522342	627.50255681
566.27257107	463.25953473	669.28560741
500.24357778	410.56631606	589.92083949
505.77842152	411.56587263	599.99097040
511.20220737	418.04183981	604.36257492
509.03236628	396.68592830	621.37880427
367.32531140	298.36170949	436.28891332
331.08784879	242.97345570	419.20224187
