# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.35367836	0.31014437	0.39721234
0.34562383	0.26981879	0.42142887
0.03576670	0.01107327	0.06046013
0.00086713	-0.00083244	0.00256669
0.35697807	0.31438837	0.39956776
0.64273608	0.56299268	0.72247949
0.29068338	0.21337778	0.36798898
0.09972027	0.04350560	0.15593495
0.13739870	0.10280550	0.17199189
0.91698322	0.84238177	0.99158466
0.87118092	0.77960864	0.96275321
0.66033878	0.54420937	0.77646818
0.36965438	0.27805434	0.46125442
0.95053762	0.87825193	1.02282331
0.97960455	0.88520532	1.07400377
0.74109076	0.62900831	0.85317321
0.44877687	0.34746742	0.55008632
0.98296690	0.90145844	1.06447536
0.98468928	0.88961643	1.07976213
0.86986423	0.76327439	0.97645407
0.87987915	0.76861318	0.99114511
2.19898668	2.07932069	2.31865267
2.28481710	2.06204639	2.50758780
1.35609721	1.12404910	1.58814531
0.93848438	0.76118800	1.11578076
2.47613607	2.29939415	2.65287799
2.82144456	2.63255331	3.01033580
2.21448992	1.97853381	2.45044603
1.53927520	1.28952653	1.78902387
2.74170510	2.52726133	2.95614886
3.05277587	2.86322893	3.24232282
2.26833109	2.03818937	2.49847282
1.58365124	1.34716394	1.82013855
2.86995319	2.64623486	3.09367153
3.24834512	3.02883439	3.46785585
2.75302590	2.50411118	3.00194061
1.73322248	1.45398170	2.01246326
1.84308554	1.59301604	2.09315503
1.60082952	1.37398255	1.82767649
1.29135576	1.10966795	1.47304358
0.99011407	0.83190672	1.14832142
1.24464133	1.10743192	1.38185074
1.14510815	1.00257358	1.28764272
0.96096996	0.85137349	1.07056643
0.63742510	0.52810962	0.74674059
0.98735803	0.89946237	1.07525370
1.00458540	0.90447788	1.10469292
0.78191063	0.67736021	0.88646106
0.57411447	0.47002569	0.67820325
0.89434287	0.81793834	0.97074740
0.93372499	0.83472560	1.03272439
0.84433560	0.74320729	0.94546390
0.55647298	0.46193537	0.65101059
0.96145442	0.88392194	1.03898691
0.85798378	0.76642917	0.94953839
0.70117836	0.59843992	0.80391680
0.50475918	0.41284275	0.59667561
0.84652900	0.76626543	0.92679257
0.81902770	0.72832984	0.90972557
0.58361733	0.48666009	0.68057456
0.70069925	0.61252293	0.78887557
2.23276106	2.09100251	2.37451961
1.60702572	1.40181087	1.81224058
0.56844504	0.42386473	0.71302535
0.48086897	0.40307405	0.55866389
2.17187355	2.03545704	2.30829006
1.95419928	1.74608291	2.16231565
0.89892364	0.71981122	1.07803607
0.61493589	0.50933450	0.72053727
2.35304340	2.20910712	2.49697968
2.49106912	2.26883922	2.71329903
1.48109683	1.25037434	1.71181932
0.92457505	0.76167023	1.08747988
2.38284604	2.21811789	2.54757419
2.68174424	2.48276820	2.88072027
2.09613589	1.81956096	2.37271081
1.42310159	1.18964203	1.65656115
2.76535692	2.54952307	2.98119076
3.14459742	2.93623614	3.35295870
2.65969512	2.38288058	2.93650966
1.90823015	1.64750204	2.16895826
3.08134928	2.85635421	3.30634436
3.55740600	3.34640665	3.76840534
3.07348255	2.81704984	3.32991526
2.28541252	2.01410433	2.55672071
3.37783213	3.09928280	3.65638147
3.85467970	3.60909980	4.10025961
3.12162954	2.87937968	3.36387940
2.30107320	2.02861645	2.57352996
3.40191478	3.14896199	3.65486756
3.84463654	3.62026352	4.06900956
3.09518879	2.85024810	3.34012948
