# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
96.46246983	83.59382017	109.33111950
70.05289890	55.34186445	84.76393335
11.96688065	3.80765230	20.12610901
0.39020690	-0.37459863	1.15501243
108.45428830	93.31676706	123.59180954
144.27893180	125.70732539	162.85053821
81.84771550	59.73660858	103.95882243
23.15439673	11.57360546	34.73518801
44.58467653	30.96450688	58.20484618
227.84198748	204.30225209	251.38172288
238.27608460	209.45682299	267.09534622
168.55684168	135.08856820	202.02511516
76.18039200	54.84763318	97.51315083
235.85807886	212.39493268	259.32122504
264.76736979	236.69640476	292.83833481
197.71187623	168.25160029	227.17215217
99.21262918	77.21132914	121.21392922
278.70176380	250.08108757	307.32244003
263.18167064	230.16796995	296.19537132
228.80169003	197.65158879	259.95179127
211.72150303	185.87867060	237.56433546
546.62810999	497.44963003	595.80658996
519.73948068	459.62212856	579.85683279
344.32018029	283.56997959	405.07038099
276.84922953	215.75703549	337.94142356
669.16751076	601.09923246	737.23578906
714.12532942	639.96109751	788.28956133
487.05891378	426.94584685	547.17198070
355.01644488	297.60917642	412.42371333
711.98028531	633.79645245	790.16411816
751.96836947	669.95752935	833.97920959
556.73011940	487.86818028	625.59205851
374.82139919	319.86242143	429.78037695
727.67189210	653.82902863	801.51475557
742.23526616	654.74006146	829.73047086
628.85775809	552.08634024	705.62917594
441.33194553	356.14576611	526.51812496
440.60242903	371.05841872	510.14643933
400.52336411	339.69840910	461.34831911
339.09897596	288.75190746	389.44604445
277.80961372	227.66081039	327.95841705
304.92077177	263.45544911	346.38609442
294.89474112	258.61014301	331.17933922
261.87445148	229.83335119	293.91555177
158.46189789	131.52497292	185.39882287
250.38226904	224.00028872	276.76424936
275.52754013	242.63010611	308.42497414
222.46177097	187.01742008	257.90612185
141.87600012	115.54094809	168.21105215
238.07084538	211.84028764	264.30140312
254.44260923	225.50802197	283.37719649
222.35646818	191.27677206	253.43616430
148.69132625	124.34444867	173.03820384
239.65223358	217.35863827	261.94582890
223.26532151	197.10829173	249.42235128
184.96893112	153.36167704	216.57618520
125.74208763	99.80725785	151.67691741
222.66342381	197.26198178	248.06486584
225.19165728	195.03236657	255.35094800
151.05008847	125.61075392	176.48942302
182.59662960	159.60094539	205.59231381
510.99691017	465.25179484	556.74202549
383.48460983	322.72117605	444.24804361
164.97747756	119.84144177	210.11351335
149.13288068	123.97218182	174.29357954
540.26809275	489.63278508	590.90340042
495.48998441	431.77046606	559.20950275
247.50151559	190.31045013	304.69258105
175.31171837	145.17779544	205.44564131
609.50734815	552.51179676	666.50289954
671.38598631	584.11632176	758.65565086
386.11733152	319.08310720	453.15155584
258.22816217	208.48316902	307.97315532
623.12786017	559.88192558	686.37379476
650.82753084	591.37903101	710.27603066
488.89936327	412.59947410	565.19925244
343.33965494	277.08530114	409.59400875
710.97937035	639.99312739	781.96561330
777.91173573	692.45063274	863.37283873
550.95593092	491.63650566	610.27535617
459.61719757	387.51243000	531.72196514
767.32360672	688.08714235	846.56007109
810.57586654	729.60462100	891.54711208
680.38306835	601.19229412	759.57384258
566.28552584	477.80732984	654.76372184
851.06135455	754.46053041	947.66217869
885.36419929	785.63300289	985.09539569
659.44701642	581.38162565	737.51240719
532.18880008	452.20120713	612.17639302
817.14153897	737.78396466	896.49911327
904.62768340	814.06944238	995.18592442
702.49679491	623.36859672	781.62499309
