# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.31332908	0.28015138	0.34650679
0.25894442	0.20615710	0.31173174
0.03135671	0.01028435	0.05242907
0.00086713	-0.00083244	0.00256669
0.32745988	0.29088207	0.36403769
0.48305838	0.43419954	0.53191721
0.20115846	0.15340107	0.24891584
0.06195410	0.02933033	0.09457787
0.12639348	0.09620753	0.15657943
0.66696225	0.63344172	0.70048278
0.55887684	0.51927174	0.59848193
0.36728456	0.31404904	0.42052009
0.25703614	0.20482642	0.30924586
0.63749249	0.60264646	0.67233852
0.59883592	0.55767279	0.63999905
0.43005350	0.37514458	0.48496241
0.29046306	0.23762227	0.34330385
0.66151348	0.62392997	0.69909699
0.60319110	0.56193312	0.64444907
0.52605101	0.47636351	0.57573852
0.54584436	0.49962225	0.59206647
0.80203845	0.77744907	0.82662784
0.66890913	0.63024397	0.70757428
0.43152993	0.37534798	0.48771188
0.46195145	0.41281500	0.51108789
0.82782089	0.80429980	0.85134198
0.64686875	0.61178463	0.68195287
0.62325521	0.57875827	0.66775215
0.59757278	0.54831386	0.64683170
0.83149198	0.80863479	0.85434916
0.69232183	0.66073891	0.72390475
0.61215189	0.57125332	0.65305046
0.59442276	0.54609689	0.64274863
0.84877407	0.82622307	0.87132506
0.70112856	0.66842055	0.73383657
0.66080364	0.62215650	0.69945078
0.56458920	0.50839524	0.62078316
0.73207673	0.69393930	0.77021417
0.67369297	0.63847867	0.70890727
0.60180169	0.56292825	0.64067513
0.52810246	0.47569192	0.58051300
0.70409391	0.67388528	0.73430253
0.62474474	0.58673841	0.66275108
0.57207975	0.52567956	0.61847994
0.40921732	0.35537897	0.46305567
0.65660715	0.62194882	0.69126548
0.59944964	0.55992354	0.63897574
0.48615807	0.43476669	0.53754945
0.37313621	0.31783637	0.42843604
0.62756157	0.59043263	0.66469050
0.57958756	0.53798516	0.62118995
0.51859951	0.46892383	0.56827519
0.39526221	0.33861588	0.45190853
0.65468669	0.61965816	0.68971522
0.55576156	0.51093600	0.60058712
0.45486223	0.39833099	0.51139347
0.35946751	0.30640731	0.41252771
0.59703712	0.55828008	0.63579416
0.52936021	0.48479880	0.57392163
0.37682462	0.32242325	0.43122599
0.45720726	0.41255973	0.50185479
0.83084972	0.80825523	0.85344420
0.58270657	0.52932544	0.63608770
0.27015253	0.21417568	0.32612938
0.33267061	0.29541222	0.36992901
0.82764194	0.80561473	0.84966916
0.62866828	0.58399440	0.67334217
0.40168349	0.34149334	0.46187364
0.38191653	0.34098339	0.42284966
0.84390988	0.82308208	0.86473768
0.66070098	0.62289183	0.69851013
0.49296532	0.43723314	0.54869749
0.46986882	0.41877349	0.52096415
0.82839190	0.80658346	0.85020034
0.63921887	0.60339429	0.67504344
0.57450512	0.52492760	0.62408264
0.55053429	0.49731673	0.60375185
0.83357314	0.81610722	0.85103905
0.72057230	0.68879120	0.75235339
0.62960839	0.58590215	0.67331462
0.62184763	0.57521962	0.66847563
0.83820001	0.81385200	0.86254801
0.71338745	0.68335233	0.74342257
0.66377811	0.62801044	0.69954578
0.68896340	0.64762801	0.73029880
0.81846975	0.79434743	0.84259206
0.71143772	0.68136193	0.74151350
0.64682374	0.61642183	0.67722565
0.68334031	0.63885907	0.72782156
0.83718408	0.81608917	0.85827899
0.71502345	0.68299274	0.74705415
0.67794193	0.64198721	0.71389666
