# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
10.14051240	5.35031065	14.93071415
16.06548361	10.76908598	21.36188123
0.87758394	-0.24542136	2.00058925
0.00000000	0.00000000	0.00000000
7.51029477	4.33737381	10.68321574
33.63198325	24.57813537	42.68583113
22.87291869	12.98338932	32.76244806
7.00053065	2.22276335	11.77829795
3.03184843	0.33618006	5.72751680
58.30014974	44.19464896	72.40565051
79.60762239	59.06026881	100.15497597
72.12388892	50.53325936	93.71451848
23.08708115	12.29095881	33.88320348
74.00942321	60.64265884	87.37618757
97.67242694	79.98979820	115.35505569
75.89635969	56.92010466	94.87261472
30.75736674	20.09114426	41.42358921
89.01145372	71.67001256	106.35289487
96.33662618	73.68562732	118.98762503
82.09677161	63.49503559	100.69850763
73.46408357	57.93625747	88.99190968
344.62842627	307.99248516	381.26436739
359.25377761	307.36538621	411.14216901
223.64158590	174.24845759	273.03471422
140.04581853	92.63557258	187.45606448
439.54751029	384.01904915	495.07597143
545.97421532	481.71763559	610.23079506
339.14455330	286.96714665	391.32195995
201.77090340	152.32794801	251.21385880
491.77703957	422.81142701	560.74265212
583.96980594	513.91241889	654.02719299
399.68900329	340.79443672	458.58356986
217.74165458	171.48359196	263.99971719
507.61625147	445.99528903	569.23721392
580.57844312	504.60111414	656.55577209
470.45178432	403.65967085	537.24389779
292.09271408	220.21208113	363.97334703
258.57831341	195.82598622	321.33064061
220.55690057	166.74467044	274.36913070
170.65865235	127.29746225	214.01984244
123.89703606	85.45311492	162.34095719
126.95101820	92.16341412	161.73862228
124.27681134	95.82422113	152.72940156
98.42807585	77.06353608	119.79261562
50.93218982	35.80127341	66.06310623
79.53925399	60.85814233	98.22036564
103.94054050	80.63574340	127.24533760
80.17998949	58.26430376	102.09567522
46.44778120	32.41340358	60.48215882
68.89172073	53.18031756	84.60312390
89.81353389	69.11424222	110.51282556
83.74534179	64.19385685	103.29682674
34.31271392	24.51377548	44.11165235
72.20948967	57.80835038	86.61062895
69.13875002	53.12593727	85.15156277
60.69281632	42.32357926	79.06205338
34.27545866	21.25488165	47.29603568
61.49442974	45.90473838	77.08412109
72.01180969	54.03418659	89.98943278
49.19141519	36.75469202	61.62813836
59.31138161	47.22672955	71.39603367
319.79054940	284.04293159	355.53816720
241.91617441	191.54815880	292.28419002
84.69467739	51.02796766	118.36138712
42.21422639	27.63895358	56.78949920
334.53614688	295.40505515	373.66723860
336.11753474	279.50265526	392.73241422
137.96315409	92.88043755	183.04587064
58.51015341	38.78666434	78.23364248
389.32881464	343.36131332	435.29631597
495.12289720	417.12883259	573.11696182
252.67679830	196.36591234	308.98768427
121.35242136	85.23397677	157.47086596
401.94055438	349.84638428	454.03472448
486.34443403	434.25394516	538.43492290
340.13421894	274.56871936	405.69971851
201.75152668	147.29519114	256.20786221
487.95497458	427.34109512	548.56885404
597.18633287	523.90482214	670.46784360
402.58482894	350.70323053	454.46642734
299.07904068	237.53086379	360.62721757
556.15287568	486.79084911	625.51490225
639.59663462	570.46038797	708.73288126
524.74044025	455.09236766	594.38851285
393.17789032	315.76403777	470.59174287
641.22938147	554.95890342	727.49985953
717.59883985	630.82193624	804.37574346
513.26488706	445.34034932	581.18942480
360.53214463	292.79861471	428.26567456
609.24362184	537.79151187	680.69573181
737.12345251	656.77497668	817.47192834
544.21346873	475.71261273	612.71432474
