# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00119626	-0.00007915	0.00247167
0.00211029	-0.00087492	0.00509550
0.00035989	-0.00017785	0.00089764
0.00066307	-0.00063655	0.00196269
0.00851374	0.00246853	0.01455895
0.00330629	-0.00022416	0.00683675
0.00129228	-0.00046772	0.00305228
0.00062067	-0.00059585	0.00183719
0.05680309	0.03253613	0.08107005
0.05898124	0.03530962	0.08265286
0.02693728	0.00985137	0.04402320
0.00033796	-0.00023784	0.00091376
0.10600953	0.07467598	0.13734308
0.26307863	0.20467890	0.32147835
0.26385318	0.17401661	0.35368975
0.01743660	0.00367507	0.03119814
0.10283378	0.06744328	0.13822428
0.33443562	0.25990408	0.40896716
0.25769494	0.20122160	0.31416828
0.05154635	0.02493074	0.07816196
0.11845306	0.08774098	0.14916513
0.30680060	0.24297877	0.37062244
0.25273549	0.18048581	0.32498517
0.07261718	0.04085231	0.10438204
0.17517084	0.13168799	0.21865369
0.48026914	0.40234242	0.55819585
0.32876578	0.24244463	0.41508693
0.07585813	0.04483541	0.10688085
0.25581468	0.19644622	0.31518314
0.53543472	0.45807028	0.61279916
0.42909499	0.35910856	0.49908143
0.09632992	0.05927653	0.13338330
0.23847732	0.19066499	0.28628965
0.52940999	0.44716220	0.61165779
0.57558542	0.47461474	0.67655611
0.15216813	0.10595864	0.19837762
0.17004310	0.12650765	0.21357856
0.49803908	0.41421350	0.58186466
0.48998207	0.40394129	0.57602285
0.07517447	0.04753137	0.10281756
0.13877825	0.08959720	0.18795930
0.25517757	0.19878095	0.31157418
0.24248357	0.17392404	0.31104310
0.07293323	0.04431586	0.10155060
0.12158912	0.08707948	0.15609877
0.31738844	0.25240359	0.38237329
0.27141348	0.21345195	0.32937500
0.05388882	0.02963008	0.07814756
0.09476245	0.06737232	0.12215259
0.33586437	0.24729157	0.42443717
0.26830122	0.18890085	0.34770158
0.04514901	0.02293043	0.06736759
0.10596764	0.06787085	0.14406444
0.22226379	0.16660549	0.27792209
0.19890856	0.15049451	0.24732262
0.02143452	0.00505118	0.03781786
0.08318787	0.05469396	0.11168177
0.21247665	0.15563595	0.26931736
0.20684764	0.14704846	0.26664681
0.02424300	0.00723297	0.04125302
0.08521472	0.05690539	0.11352405
0.26549705	0.20551910	0.32547499
0.16888226	0.12072441	0.21704011
0.02250988	0.00535238	0.03966739
0.14109176	0.10200267	0.18018086
0.29175449	0.22689454	0.35661444
0.16882748	0.12384998	0.21380497
0.03011441	0.00853675	0.05169206
0.17836119	0.13513747	0.22158492
0.37987489	0.30578340	0.45396637
0.26380111	0.18397511	0.34362710
0.02791875	0.01059373	0.04524377
0.24098966	0.18831107	0.29366825
0.60656066	0.50449010	0.70863121
0.41593407	0.32378879	0.50807934
0.08329648	0.04880742	0.11778555
0.20086352	0.15670786	0.24501918
0.64189757	0.54735463	0.73644050
0.47313469	0.38961867	0.55665071
0.10190231	0.06085988	0.14294474
0.20617381	0.16362720	0.24872042
0.54801564	0.45032942	0.64570186
0.57768912	0.47835824	0.67702000
0.12567573	0.07049783	0.18085363
0.22076500	0.17478133	0.26674868
0.57669853	0.48766617	0.66573088
0.57430693	0.47194472	0.67666913
0.15008716	0.10021311	0.19996121
0.26953126	0.21085725	0.32820528
0.62335973	0.53366206	0.71305741
0.69779909	0.57132596	0.82427222
0.15482023	0.10683468	0.20280579
0.22492243	0.16814954	0.28169531
0.44662644	0.34970952	0.54354337
0.47613319	0.39342550	0.55884088
