# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
9.38411593	6.38699647	12.38123540
14.31866417	10.71457067	17.92275767
14.49391626	11.12134459	17.86648793
1.96538671	0.03584828	3.89492513
11.53665027	7.42025091	15.65304964
11.93195340	9.16745435	14.69645244
14.27969170	10.71637520	17.84300819
0.58964874	-0.17101219	1.35030967
32.92004668	25.06740299	40.77269038
38.03957649	29.40441542	46.67473755
27.67043532	22.42471162	32.91615902
1.87259860	0.42148566	3.32371154
40.15211247	26.92227720	53.38194773
82.57681375	66.61188034	98.54174716
74.96977720	59.43820338	90.50135101
8.40240047	4.12898412	12.67581682
34.47349840	23.07217480	45.87482199
104.99274601	83.35666403	126.62882799
79.97175981	64.18371247	95.75980716
28.11657237	17.55025143	38.68289331
49.59830404	35.86694536	63.32966272
93.36568664	77.01554666	109.71582661
78.66637138	61.39608731	95.93665545
31.54632003	19.96033778	43.13230228
61.63552180	46.07796769	77.19307590
116.65594407	98.19342353	135.11846461
79.77840200	66.18033590	93.37646810
34.22572791	21.26227369	47.18918212
71.43797296	50.67485665	92.20108927
120.94094288	103.72373409	138.15815167
101.51581131	87.44739724	115.58422538
36.56259125	25.13585643	47.98932607
57.64688510	41.43862051	73.85514968
112.47559124	97.06978023	127.88140224
120.21204694	100.57633395	139.84775992
50.18020522	36.73314779	63.62726264
44.25153192	30.76759779	57.73546605
109.93592236	93.84433452	126.02751021
99.81368936	80.84525223	118.78212650
26.59256254	18.91517776	34.26994732
28.46795589	17.93588848	39.00002329
72.29296289	56.88650428	87.69942150
68.77090251	55.56324050	81.97856451
31.87416038	20.10128331	43.64703744
37.34302954	27.36609552	47.31996357
94.34548352	79.45167529	109.23929174
79.12994964	64.53098354	93.72891574
28.86950990	17.79926500	39.93975479
39.19752358	28.19920822	50.19583894
88.32282473	69.82695234	106.81869711
82.53653765	62.82503206	102.24804323
22.24821700	13.37111136	31.12532264
37.71380624	22.52188344	52.90572905
79.27376400	60.05721295	98.49031505
67.18275382	53.31928951	81.04621813
12.62099502	6.04173688	19.20025316
31.59409478	20.72671765	42.46147192
68.99706874	54.39600872	83.59812876
80.10977265	61.85194114	98.36760415
13.95280969	6.37850545	21.52711393
39.11530147	25.81229435	52.41830858
89.82910588	72.71721820	106.94099355
58.13902869	46.78751635	69.49054103
11.96571630	4.89032797	19.04110462
39.42705272	28.52961481	50.32449064
87.88640308	71.50875865	104.26404751
61.48853229	49.91121596	73.06584861
14.32500181	6.66873141	21.98127220
56.14604714	41.17824360	71.11385067
111.35340849	91.11117990	131.59563708
82.07758223	58.72986426	105.42530019
15.57565360	8.64305088	22.50825632
62.44002430	45.35880968	79.52123892
137.85741963	113.40062445	162.31421481
88.96449312	73.82481611	104.10417012
34.08024043	22.83219283	45.32828804
46.79633564	34.98700340	58.60566788
132.54151404	112.28388380	152.79914428
94.39765477	78.99534710	109.79996245
35.86480764	25.29736414	46.43225114
54.54467693	41.83237577	67.25697809
113.78808217	93.11061028	134.46555405
125.04376091	102.57565080	147.51187103
40.62077873	29.26585336	51.97570411
51.47181094	36.70172660	66.24189528
115.23889504	88.72918747	141.74860262
108.63958745	91.34012766	125.93904725
42.89504514	31.03686859	54.75322170
50.48113946	37.11232684	63.84995208
126.99889526	108.69123258	145.30655793
127.86250029	108.31962856	147.40537202
41.62439136	30.65414620	52.59463652
50.14492464	36.92253010	63.36731917
87.20165558	72.08328323	102.32002794
101.99117509	83.56607694	120.41627324
