# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02795185	0.01809335	0.03781035
0.04116466	0.02989549	0.05243383
0.04687241	0.03466022	0.05908459
0.35882763	0.31519625	0.40245901
0.37904483	0.30114714	0.45694252
0.07577528	0.04774440	0.10380616
0.04613341	0.03381873	0.05844809
0.35899045	0.31664266	0.40133824
0.75062193	0.66450142	0.83674244
0.43551318	0.34296867	0.52805770
0.22173014	0.15140632	0.29205395
0.14170577	0.10733138	0.17608016
1.05759923	0.96802399	1.14717446
1.23022083	1.09722099	1.36322067
1.04582189	0.85323570	1.23840808
0.39885735	0.29957316	0.49814155
1.08962215	1.00039215	1.17885214
1.40985616	1.26568411	1.55402822
1.11373418	0.95913965	1.26832871
0.53249098	0.41089975	0.65408220
1.14718911	1.05107110	1.24330713
1.38694579	1.24293740	1.53095418
1.21568292	1.05819052	1.37317533
0.97498199	0.84457844	1.10538553
2.42158405	2.28635262	2.55681548
2.87466267	2.61995375	3.12937160
1.84286741	1.56244409	2.12329072
1.04212245	0.84812840	1.23611649
2.77990310	2.58466422	2.97514199
3.51493250	3.28104819	3.74881681
2.79099631	2.53070213	3.05129048
1.67847334	1.41872229	1.93822439
3.03204697	2.80409153	3.26000240
3.73154376	3.51172226	3.95136526
2.99334012	2.72394161	3.26273863
1.79578528	1.53786418	2.05370638
3.07338769	2.83358795	3.31318743
3.87461213	3.62161997	4.12760429
3.37361151	3.08323274	3.66399028
1.85743144	1.57593201	2.13893087
2.00794210	1.74480470	2.27107950
1.92879482	1.67817820	2.17941144
1.61898698	1.39693409	1.84103986
1.09314326	0.92908630	1.25720022
1.40681218	1.25538988	1.55823447
1.56461459	1.38063336	1.74859582
1.32491368	1.17730883	1.47251853
0.71932276	0.59501230	0.84363322
1.11984434	1.02184488	1.21784381
1.43686152	1.26720333	1.60651970
1.15048239	0.99588951	1.30507528
0.64572243	0.53164161	0.75980326
1.03332700	0.94007460	1.12657940
1.24060987	1.10730010	1.37391965
1.13172859	1.00378247	1.25967470
0.59524888	0.49299237	0.69750539
1.07424307	0.98544253	1.16304361
1.14676527	1.01591338	1.27761717
0.98142840	0.83749681	1.12536000
0.54845476	0.44769571	0.64921380
0.96949745	0.87336604	1.06562886
1.18251650	1.04781244	1.31722055
0.84580086	0.71828243	0.97331929
0.73665359	0.64136541	0.83194177
2.40486270	2.25653680	2.55318860
1.99958538	1.75379427	2.24537649
0.86352252	0.68685112	1.04019392
0.53013694	0.43614012	0.62413375
2.39626182	2.24509370	2.54742995
2.44885635	2.20500435	2.69270835
1.28614663	1.06055062	1.51174263
0.66559265	0.55302054	0.77816475
2.63453518	2.47274192	2.79632844
3.24862835	2.97660034	3.52065637
2.05414208	1.77506427	2.33321990
1.05092820	0.87665744	1.22519896
2.61983335	2.44223591	2.79743079
3.49549115	3.24191910	3.74906320
2.71599878	2.39482969	3.03716788
1.57631515	1.33043423	1.82219607
3.01066071	2.78786753	3.23345389
3.83508370	3.58463138	4.08553603
3.40327613	3.08602026	3.72053200
2.09535251	1.80966296	2.38104207
3.34207560	3.11190648	3.57224471
4.27542173	4.02901661	4.52182685
3.80189249	3.50790564	4.09587934
2.48975299	2.20530911	2.77419686
3.68617774	3.40840260	3.96395289
4.62384419	4.33994815	4.90774022
4.00633770	3.70180816	4.31086725
2.52144392	2.22406814	2.81881971
3.66352925	3.39563182	3.93142669
4.41447848	4.14463152	4.68432543
3.69133333	3.41013042	3.97253624
