# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00119626	-0.00007915	0.00247167
0.00211029	-0.00087492	0.00509550
0.00035989	-0.00017785	0.00089764
0.04101234	0.02513206	0.05689263
0.09519316	0.06494343	0.12544288
0.00771628	0.00114696	0.01428561
0.00129228	-0.00046772	0.00305228
0.03013886	0.01891841	0.04135931
0.21648079	0.16888295	0.26407863
0.14850616	0.09683899	0.20017334
0.06470346	0.02579687	0.10361005
0.01134318	0.00192618	0.02076018
0.35603049	0.28822719	0.42383380
0.57538271	0.46940750	0.68135793
0.55690739	0.40559629	0.70821850
0.13005484	0.07824556	0.18186413
0.41587890	0.35049580	0.48126200
0.71520425	0.59963694	0.83077155
0.56873220	0.45785065	0.67961376
0.20986016	0.13417593	0.28554439
0.43990648	0.37288871	0.50692424
0.68829879	0.57276030	0.80383728
0.59654871	0.47408996	0.71900745
0.40665197	0.31131349	0.50199045
1.57211907	1.44856075	1.69567739
2.09617711	1.86508171	2.32727250
1.25333306	1.01579372	1.49087240
0.55239106	0.39731397	0.70746815
1.90412986	1.71857911	2.08968061
2.71001053	2.49249103	2.92753003
2.02032970	1.78041815	2.26024126
1.03803234	0.81222393	1.26384074
2.14869044	1.92574305	2.37163783
2.88986404	2.68407301	3.09565507
2.23176462	1.98403899	2.47949026
1.14139662	0.91587912	1.36691411
2.19122223	1.95843985	2.42400461
3.04525564	2.80590084	3.28461044
2.58220433	2.31125321	2.85315544
1.24380775	0.99902579	1.48858970
1.24978705	1.00471605	1.49485806
1.18231412	0.95044812	1.41418012
0.93203764	0.73373768	1.13033761
0.53494484	0.40630759	0.66358209
0.66213655	0.52854904	0.79572406
0.83775185	0.67637676	0.99912694
0.66030368	0.54509759	0.77550977
0.28209660	0.20006466	0.36412855
0.42551334	0.35222746	0.49879921
0.74100013	0.59815869	0.88384158
0.56405378	0.44630604	0.68180152
0.24612727	0.17693767	0.31531688
0.37274895	0.30353915	0.44195874
0.57640123	0.47249284	0.68030961
0.52464465	0.43171405	0.61757524
0.18264530	0.12582350	0.23946710
0.38995560	0.32543632	0.45447488
0.51469887	0.41381672	0.61558103
0.45316377	0.35285859	0.55346895
0.16953467	0.11338087	0.22568846
0.33470660	0.26605930	0.40335391
0.55516454	0.45522772	0.65510135
0.37567497	0.29475276	0.45659718
0.26600188	0.20893356	0.32307019
1.54300310	1.40484064	1.68116556
1.31607364	1.10804438	1.52410291
0.46711999	0.33609208	0.59814789
0.17831276	0.11531382	0.24131171
1.52259280	1.38170744	1.66347816
1.70540588	1.48776163	1.92305014
0.76104126	0.58076574	0.94131677
0.26093811	0.18049084	0.34138537
1.75012318	1.59890239	1.90134398
2.43692880	2.18406351	2.68979410
1.40406558	1.16099456	1.64713660
0.53800272	0.40479957	0.67120587
1.75531766	1.58586205	1.92477327
2.68442294	2.44858428	2.92026160
1.99476545	1.70515961	2.28437129
0.97446961	0.76757285	1.18136637
2.13795759	1.92079414	2.35512104
2.97204076	2.72879880	3.21528272
2.60777585	2.31269229	2.90285942
1.41205825	1.15871280	1.66540371
2.46391428	2.24105336	2.68677519
3.42071707	3.18434093	3.65709321
2.98401137	2.70453787	3.26348488
1.74653628	1.48583923	2.00723332
2.82889365	2.55903230	3.09875500
3.76660172	3.49500823	4.03819521
3.17260489	2.87731113	3.46789866
1.77255312	1.50420123	2.04090502
2.78965313	2.52746229	3.05184397
3.57623954	3.31541939	3.83705969
2.89338005	2.62690240	3.15985769
