# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
16.40625000	6.49657900	26.31592100
29.58984375	16.68266346	42.49702404
30.76171875	18.04175871	43.48167879
136.81640625	119.64577393	153.98703857
80.80078125	63.21822519	98.38333731
40.42968750	25.94629036	54.91308464
30.17578125	17.67654265	42.67501985
133.88671875	117.40550874	150.36792876
118.59793527	103.60117923	133.59469131
96.44531250	79.67178384	113.21884116
83.90625000	66.41196642	101.40053358
82.03125000	63.48075318	100.58174682
149.30524554	137.57734266	161.03314841
112.07310268	100.24900280	123.89720256
104.39732143	90.17271104	118.62193182
98.43750000	79.23127629	117.64372371
135.92075893	123.07751404	148.76400382
129.87723214	118.63660123	141.11786305
111.51227679	98.10508230	124.91947127
99.02343750	79.94334436	118.10353064
128.90625000	116.35152928	141.46097072
131.68945313	118.87493827	144.50396798
130.11160714	116.12592849	144.09728580
156.85546875	146.63896856	167.07196894
120.23018973	111.23700834	129.22337113
103.94531250	90.98476484	116.90586016
99.73074777	83.95236694	115.50912860
162.42187500	150.13179800	174.71195200
113.25334821	104.44216918	122.06452724
116.99079241	105.13285690	128.84872792
108.28962054	93.42625936	123.15298171
159.96093750	146.35602014	173.56585486
113.73465402	105.99322039	121.47608765
98.44866071	87.53622425	109.36109718
116.70758929	101.72065272	131.69452585
172.26562500	159.88985957	184.64139043
115.22600446	107.54510077	122.90690816
107.42885045	95.25074675	119.60695414
105.00418527	90.49843361	119.50993693
44.23828125	28.86825080	59.60831170
120.29296875	105.05272895	135.53320855
131.75223214	118.10406194	145.40040234
113.67187500	98.75603639	128.58771361
101.07421875	82.31336916	119.83506834
139.27734375	126.61200665	151.94268085
139.86328125	128.62856564	151.09799686
124.34430804	110.61576594	138.07285013
102.83203125	84.04131362	121.62274888
138.98437500	125.62413886	152.34461114
131.13281250	118.86812861	143.39749639
120.97935268	106.03613782	135.92256754
100.19531250	80.95262509	119.43799991
144.25781250	130.44213730	158.07348770
131.02399554	117.71013174	144.33785933
114.76004464	99.98396382	129.53612546
99.02343750	80.15350927	117.89336573
140.09765625	125.67708218	154.51823032
138.33984375	124.30999211	152.36969539
112.73437500	97.18541058	128.28333942
106.34765625	87.51222537	125.18308713
146.84430804	133.70292114	159.98569493
130.13671875	117.91371917	142.35971833
107.22656250	90.59579516	123.85732984
153.51562500	145.45166871	161.57958129
111.83454241	101.17932808	122.48975675
97.06891741	80.69213497	113.44569985
90.93750000	73.94331362	107.93168638
146.83593750	134.67834377	158.99353123
118.86300223	110.59503888	127.13096559
103.36774554	88.85619576	117.87929531
93.51562500	77.29960706	109.73164294
152.34375000	140.73525488	163.95224512
107.63950893	99.41436331	115.86465454
100.94029018	89.86122363	112.01935673
99.41685268	83.83112765	115.00257770
151.93359375	139.18711068	164.68007682
111.13141741	102.93174029	119.33109453
110.78264509	99.24401350	122.32127668
105.65848214	90.51121927	120.80574501
151.75781250	137.78237968	165.73324532
115.16183036	107.79075816	122.53290255
100.22042411	89.34069336	111.10015485
124.33593750	111.42149774	137.25037726
163.76953125	150.80535027	176.73371223
116.12025670	108.13926693	124.10124647
103.56597504	92.46070416	114.67124592
93.12779018	79.65456979	106.60101057
172.26562500	159.97068176	184.56056824
101.81780134	93.67998702	109.95561566
109.59542411	98.02175730	121.16909092
120.90122768	106.73362768	135.06882768
168.75000000	156.04137314	181.45862686
118.92857143	110.15975247	127.69739039
114.22830100	102.53525178	125.92135022
90.88727679	76.16391120	105.61064237
