# mean	lower_ci	upper_ci
0.07754434	-0.07444257	0.22953125
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.13257761	-0.12727450	0.39242971
0.00000000	0.00000000	0.00000000
0.48581111	-0.34523223	1.31685445
0.32252088	-0.28974051	0.93478226
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
2.42312445	-2.23235335	7.07860225
1.59916745	0.05371140	3.14462350
0.00000000	0.00000000	0.00000000
1.49903527	0.09430018	2.90377036
0.49604494	-0.11728335	1.10937323
0.33902449	-0.32546351	1.00351249
0.37652626	-0.16130341	0.91435593
1.13739918	-0.00610526	2.28090362
0.09829827	-0.07497633	0.27157287
0.82668343	-0.55894138	2.21230823
0.04802885	-0.04610769	0.14216539
1.85407584	-0.67126720	4.37941889
0.38911208	-0.31621761	1.09444178
0.00677966	-0.00320101	0.01676033
0.73010233	-0.65887157	2.11907624
2.94042024	-1.46121768	7.34205816
2.13359999	0.38312730	3.88407268
0.35513392	-0.14124553	0.85151336
0.17255418	-0.16565202	0.51076038
0.47264573	-0.11784733	1.06313879
0.69400724	-0.01254496	1.40055944
1.52662117	-0.43414377	3.48738612
1.02645730	-0.08980310	2.14271770
0.43428329	-0.41691196	1.28547855
0.29633616	-0.10550820	0.69818053
0.82369899	-0.22547280	1.87287079
0.16019026	-0.06775813	0.38813866
0.06484558	-0.06225176	0.19194292
0.18918731	-0.18161982	0.55999443
0.42445182	-0.38793872	1.23684237
0.16471099	-0.13959088	0.46901285
0.80115811	-0.41429846	2.01661468
0.07168439	-0.00997315	0.15334192
0.52121629	-0.31627663	1.35870921
0.23064244	-0.05255243	0.51383730
0.24498106	-0.10121529	0.59117740
0.42648228	-0.09450202	0.94746657
1.01359376	-0.35865427	2.38584180
0.00000000	0.00000000	0.00000000
0.09963597	-0.09565053	0.29492248
1.62858530	-0.72777530	3.98494589
0.27867983	-0.22719055	0.78455021
0.54155175	-0.39883077	1.48193427
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.82992741	-0.03113042	1.69098525
0.33586128	-0.12956368	0.80128624
0.20488752	-0.19669202	0.60646705
0.46717335	-0.17905360	1.11340030
0.37104948	-0.08619037	0.82828933
0.79604444	-0.34180919	1.93389807
0.06281807	-0.06030535	0.18594148
0.00000000	0.00000000	0.00000000
0.40781653	-0.28096381	1.09659687
0.70445266	-0.28553390	1.69443923
1.01221146	-0.97172300	2.99614591
0.66041113	-0.09020149	1.41102375
0.49445321	-0.33285403	1.32176045
0.71056362	-0.35162126	1.77274850
2.68625354	-0.11543176	5.48793884
1.87320504	0.06543950	3.68097058
0.77613561	0.05409533	1.49817589
0.90818988	-0.13380746	1.95018723
1.10972506	-0.49799105	2.71744117
1.58810008	-0.32077435	3.49697451
0.00000000	0.00000000	0.00000000
0.84183002	-0.14832550	1.83198553
1.17473255	0.00958686	2.33987824
0.51000886	-0.00149376	1.02151148
0.79395404	-0.46041604	2.04832412
1.90379133	-1.18903681	4.99661947
0.85047827	-0.20033775	1.90129430
0.55700848	-0.31486841	1.42888538
0.49929806	-0.20419209	1.20278821
0.17218046	-0.06659510	0.41095602
0.73611976	0.05692464	1.41531488
1.71064893	0.00119175	3.42010611
0.34872245	-0.15405314	0.85149804
1.03293226	0.30864593	1.75721858
0.32927510	-0.31610409	0.97465428
2.12098812	-0.06797997	4.30995621
1.47009602	-0.19412577	3.13431780
1.13961564	-0.66566587	2.94489715
