# mean	lower_ci	upper_ci
0.56733106	0.48970409	0.64495803
0.82727391	0.71436261	0.94018522
0.96296117	0.81605589	1.10986646
1.05364730	0.87300363	1.23429097
1.06799827	0.90054451	1.23545202
1.35361514	1.15586187	1.55136841
1.28405526	1.09638842	1.47172211
1.36594349	1.13378749	1.59809949
1.55890312	1.31894144	1.79886481
2.14157865	1.87492336	2.40823394
2.32332360	2.08056615	2.56608104
2.40598346	2.09244480	2.71952212
2.72646645	2.38286230	3.07007060
3.26567134	2.80808299	3.72325968
3.67239680	3.14748759	4.19730601
3.21891139	2.72956534	3.70825744
3.66340771	3.18253814	4.14427727
4.01050706	3.47247078	4.54854335
4.08282860	3.51791512	4.64774207
4.21170523	3.65275408	4.77065639
3.68713680	3.13493054	4.23934306
3.16630120	2.65244817	3.68015423
2.89125935	2.39958993	3.38292877
2.95531934	2.50664500	3.40399368
3.27087973	2.86158863	3.68017084
3.28193634	2.91550111	3.64837157
3.85394414	3.36901657	4.33887171
4.01295415	3.53984397	4.48606433
4.63709725	4.17540157	5.09879293
4.77024270	4.27438730	5.26609811
4.52064066	4.02018711	5.02109420
4.86937682	4.25717184	5.48158179
4.90135492	4.27902694	5.52368291
4.78120375	4.22294836	5.33945914
4.56674104	3.96415239	5.16932970
4.48840651	3.96156429	5.01524873
4.10440627	3.57721130	4.63160125
3.47599460	2.94569728	4.00629192
3.30363266	2.87985769	3.72740763
3.17680191	2.79877014	3.55483369
2.44574812	2.15945143	2.73204481
1.64727969	1.45347348	1.84108590
1.58975214	1.41397338	1.76553091
1.60042654	1.39223969	1.80861339
2.00953419	1.74684508	2.27222330
2.22846922	1.96797854	2.48895990
2.16587401	1.91499834	2.41674968
2.38825675	2.12277681	2.65373669
2.56709904	2.26981670	2.86438139
2.64639948	2.34353032	2.94926864
2.63894384	2.31034732	2.96754036
2.75893013	2.42740555	3.09045470
2.25646790	1.98204908	2.53088672
1.92128777	1.69573565	2.14683990
1.96146285	1.71580647	2.20711923
1.99566921	1.71534322	2.27599521
1.82859597	1.56517915	2.09201278
1.67055787	1.47161608	1.86949967
1.44300666	1.26619636	1.61981695
1.62422967	1.40604255	1.84241679
1.89134037	1.65034274	2.13233800
2.25140070	1.98148113	2.52132027
2.12364686	1.86380264	2.38349109
2.01290692	1.78751510	2.23829875
2.42519624	2.14065581	2.70973666
3.10414174	2.74381717	3.46446630
3.21200237	2.83224151	3.59176323
3.11941842	2.72890576	3.50993107
3.95679125	3.45004749	4.46353502
4.91335998	4.30217620	5.52454376
5.55819454	4.75359721	6.36279187
5.95717257	5.17364046	6.74070469
5.76997699	4.96838530	6.57156868
5.34512058	4.64441375	6.04582741
5.10074122	4.41672407	5.78475838
4.47199968	3.84545744	5.09854192
4.54888296	3.89009739	5.20766853
4.91833589	4.22536014	5.61131164
4.87981766	4.21422520	5.54541011
5.79471631	5.02130351	6.56812910
5.69067234	4.83054439	6.55080029
5.78921888	4.89257877	6.68585900
5.94599908	5.01718901	6.87480914
5.66372521	4.76977385	6.55767657
5.46638754	4.61947858	6.31329649
5.33937312	4.44142658	6.23731967
5.36126089	4.45939383	6.26312796
5.38386950	4.46508197	6.30265703
5.92827993	4.93500119	6.92155867
5.63603100	4.61826414	6.65379786
5.33517980	4.30756393	6.36279567
5.54101139	4.50186169	6.58016110
4.39828548	3.51208513	5.28448583
3.78003621	2.98070461	4.57936782
3.48912510	2.77731640	4.20093379
3.44289550	2.77724246	4.10854855
