# mean	lower_ci	upper_ci
6.15320939	2.92834470	9.37807408
14.30404780	8.72974825	19.87834736
18.57302620	11.09258646	26.05346594
25.44796265	13.20397697	37.69194832
36.71779675	12.59421655	60.84137695
39.14050802	22.98936477	55.29165128
40.99124127	24.43873814	57.54374439
53.00499994	28.74647740	77.26352247
21.02547861	9.08625116	32.96470607
24.05326389	15.55934198	32.54718581
30.17185977	20.85404971	39.48966983
43.73649444	27.05134256	60.42164633
53.73516704	35.02195381	72.44838027
72.28693700	50.25821622	94.31565778
75.33904150	54.26152004	96.41656296
68.53667842	48.11694500	88.95641185
86.70106351	60.66605530	112.73607171
100.43920317	72.58347379	128.29493256
98.06805784	71.22676717	124.90934850
110.48026037	79.23016959	141.73035114
84.41788564	58.96807349	109.86769778
70.29777027	45.98287205	94.61266849
60.76211581	40.51552222	81.00870940
60.01443455	38.63600949	81.39285961
36.97711881	22.57101644	51.38322119
30.42658543	18.19841959	42.65475126
54.37964398	35.71900916	73.04027881
56.21382438	37.63508956	74.79255919
64.78332861	49.10475912	80.46189810
68.24515772	51.87679742	84.61351802
65.29012721	48.23739461	82.34285981
78.11525310	56.25819669	99.97230952
67.70559541	50.74222260	84.66896822
71.37682068	52.72116708	90.03247428
69.40615145	49.82616655	88.98613636
63.72245742	43.16967345	84.27524139
58.99557682	37.83188011	80.15927352
43.37825134	20.00861883	66.74788385
31.49243494	20.03791665	42.94695323
31.01228508	18.67323343	43.35133673
23.03623014	15.08345164	30.98900864
11.28359135	6.09032270	16.47686000
12.47919952	4.93982647	20.01857256
13.42014213	6.28034659	20.55993767
28.18871527	15.90564246	40.47178808
27.95910219	17.50054201	38.41766236
26.76212109	17.91718917	35.60705302
31.20024784	20.44975132	41.95074436
43.89056398	31.83766318	55.94346479
47.73215655	33.12832672	62.33598638
44.53563262	31.33808055	57.73318469
45.91933511	32.95675404	58.88191618
36.17346382	24.32871116	48.01821647
23.42798135	15.65798354	31.19797916
27.89531742	15.95515080	39.83548403
31.44669514	19.50698386	43.38640641
22.90231120	13.17384369	32.63077871
16.22301652	10.26457137	22.18146167
13.33845633	6.09364745	20.58326521
18.22614921	10.04759272	26.40470570
25.54975459	15.57505288	35.52445630
39.46422364	22.82525768	56.10318960
26.73537014	17.77094359	35.69979670
23.00269626	15.31880240	30.68659013
41.51002376	27.83291720	55.18713031
70.85840345	49.74129746	91.97550945
62.69431659	46.04290962	79.34572355
71.64629822	45.51638701	97.77620944
107.14265725	76.96257853	137.32273596
153.08171342	114.99878694	191.16463990
213.02112892	128.53374212	297.50851571
170.90293119	136.22577262	205.58008975
107.61456805	78.92202137	136.30711473
93.25373813	69.29201573	117.21546054
86.30734475	63.24547732	109.36921219
70.61255892	47.43118908	93.79392875
70.76333517	42.97521721	98.55145313
74.46797077	50.16669587	98.76924567
73.21444864	52.48820885	93.94068842
127.38359359	87.88109491	166.88609227
107.21284759	72.07171711	142.35397807
119.06645707	80.01667972	158.11623443
98.46592772	68.40934558	128.52250987
100.86025630	69.34526013	132.37525247
98.97816694	65.49399222	132.46234166
91.48191477	59.87157657	123.09225298
96.11195533	59.60244126	132.62146941
94.59223650	60.06545478	129.11901821
119.26277696	77.79177679	160.73377712
96.99030709	60.49963659	133.48097760
103.62798804	51.78772405	155.46825203
96.04755730	62.43083964	129.66427495
74.86650424	46.26919665	103.46381183
58.54032794	29.18614517	87.89451070
45.38848733	21.38221299	69.39476167
49.80247185	23.96811913	75.63682456
