# mean	lower_ci	upper_ci
0.00352873	-0.00064753	0.00770499
0.01786841	0.00160615	0.03413066
0.01930398	0.00225034	0.03635761
0.01601157	0.00558957	0.02643357
0.01547147	0.00540632	0.02553662
0.01723591	0.00635467	0.02811716
0.02156367	0.01108838	0.03203896
0.01358613	0.00660292	0.02056935
0.03324146	0.01750720	0.04897572
0.12517367	0.07258501	0.17776233
0.18820287	0.11068046	0.26572529
0.20373045	0.10360491	0.30385599
0.22306245	0.08164123	0.36448367
0.20998871	0.09965579	0.32032162
0.25610928	0.18360611	0.32861246
0.35809045	0.25767001	0.45851090
0.31800218	0.19019081	0.44581356
0.31861100	0.17073370	0.46648831
0.35087322	0.23349801	0.46824843
0.46093627	0.32677042	0.59510212
0.31417580	0.20148541	0.42686620
0.26304073	0.17278717	0.35329430
0.21149709	0.13372043	0.28927375
0.32477586	0.20021489	0.44933682
0.31495382	0.22143527	0.40847237
0.34607424	0.23558768	0.45656079
0.61081562	0.42840853	0.79322271
0.70761105	0.52208467	0.89313743
0.70148982	0.47362548	0.92935417
0.83839769	0.54896008	1.12783530
1.09561344	0.80379898	1.38742791
1.42758072	1.09496295	1.76019849
1.19624251	0.89950538	1.49297963
0.79899219	0.56591752	1.03206686
1.15789043	0.85996187	1.45581899
1.21721371	0.90937322	1.52505420
1.32764239	0.97596096	1.67932383
0.87702993	0.61283524	1.14122463
0.94686388	0.72124227	1.17248549
0.89632861	0.66047771	1.13217952
0.72303309	0.55192961	0.89413657
0.35975980	0.20885575	0.51066385
0.34986675	0.13443114	0.56530235
0.26135705	0.08732919	0.43538492
0.15383206	0.06843935	0.23922477
0.14325715	0.08866672	0.19784757
0.18557554	0.10377230	0.26737878
0.17042812	0.09990493	0.24095132
0.16963664	0.10165665	0.23761664
0.11750598	0.07635077	0.15866119
0.22399259	0.15451584	0.29346934
0.25533912	0.15957969	0.35109855
0.23245058	0.14088701	0.32401415
0.14280634	0.08309329	0.20251940
0.11903327	0.07901940	0.15904715
0.12894265	0.07554306	0.18234224
0.11474664	0.06205286	0.16744041
0.10560460	0.06038172	0.15082748
0.08551266	0.03908498	0.13194034
0.05308224	0.02992635	0.07623812
0.08300775	0.04115192	0.12486358
0.14415124	0.06496098	0.22334150
0.14431563	0.06264970	0.22598156
0.23484410	0.15135266	0.31833553
0.15876322	0.09741396	0.22011248
0.18592478	0.09294505	0.27890451
0.42668895	0.24348972	0.60988819
0.39698162	0.27873545	0.51522779
0.22475275	0.16101847	0.28848704
0.24045369	0.16660332	0.31430406
0.42386568	0.30362628	0.54410508
0.56027998	0.41572339	0.70483656
0.49478582	0.34780225	0.64176940
0.55319420	0.37497521	0.73141319
0.89485246	0.62633519	1.16336974
1.30517221	0.90652910	1.70381533
1.28103040	0.89733573	1.66472506
0.89051442	0.62323158	1.15779726
1.27351442	0.98527435	1.56175450
1.45690283	1.10788617	1.80591949
1.42918902	1.04242414	1.81595390
0.98051016	0.64586357	1.31515674
1.44001566	1.11598515	1.76404617
1.88871174	1.50415647	2.27326700
1.47334523	1.10784610	1.83884436
0.91559066	0.60987786	1.22130347
1.09941068	0.77477080	1.42405057
1.43098711	1.14119490	1.72077931
1.35782270	1.02738503	1.68826037
0.90657701	0.64081360	1.17234041
1.22509010	0.97389190	1.47628830
1.59891304	1.26178423	1.93604185
1.31757611	0.98538685	1.64976538
0.84239227	0.56346644	1.12131810
1.03230438	0.68360251	1.38100624
1.47632479	1.01717336	1.93547621
