# mean	lower_ci	upper_ci
0.08055316	0.06431416	0.09679217
0.18019187	0.15500255	0.20538119
0.18231587	0.15664547	0.20798627
0.18566448	0.16036665	0.21096230
0.18436932	0.16215561	0.20658303
0.22946930	0.20290643	0.25603217
0.22372894	0.19839552	0.24906235
0.23167154	0.20409829	0.25924479
0.27746655	0.24671135	0.30822176
0.37427560	0.33943188	0.40911931
0.42745671	0.38984758	0.46506584
0.42803622	0.39232351	0.46374893
0.40567359	0.36801937	0.44332782
0.43544325	0.40210335	0.46878314
0.47597530	0.43873443	0.51321617
0.52577111	0.48585697	0.56568525
0.47028056	0.43446456	0.50609655
0.48766801	0.45257635	0.52275966
0.51761876	0.48088552	0.55435200
0.55403707	0.51733892	0.59073523
0.49701382	0.46376140	0.53026624
0.47225410	0.43577888	0.50872933
0.43613974	0.40160900	0.47067048
0.47801380	0.43863588	0.51739171
0.49964664	0.46295830	0.53633497
0.52307932	0.48829639	0.55786224
0.59192790	0.55651698	0.62733883
0.59221077	0.55674099	0.62768054
0.60048154	0.56356955	0.63739353
0.61970392	0.58063852	0.65876931
0.69533193	0.66233032	0.72833355
0.70424345	0.66598130	0.74250561
0.65946368	0.62093103	0.69799634
0.63777376	0.60373979	0.67180772
0.69357516	0.65758636	0.72956396
0.67907529	0.64174550	0.71640508
0.69636964	0.65820025	0.73453903
0.61658284	0.57535263	0.65781305
0.63365612	0.59218689	0.67512534
0.61382026	0.57266887	0.65497165
0.59372291	0.55425934	0.63318647
0.46824801	0.42712440	0.50937162
0.43102866	0.39120637	0.47085096
0.38653154	0.34688223	0.42618084
0.35348121	0.31975304	0.38720938
0.39183119	0.35889860	0.42476379
0.41998554	0.38396901	0.45600206
0.40024590	0.36456043	0.43593138
0.41965485	0.38701379	0.45229590
0.39785841	0.36366193	0.43205489
0.44945654	0.41568581	0.48322727
0.44375747	0.41016472	0.47735023
0.43161854	0.39641474	0.46682234
0.35950980	0.32385528	0.39516433
0.38459979	0.34837584	0.42082374
0.36119436	0.32578091	0.39660782
0.35084912	0.31591523	0.38578302
0.33291324	0.29797682	0.36784965
0.31727155	0.28731757	0.34722553
0.32047804	0.28951788	0.35143821
0.33431664	0.30126019	0.36737310
0.38338441	0.34682382	0.41994501
0.36694102	0.33237632	0.40150572
0.43791608	0.40018524	0.47564691
0.39433080	0.35973689	0.42892471
0.41464317	0.38172953	0.44755681
0.50865813	0.46825002	0.54906624
0.51226896	0.47261194	0.55192598
0.47519896	0.43868701	0.51171090
0.50156425	0.46393729	0.53919121
0.54434959	0.50802049	0.58067869
0.58045022	0.54435755	0.61654288
0.54910125	0.50938497	0.58881753
0.58034396	0.54366972	0.61701821
0.63775807	0.60016152	0.67535461
0.67010894	0.63121769	0.70900019
0.65673884	0.61609216	0.69738552
0.64378594	0.60536164	0.68221023
0.69350426	0.65694525	0.73006326
0.67434493	0.63448048	0.71420938
0.66730831	0.62686761	0.70774901
0.62008435	0.58136437	0.65880432
0.71261784	0.67450476	0.75073092
0.76064692	0.72671226	0.79458157
0.68900791	0.65005129	0.72796452
0.61091122	0.57129197	0.65053048
0.65570488	0.61854177	0.69286799
0.69900659	0.65896875	0.73904443
0.69289780	0.65550075	0.73029484
0.62795896	0.59005880	0.66585913
0.71943315	0.68493607	0.75393022
0.72550339	0.68969441	0.76131237
0.70126472	0.66262142	0.73990803
0.62594885	0.58724011	0.66465759
0.62414490	0.58611336	0.66217645
0.65929432	0.62022614	0.69836250
