# mean	lower_ci	upper_ci
0.51288112	-0.08275906	1.10852131
1.96355194	0.13274922	3.79435465
2.00102580	0.12627393	3.87577767
1.24567258	0.47132527	2.02001988
1.66524471	0.65678628	2.67370313
1.38162034	0.56751171	2.19572897
1.95376736	0.90813393	2.99940078
1.78959995	0.52882133	3.05037858
2.41967778	1.40625438	3.43310117
8.09130326	4.69776278	11.48484374
11.19059641	6.30102266	16.08017016
12.35494646	6.78291332	17.92697960
13.64296974	3.56439119	23.72154829
9.51266929	6.03690324	12.98843534
13.50577905	9.81906708	17.19249102
17.96780119	13.07798844	22.85761394
17.92549742	11.00077590	24.85021894
16.95976953	8.69819385	25.22134521
15.79302979	11.52391096	20.06214862
20.74617879	14.56944526	26.92291232
13.76930868	9.63116070	17.90745666
13.05671198	9.03342133	17.08000263
11.71673872	7.80222415	15.63125329
17.61606270	11.04439173	24.18773367
16.89930036	11.83762329	21.96097743
19.75629631	8.85697157	30.65562104
26.63892571	19.37897273	33.89887868
32.27581974	23.35395263	41.19768685
31.61412089	20.52045295	42.70778884
36.09482163	23.27603748	48.91360578
46.46427578	34.27553719	58.65301436
56.09164016	43.75254994	68.43073038
46.32855942	35.71070221	56.94641662
37.74787221	24.79045897	50.70528544
46.40282006	34.43090099	58.37473913
46.50788556	34.67184116	58.34392996
60.83189358	40.46740852	81.19637864
37.16301028	25.74047277	48.58554779
36.88981669	29.10187817	44.67775521
39.39241886	28.27963264	50.50520508
31.91989881	23.90433639	39.93546123
16.09959177	9.86965427	22.32952927
17.73790332	8.38242837	27.09337827
12.37223557	6.65097835	18.09349279
9.43895703	4.62326899	14.25464508
9.14418892	5.35011620	12.93826165
9.36419350	6.15371083	12.57467618
9.85685909	6.21416327	13.49955491
9.84156554	5.67501323	14.00811785
7.43227425	4.68545028	10.17909821
12.96218571	9.05000567	16.87436576
14.51538006	8.72758781	20.30317230
12.29885187	7.64426608	16.95343767
7.98657754	4.99907917	10.97407591
7.05776191	4.64886194	9.46666188
7.46433000	4.29306637	10.63559362
6.90922410	4.22288691	9.59556129
7.72088996	3.45643323	11.98534668
5.62995385	3.13922553	8.12068217
3.39363585	2.08156615	4.70570555
6.22954439	3.24552725	9.21356154
8.65205523	3.56796139	13.73614907
7.52377246	4.06472016	10.98282476
12.14181685	8.30261647	15.98101722
12.38239914	5.61809809	19.14670019
11.68973571	4.09499037	19.28448105
20.17309283	12.07465489	28.27153078
17.89290238	13.34916089	22.43664388
13.63418411	9.53494543	17.73342279
12.54918956	9.07959470	16.01878441
21.60892107	15.39544958	27.82239256
26.42713712	19.62473530	33.22953894
22.48381163	15.63524714	29.33237611
26.74787871	17.51752372	35.97823369
45.44847670	28.69149360	62.20545981
57.69254754	38.95666006	76.42843501
47.64134866	34.59188452	60.69081280
36.61308802	25.98986685	47.23630919
52.68027319	39.68371877	65.67682760
57.84062092	43.84336107	71.83788077
56.77222412	41.29812769	72.24632056
37.91892120	26.51992143	49.31792097
60.70714910	46.09981559	75.31448261
71.01528723	56.72033231	85.31024216
58.58784892	41.97824905	75.19744879
39.67657238	26.94469470	52.40845006
42.92320225	30.00062036	55.84578414
56.19465255	44.90689371	67.48241140
51.37127157	39.59077756	63.15176559
38.65461072	27.22335387	50.08586757
50.39210667	39.10333431	61.68087904
58.12387278	46.31423286	69.93351270
52.11388412	38.74042012	65.48734811
35.77979786	24.92256548	46.63703024
46.11916195	31.61250746	60.62581644
60.27640452	42.73002661	77.82278243
