# mean	lower_ci	upper_ci
92.87109375	76.23572172	109.50646578
115.76450893	102.70268455	128.82633331
126.40345982	113.44806276	139.35885688
124.95117188	112.00242553	137.89991822
116.50669643	103.16711270	129.84628015
109.03459821	98.43134004	119.63785639
112.11077009	100.99997338	123.22156680
115.78125000	104.11462281	127.44787719
96.57226563	87.65323955	105.49129170
89.77986857	81.74490486	97.81483228
75.32513385	68.91390652	81.73636118
73.98711640	68.21607102	79.75816178
77.81431459	72.24040577	83.38822341
71.85584923	66.80378881	76.90790965
66.09741821	60.76465541	71.43018100
66.30837912	60.34300979	72.27374845
71.72258406	65.42348881	78.02167930
63.83737500	59.23969542	68.43505458
59.81643357	55.82607772	63.80678941
56.26892639	52.83567125	59.70218152
62.76817421	58.97635907	66.55998935
71.45916583	65.59989863	77.31843304
71.74212506	65.16968381	78.31456631
70.52776325	65.71201148	75.34351502
66.61110374	61.81669325	71.40551423
55.95369782	52.54106457	59.36633108
55.22497178	50.33001120	60.11993235
53.03099732	48.41905687	57.64293777
53.39790724	50.13340779	56.66240669
51.78206703	48.36218310	55.20195095
44.18517675	41.59841617	46.77193733
44.99292298	41.76765489	48.21819107
51.97284161	48.48490582	55.46077740
47.08774624	44.92872259	49.24676989
43.37407149	41.02228974	45.72585325
45.01275486	42.14183342	47.88367631
50.20417226	46.00565471	54.40268982
53.59278560	49.46090463	57.72466658
50.28562057	46.08949717	54.48174398
54.63690035	50.85965559	58.41414511
61.48679732	55.96828002	67.00531463
79.67036525	71.63397786	87.70675265
81.82530992	73.72974539	89.92087444
93.08492289	84.82585246	101.34399332
94.82180905	86.71417445	102.92944365
82.10396049	73.95171188	90.25620910
77.60834868	71.02872334	84.18797402
80.54180195	73.82004016	87.26356374
75.41323910	70.20530658	80.62117163
75.86089692	69.69147852	82.03031531
70.81236147	65.41039956	76.21432337
67.72769223	63.38927549	72.06610897
84.09108957	75.86073937	92.32143978
90.48447646	82.02550201	98.94345092
87.03306459	79.12265632	94.94347286
93.74873174	85.10827868	102.38918479
93.64096841	85.79070603	101.49123078
89.58160004	80.92314989	98.24005019
97.37304687	89.93777914	104.80831461
96.27371652	88.37018013	104.17725290
94.98038095	86.47199169	103.48877020
89.75860077	81.52279135	97.99441020
81.25932173	73.69340198	88.82524149
82.14794483	75.07222147	89.22366818
87.06477117	80.03739062	94.09215171
75.90469101	69.75198385	82.05739818
68.05876253	61.84387524	74.27364981
67.91766827	62.70962854	73.12570800
73.11042961	66.72733024	79.49352898
63.98862856	59.39325981	68.58399731
57.10365950	53.05811797	61.14920102
56.99748006	53.07523483	60.91972529
56.68070355	53.36723239	59.99417470
54.65117201	50.04838065	59.25396337
48.80042285	45.10763078	52.49321491
46.93679130	43.81369314	50.05988946
52.47523580	48.74387901	56.20659259
50.49763713	47.81204323	53.18323103
42.20222232	39.54312238	44.86132226
47.28007430	43.98442703	50.57572158
51.22972386	47.60056695	54.85888077
52.32370477	47.43976324	57.20764630
41.20205693	38.95289321	43.45122064
42.04192815	39.16263472	44.92122157
50.17472561	47.03880071	53.31065051
53.32948445	50.26988451	56.38908439
45.23619734	42.40796607	48.06442861
44.98349271	42.11026783	47.85671758
51.02651075	47.40541833	54.64760317
52.78511183	48.47549881	57.09472486
43.60377938	40.19136373	47.01619503
44.11004286	41.60601786	46.61406786
50.06550091	46.70392096	53.42708085
53.78674347	50.05783387	57.51565308
52.20147758	46.68428904	57.71866612
50.04397745	46.42491714	53.66303776
