# mean	lower_ci	upper_ci
0.01462868	0.01209507	0.01716229
0.01910373	0.01631827	0.02188919
0.02196269	0.01883542	0.02508997
0.02232845	0.01932094	0.02533596
0.02145906	0.01865690	0.02426121
0.02712985	0.02357098	0.03068872
0.02556129	0.02229464	0.02882795
0.02697882	0.02343185	0.03052580
0.04303875	0.03819270	0.04788481
0.04374701	0.03897372	0.04852030
0.05229455	0.04761979	0.05696930
0.04673884	0.04210784	0.05136983
0.05115879	0.04671633	0.05560126
0.05657927	0.05190930	0.06124924
0.05798462	0.05311402	0.06285522
0.05749150	0.05177734	0.06320565
0.05990093	0.05377332	0.06602854
0.05910971	0.05296429	0.06525514
0.06129616	0.05528217	0.06731016
0.05849414	0.05265727	0.06433100
0.05745556	0.05269002	0.06222111
0.05357579	0.04855411	0.05859747
0.05241411	0.04769075	0.05713746
0.05469274	0.04930423	0.06008125
0.06677508	0.05967351	0.07387665
0.07483508	0.06777170	0.08189845
0.06715568	0.06232950	0.07198186
0.07597972	0.06897829	0.08298116
0.08265125	0.07635064	0.08895186
0.08454558	0.07764467	0.09144649
0.07878333	0.07324903	0.08431763
0.08189780	0.07482111	0.08897450
0.08245341	0.07620505	0.08870177
0.08508303	0.07861470	0.09155136
0.08006222	0.07408096	0.08604348
0.08078642	0.07448534	0.08708750
0.07495250	0.06791688	0.08198813
0.06190238	0.05659184	0.06721293
0.06687088	0.06100913	0.07273263
0.06127892	0.05623801	0.06631984
0.05822659	0.05252901	0.06392417
0.03994306	0.03515887	0.04472724
0.04356450	0.03856493	0.04856408
0.03647815	0.03228545	0.04067085
0.04275067	0.03850038	0.04700096
0.04895442	0.04465150	0.05325733
0.04345462	0.03931888	0.04759036
0.05491132	0.04930808	0.06051456
0.05158335	0.04687789	0.05628881
0.05388767	0.04831913	0.05945622
0.04916437	0.04489281	0.05343592
0.05375024	0.04863576	0.05886472
0.04668416	0.04152918	0.05183914
0.04422355	0.03942355	0.04902355
0.04240859	0.03792418	0.04689301
0.04035792	0.03601213	0.04470370
0.04185281	0.03768903	0.04601660
0.03561176	0.03184973	0.03937379
0.03638768	0.03226997	0.04050540
0.03655344	0.03255453	0.04055235
0.04230480	0.03780056	0.04680904
0.04992931	0.04533008	0.05452854
0.04629449	0.04210883	0.05048015
0.04264955	0.03824015	0.04705894
0.04989520	0.04561803	0.05417237
0.05068769	0.04584151	0.05553387
0.05378886	0.04936319	0.05821454
0.05660195	0.05088243	0.06232146
0.05756801	0.05251762	0.06261841
0.06777885	0.06241407	0.07314363
0.06416191	0.05856835	0.06975547
0.06770575	0.06197409	0.07343741
0.08035233	0.07378799	0.08691667
0.07605967	0.07009272	0.08202663
0.08064971	0.07419372	0.08710569
0.08275141	0.07523027	0.09027254
0.07625939	0.06967457	0.08284421
0.08364459	0.07747719	0.08981199
0.08151004	0.07488712	0.08813295
0.07718479	0.07097055	0.08339904
0.08052808	0.07421678	0.08683937
0.08284999	0.07658161	0.08911838
0.09166692	0.08455261	0.09878123
0.08312286	0.07581996	0.09042576
0.08914547	0.08219696	0.09609398
0.07941845	0.07271277	0.08612413
0.08418760	0.07618026	0.09219494
0.07899958	0.07228205	0.08571711
0.08194860	0.07466721	0.08922999
0.08013560	0.07316044	0.08711077
0.07471066	0.06920162	0.08021969
0.08393110	0.07716715	0.09069505
0.07416867	0.06693980	0.08139753
0.06329750	0.05691304	0.06968196
0.06194859	0.05591928	0.06797790
0.06647801	0.06065655	0.07229947
