# mean	lower_ci	upper_ci
0.00036281	-0.00015737	0.00088298
0.00041000	-0.00000313	0.00082313
0.00067413	0.00015413	0.00119414
0.00046293	0.00001617	0.00090968
0.00026995	0.00002943	0.00051048
0.00119380	0.00031100	0.00207659
0.00060215	0.00003470	0.00116960
0.00111314	0.00034647	0.00187982
0.00218178	0.00104408	0.00331949
0.00198974	0.00107403	0.00290545
0.00229158	0.00110906	0.00347409
0.00273393	0.00165240	0.00381545
0.00292428	0.00191634	0.00393221
0.00359148	0.00243620	0.00474677
0.00224224	0.00138640	0.00309808
0.00337312	0.00170694	0.00503929
0.00410625	0.00264205	0.00557045
0.00286997	0.00175770	0.00398224
0.00296944	0.00161888	0.00432000
0.00309153	0.00205939	0.00412366
0.00319030	0.00198378	0.00439682
0.00239378	0.00122421	0.00356334
0.00219720	0.00132124	0.00307316
0.00305031	0.00177757	0.00432306
0.00482979	0.00242453	0.00723505
0.00602688	0.00363262	0.00842115
0.00362152	0.00214991	0.00509313
0.00627118	0.00375531	0.00878704
0.00544458	0.00354751	0.00734164
0.00623161	0.00395781	0.00850541
0.00540090	0.00346174	0.00734006
0.00678405	0.00479257	0.00877554
0.00566813	0.00418069	0.00715558
0.00597307	0.00416226	0.00778387
0.00522573	0.00378908	0.00666239
0.00664995	0.00469832	0.00860158
0.00611733	0.00417737	0.00805729
0.00297368	0.00191076	0.00403660
0.00405551	0.00266857	0.00544245
0.00318359	0.00202733	0.00433985
0.00332288	0.00200825	0.00463751
0.00270543	0.00099082	0.00442003
0.00211337	0.00099152	0.00323523
0.00152495	0.00061565	0.00243425
0.00116265	0.00047811	0.00184719
0.00274091	0.00173126	0.00375057
0.00136960	0.00078420	0.00195499
0.00342140	0.00185442	0.00498837
0.00194630	0.00083170	0.00306090
0.00319145	0.00174717	0.00463573
0.00251972	0.00144711	0.00359233
0.00332958	0.00181678	0.00484238
0.00267358	0.00052614	0.00482102
0.00196740	0.00108758	0.00284722
0.00155788	0.00077081	0.00234494
0.00111629	0.00050617	0.00172642
0.00241864	0.00134902	0.00348827
0.00099777	0.00037221	0.00162332
0.00169513	0.00052285	0.00286741
0.00129427	0.00019014	0.00239839
0.00221802	0.00118215	0.00325389
0.00211899	0.00109889	0.00313909
0.00206070	0.00125811	0.00286328
0.00147988	0.00078680	0.00217297
0.00204346	0.00114293	0.00294399
0.00227945	0.00101187	0.00354702
0.00269344	0.00161686	0.00377002
0.00297626	0.00178647	0.00416605
0.00324745	0.00199231	0.00450259
0.00524471	0.00361950	0.00686991
0.00395051	0.00239111	0.00550991
0.00437452	0.00265113	0.00609790
0.00547701	0.00379363	0.00716039
0.00501397	0.00322600	0.00680194
0.00595899	0.00427872	0.00763926
0.00720880	0.00513692	0.00928067
0.00492717	0.00330581	0.00654853
0.00628544	0.00444181	0.00812907
0.00503144	0.00357133	0.00649156
0.00485773	0.00325367	0.00646178
0.00529261	0.00377943	0.00680579
0.00670376	0.00482885	0.00857866
0.00816051	0.00605569	0.01026532
0.00734514	0.00505554	0.00963474
0.00787771	0.00568725	0.01006818
0.00609001	0.00395285	0.00822717
0.00705405	0.00449373	0.00961437
0.00632263	0.00420525	0.00844000
0.00731913	0.00446710	0.01017116
0.00489358	0.00314961	0.00663756
0.00495908	0.00337250	0.00654567
0.00625890	0.00414716	0.00837064
0.00649971	0.00317099	0.00982843
0.00347706	0.00184252	0.00511161
0.00330390	0.00203786	0.00456993
0.00296651	0.00175980	0.00417321
