# mean	lower_ci	upper_ci
0.01462033	0.01231815	0.01692250
0.01885976	0.01621566	0.02150386
0.02139218	0.01853409	0.02425028
0.02207351	0.01922233	0.02492469
0.02103421	0.01837641	0.02369202
0.02600289	0.02291432	0.02909146
0.02529349	0.02223241	0.02835458
0.02583152	0.02261040	0.02905264
0.04096981	0.03658365	0.04535597
0.04188877	0.03754389	0.04623365
0.04990254	0.04572485	0.05408023
0.04537147	0.04141116	0.04933177
0.04879642	0.04485787	0.05273497
0.05323733	0.04902669	0.05744797
0.05587648	0.05135155	0.06040142
0.05400421	0.04920319	0.05880522
0.05623516	0.05105350	0.06141681
0.05657161	0.05113511	0.06200812
0.05816849	0.05305098	0.06328601
0.05588255	0.05059920	0.06116590
0.05503785	0.05079774	0.05927796
0.05088051	0.04637506	0.05538596
0.05045748	0.04613531	0.05477964
0.05187873	0.04720126	0.05655620
0.06254330	0.05698957	0.06809703
0.06960920	0.06394441	0.07527399
0.06348540	0.05932454	0.06764625
0.07012157	0.06466762	0.07557551
0.07826406	0.07304793	0.08348020
0.07885615	0.07319593	0.08451637
0.07323126	0.06849329	0.07796923
0.07605972	0.06989984	0.08221959
0.07827884	0.07298349	0.08357420
0.07865019	0.07330296	0.08399741
0.07477112	0.06963119	0.07991106
0.07543571	0.07029814	0.08057327
0.06894899	0.06318909	0.07470890
0.05935621	0.05436524	0.06434718
0.06349415	0.05827258	0.06871573
0.05788443	0.05340993	0.06235893
0.05517099	0.05042407	0.05991790
0.03733522	0.03350730	0.04116313
0.04183180	0.03739942	0.04626418
0.03515304	0.03141267	0.03889341
0.04184248	0.03778823	0.04589673
0.04641774	0.04262926	0.05020622
0.04296718	0.03896768	0.04696668
0.05160341	0.04699290	0.05621393
0.04974601	0.04547961	0.05401240
0.05081553	0.04599661	0.05563445
0.04713655	0.04329622	0.05097688
0.05089628	0.04661792	0.05517463
0.04462891	0.04054674	0.04871108
0.04215134	0.03798656	0.04631612
0.04116562	0.03696312	0.04536812
0.03948604	0.03526678	0.04370530
0.04034309	0.03673016	0.04395602
0.03445894	0.03085465	0.03806324
0.03481772	0.03122069	0.03841475
0.03573995	0.03216698	0.03931292
0.04062134	0.03649613	0.04474655
0.04776773	0.04346981	0.05206564
0.04455521	0.04061670	0.04849372
0.04184056	0.03751562	0.04616550
0.04788396	0.04396332	0.05180459
0.04861272	0.04440066	0.05282477
0.05164503	0.04770640	0.05558365
0.05426379	0.04938520	0.05914238
0.05489848	0.05043830	0.05935867
0.06279673	0.05823754	0.06735592
0.06108850	0.05630908	0.06586793
0.06370376	0.05897397	0.06843356
0.07557319	0.07005970	0.08108667
0.07120245	0.06624418	0.07616071
0.07565550	0.07009058	0.08122043
0.07524235	0.06931210	0.08117261
0.07191207	0.06612631	0.07769784
0.07747766	0.07226691	0.08268841
0.07716001	0.07146024	0.08285978
0.07314035	0.06771692	0.07856378
0.07506067	0.06959429	0.08052704
0.07667560	0.07149767	0.08185354
0.08417402	0.07828688	0.09006115
0.07721824	0.07130971	0.08312677
0.08120840	0.07555299	0.08686381
0.07368877	0.06822394	0.07915359
0.07740118	0.07090940	0.08389296
0.07325330	0.06782838	0.07867822
0.07555673	0.06995821	0.08115524
0.07543606	0.06945207	0.08142004
0.07010371	0.06543773	0.07476968
0.07872524	0.07311470	0.08433578
0.06673478	0.06141242	0.07205714
0.06064143	0.05511954	0.06616331
0.05863275	0.05333082	0.06393467
0.06385973	0.05857826	0.06914120
