# mean	lower_ci	upper_ci
0.03092143	-0.00590870	0.06775157
0.04086361	-0.00382803	0.08555526
0.05159919	0.01477526	0.08842313
0.05992295	-0.00665037	0.12649628
0.02194317	0.00258111	0.04130523
0.11136056	0.02044441	0.20227671
0.05261463	0.00429062	0.10093865
0.09282470	0.02641273	0.15923667
0.14258972	0.06908138	0.21609807
0.10997547	0.05782714	0.16212381
0.12093036	0.06311648	0.17874425
0.15064188	0.09578296	0.20550080
0.15830751	0.10522877	0.21138624
0.19169406	0.12911629	0.25427182
0.10463341	0.06636634	0.14290049
0.16561630	0.08566430	0.24556830
0.18901453	0.12392611	0.25410295
0.12423138	0.07721189	0.17125086
0.11912382	0.07049858	0.16774906
0.13140980	0.08505589	0.17776370
0.16718386	0.10216150	0.23220623
0.12632138	0.06446211	0.18818064
0.11815186	0.07042624	0.16587747
0.15241785	0.08245452	0.22238119
0.19051867	0.10208509	0.27895225
0.22419347	0.14116523	0.30722172
0.15586400	0.09086063	0.22086737
0.24841109	0.15806400	0.33875818
0.18784357	0.13016993	0.24551722
0.21034723	0.12956138	0.29113309
0.20101467	0.13011086	0.27191848
0.26968832	0.19098857	0.34838807
0.19969802	0.14554585	0.25385020
0.20734298	0.15041192	0.26427405
0.18989852	0.13953844	0.24025859
0.24652662	0.17772456	0.31532868
0.21557736	0.14761132	0.28354340
0.12581262	0.08216995	0.16945529
0.17158355	0.10923825	0.23392885
0.13301556	0.08781312	0.17821800
0.15684552	0.09725845	0.21643260
0.14283243	0.05967130	0.22599357
0.12629822	0.05943967	0.19315677
0.08366980	0.03700731	0.13033228
0.06389234	0.02802415	0.09976054
0.15875054	0.09478353	0.22271755
0.08457889	0.04610613	0.12305166
0.17831627	0.09818699	0.25844555
0.12128618	0.06279488	0.17977749
0.16406617	0.09183296	0.23629938
0.13959304	0.07542944	0.20375664
0.18025665	0.10749193	0.25302137
0.16742721	0.01362204	0.32123237
0.12990807	0.07072469	0.18909145
0.09149058	0.04373380	0.13924736
0.06878495	0.02926607	0.10830383
0.16174629	0.08689385	0.23659872
0.08057777	0.02527436	0.13588118
0.14197721	0.05119110	0.23276332
0.08849907	0.01645036	0.16054779
0.15752867	0.07618756	0.23886978
0.12586850	0.06334306	0.18839395
0.11817564	0.06868134	0.16766994
0.09508743	0.04827742	0.14189743
0.11541518	0.06122684	0.16960352
0.10306724	0.05740641	0.14872807
0.11670525	0.07060040	0.16281010
0.13730257	0.09049943	0.18410572
0.18856351	0.07989186	0.29723517
0.25328989	0.17386781	0.33271197
0.17340605	0.10864514	0.23816695
0.16626120	0.10669462	0.22582777
0.19220266	0.13247815	0.25192718
0.16999422	0.11068195	0.22930648
0.20798884	0.14865231	0.26732537
0.26050405	0.18095392	0.34005418
0.18220339	0.11998012	0.24442667
0.23388906	0.16206021	0.30571791
0.17862483	0.12845398	0.22879568
0.18361651	0.12345924	0.24377379
0.17423404	0.12624267	0.22222541
0.24882562	0.17694957	0.32070167
0.27781855	0.20760795	0.34802915
0.24946915	0.17234888	0.32658941
0.26956223	0.19656837	0.34255609
0.20598142	0.13578125	0.27618159
0.24346235	0.15811502	0.32880968
0.22562275	0.15471344	0.29653206
0.26475178	0.16185678	0.36764679
0.15435553	0.10370416	0.20500689
0.18364107	0.12509470	0.24218745
0.21579113	0.14106678	0.29051547
0.27525004	0.12748877	0.42301132
0.13746940	0.08012086	0.19481794
0.13793859	0.08713440	0.18874278
0.12918690	0.07641028	0.18196353
