# mean	lower_ci	upper_ci
110.07254464	94.42343275	125.72165654
123.63978795	111.21247310	136.06710279
123.78069196	111.46650352	136.09488041
120.48270089	108.17782053	132.78758126
120.70033482	108.11799408	133.28267557
105.80915179	95.25571416	116.36258942
112.93108259	101.57449944	124.28766574
107.97293527	96.58282122	119.36304931
85.55655282	77.43992134	93.67318431
77.33415022	70.80667325	83.86162720
69.97691761	64.93763343	75.01620179
75.96708955	69.60802980	82.32614930
68.66696780	64.00032448	73.33361111
64.14036159	59.62725458	68.65346860
60.13055935	54.92437289	65.33674582
64.91401665	59.15409270	70.67394060
60.72703664	55.94400753	65.51006574
60.28908534	55.44832850	65.12984218
55.67684211	52.41409890	58.93958533
60.21745344	54.80056878	65.63433811
60.15590854	56.47772066	63.83409643
65.85186786	61.05837964	70.64535608
71.97967072	66.17000902	77.78933242
69.96263014	63.85121748	76.07404281
55.27319016	50.77890126	59.76747906
48.19493007	45.13284537	51.25701477
51.17776066	47.26676557	55.08875575
49.74104308	46.36625556	53.11583060
42.64327971	40.23432852	45.05223089
41.31263206	39.15551539	43.46974872
44.20551702	41.32813315	47.08290090
46.56673290	42.56941355	50.56405225
44.03513586	40.83310728	47.23716444
42.44056487	39.53886433	45.34226542
43.88200860	41.60153248	46.16248471
43.12905951	40.80502067	45.45309836
48.41268968	44.43900551	52.38637384
55.22638781	50.34814112	60.10463451
53.82985322	50.03287632	57.62683013
55.97088602	52.19642207	59.74534997
68.09437145	62.00254218	74.18620072
85.00735593	76.72944011	93.28527174
84.07593383	75.96868284	92.18318482
89.96385450	81.94574691	97.98196210
81.75375406	75.17299674	88.33451138
73.07992788	66.78704678	79.37280898
75.44324816	69.94212486	80.94437146
70.57984984	65.25949309	75.90020658
72.53022368	66.74743552	78.31301184
68.52724424	63.74164573	73.31284275
68.25044584	62.50166149	73.99923020
67.50215748	62.75202825	72.25228672
81.93236451	74.25967594	89.60505308
85.97419182	79.53364810	92.41473554
84.90196327	77.31783683	92.48608971
85.44858462	77.76547629	93.13169295
87.38877334	79.81936326	94.95818341
92.71361451	83.80907424	101.61815478
91.06749696	84.44159202	97.69340189
91.89617999	83.95842487	99.83393511
90.65176035	81.68172581	99.62179489
78.74170751	72.01640223	85.46701279
75.62567315	68.88794547	82.36340084
75.95571421	69.24709409	82.66433433
75.33887011	69.35733432	81.32040591
68.67390910	64.02046240	73.32735580
65.91433469	59.86475374	71.96391564
65.20938046	60.23408712	70.18467381
64.49446062	59.39556775	69.59335348
55.74070604	51.77089462	59.71051747
53.62548096	50.54423007	56.70673185
54.82862295	50.52412660	59.13311930
42.05388411	39.95945992	44.14830831
47.79463098	44.39627519	51.19298677
44.81662473	41.49591535	48.13733410
46.66642956	43.35688440	49.97597472
47.59466170	43.30752428	51.88179911
42.61834809	40.20144487	45.03525130
43.64054833	40.75187757	46.52921909
45.42311599	42.39737284	48.44885913
43.21135781	39.54479208	46.87792353
45.37106735	42.22178559	48.52034911
39.64562758	37.40426331	41.88699185
42.61758805	39.92477503	45.31040107
43.62057134	40.57195703	46.66918565
44.08305643	40.90483758	47.26127528
46.00592833	42.35276253	49.65909412
45.31956554	42.28473280	48.35439829
43.92869079	41.23224722	46.62513437
42.40761894	39.59821502	45.21702286
44.35758885	41.80818939	46.90698832
41.22917860	38.83615505	43.62220216
51.45954193	48.03595594	54.88312793
56.89423928	52.06088122	61.72759735
60.89953955	55.94136623	65.85771287
55.64642877	51.75189559	59.54096194
